['end', 'school', 'day', 'case']
['government', 'party', 'world', 'house']
['government', 'information', 'way', 'system']
['school', 'party', 'day', 'group']
['course', 'life', 'world', 'man']
['group', 'man', 'information', 'day']
['year', 'man', 'government', 'party']
['information', 'course', 'government', 'day']
['place', 'year', 'house', 'way']
['day', 'course', 'way', 'party']
['information', 'place', 'case', 'government']
['information', 'company', 'course', 'day']
['day', 'end', 'system', 'life']
['part', 'place', 'course', 'company']
['place', 'way', 'government', 'work']
['world', 'government', 'man', 'part']
['life', 'fact', 'party', 'man']
['party', 'group', 'life', 'world']
['party', 'house', 'information', 'work']
['information', 'school', 'place', 'work']
['world', 'government', 'day', 'party']
['house', 'party', 'man', 'way']
['man', 'system', 'information', 'year']
['man', 'school', 'house', 'place']
['course', 'day', 'place', 'party']
['course', 'life', 'company', 'house']
['world', 'part', 'party', 'way']
['party', 'work', 'man', 'place']
['part', 'government', 'way', 'fact']
['information', 'fact', 'man', 'year']
['part', 'party', 'man', 'company']
['work', 'company', 'place', 'information']
['end', 'government', 'day', 'information']
['year', 'work', 'part', 'party']
['course', 'information', 'party', 'part']
['life', 'school', 'group', 'way']
['work', 'end', 'school', 'company']
['system', 'information', 'life', 'house']
['company', 'course', 'work', 'house']
['fact', 'company', 'government', 'world']
['house', 'group', 'man', 'government']
['life', 'way', 'work', 'place']
['day', 'case', 'end', 'part']
['group', 'year', 'course', 'house']
['company', 'course', 'end', 'system']
['end', 'life', 'system', 'company']
['life', 'company', 'part', 'day']
['school', 'day', 'place', 'part']
['day', 'place', 'part', 'system']
['case', 'man', 'work', 'world']
['part', 'work', 'group', 'case']
['life', 'place', 'system', 'fact']
['case', 'end', 'day', 'system']
['work', 'school', 'government', 'house']
['year', 'life', 'course', 'information']
['man', 'life', 'school', 'world']
['government', 'way', 'day', 'fact']
['day', 'man', 'government', 'course']
['government', 'man', 'school', 'way']
['house', 'life', 'system', 'part']
['company', 'school', 'case', 'fact']
['course', 'world', 'system', 'house']
['place', 'case', 'fact', 'work']
['part', 'company', 'fact', 'case']
['way', 'system', 'part', 'world']
['course', 'place', 'part', 'life']
['life', 'party', 'place', 'man']
['case', 'information', 'life', 'party']
['year', 'house', 'end', 'party']
['work', 'house', 'part', 'world']
['company', 'man', 'case', 'place']
['course', 'case', 'place', 'house']
['world', 'end', 'case', 'system']
['system', 'information', 'world', 'house']
['case', 'place', 'party', 'information']
['world', 'case', 'group', 'house']
['system', 'house', 'part', 'place']
['work', 'day', 'man', 'case']
['government', 'man', 'company', 'part']
['work', 'school', 'life', 'way']
['man', 'case', 'school', 'work']
['party', 'world', 'work', 'system']
['part', 'system', 'day', 'world']
['system', 'man', 'place', 'house']
['course', 'case', 'house', 'place']
['group', 'life', 'year', 'place']
['company', 'group', 'world', 'work']
['work', 'part', 'school', 'fact']
['day', 'life', 'end', 'party']
['place', 'part', 'system', 'world']
['party', 'group', 'end', 'work']
['case', 'information', 'world', 'man']
['year', 'fact', 'end', 'information']
['day', 'party', 'case', 'place']
['government', 'school', 'company', 'house']
['case', 'place', 'man', 'way']
['work', 'year', 'fact', 'way']
['system', 'place', 'work', 'world']
['house', 'party', 'world', 'man']
