['place', 'year', 'course', 'work']
['work', 'house', 'life', 'man']
['party', 'life', 'case', 'day']
['fact', 'party', 'course', 'group']
['work', 'life', 'school', 'case']
['company', 'fact', 'way', 'world']
['way', 'system', 'end', 'house']
['system', 'life', 'school', 'world']
['company', 'man', 'part', 'life']
['school', 'day', 'government', 'man']
['information', 'world', 'government', 'man']
['system', 'case', 'life', 'end']
['end', 'part', 'fact', 'year']
['company', 'course', 'group', 'system']
['company', 'party', 'year', 'work']
['way', 'fact', 'company', 'group']
['year', 'company', 'end', 'fact']
['information', 'way', 'case', 'man']
['life', 'man', 'case', 'government']
['company', 'government', 'house', 'school']
['school', 'case', 'fact', 'course']
['world', 'way', 'place', 'group']
['group', 'man', 'company', 'information']
['end', 'fact', 'work', 'life']
['world', 'course', 'company', 'government']
['case', 'place', 'man', 'fact']
['work', 'day', 'company', 'school']
['year', 'government', 'course', 'man']
['house', 'company', 'fact', 'world']
['system', 'house', 'company', 'place']
['fact', 'part', 'information', 'day']
['group', 'life', 'party', 'system']
['way', 'man', 'company', 'information']
['course', 'place', 'system', 'case']
['house', 'place', 'day', 'party']
['course', 'party', 'part', 'system']
['place', 'school', 'case', 'group']
['course', 'government', 'school', 'company']
['year', 'system', 'world', 'way']
['man', 'way', 'place', 'party']
['world', 'party', 'house', 'case']
['man', 'day', 'company', 'part']
['way', 'life', 'party', 'world']
['fact', 'part', 'government', 'house']
['course', 'place', 'part', 'school']
['place', 'end', 'case', 'life']
['group', 'house', 'government', 'end']
['life', 'place', 'day', 'government']
['year', 'case', 'place', 'work']
['fact', 'group', 'end', 'government']
['party', 'house', 'man', 'case']
['place', 'world', 'government', 'way']
['house', 'life', 'day', 'company']
['part', 'school', 'fact', 'way']
['day', 'system', 'world', 'house']
['man', 'way', 'school', 'system']
['school', 'house', 'way', 'government']
['part', 'place', 'case', 'world']
['place', 'case', 'fact', 'group']
['end', 'man', 'group', 'house']
['year', 'work', 'government', 'party']
['work', 'place', 'day', 'information']
['man', 'party', 'life', 'year']
['way', 'case', 'government', 'house']
['case', 'information', 'government', 'house']
['fact', 'school', 'world', 'group']
['system', 'government', 'day', 'course']
['year', 'house', 'school', 'company']
['group', 'party', 'work', 'system']
['school', 'part', 'end', 'group']
['company', 'course', 'day', 'man']
['part', 'house', 'man', 'world']
['information', 'end', 'fact', 'part']
['house', 'work', 'place', 'information']
['work', 'way', 'government', 'house']
['world', 'year', 'system', 'way']
['case', 'man', 'system', 'life']
['way', 'part', 'end', 'course']
['group', 'way', 'part', 'life']
['case', 'system', 'year', 'part']
['case', 'day', 'system', 'group']
['life', 'government', 'way', 'year']
['government', 'party', 'way', 'house']
['man', 'system', 'company', 'place']
['day', 'man', 'school', 'company']
['party', 'case', 'system', 'information']
['part', 'fact', 'system', 'world']
['man', 'part', 'house', 'government']
['group', 'part', 'house', 'course']
['company', 'group', 'world', 'house']
['case', 'information', 'fact', 'party']
['way', 'case', 'place', 'work']
['case', 'fact', 'school', 'man']
['case', 'house', 'end', 'company']
['system', 'party', 'place', 'end']
['group', 'work', 'government', 'life']
['course', 'place', 'house', 'man']
['group', 'system', 'place', 'case']
['year', 'house', 'day', 'end']
