['course', 'way', 'day', 'school']
['house', 'day', 'course', 'company']
['information', 'school', 'year', 'party']
['end', 'party', 'day', 'system']
['house', 'day', 'school', 'way']
['place', 'day', 'case', 'party']
['case', 'way', 'course', 'information']
['way', 'information', 'part', 'man']
['company', 'house', 'year', 'group']
['end', 'case', 'group', 'work']
['party', 'course', 'group', 'school']
['group', 'fact', 'school', 'place']
['work', 'fact', 'case', 'man']
['part', 'way', 'course', 'life']
['part', 'fact', 'world', 'day']
['way', 'course', 'world', 'house']
['house', 'system', 'place', 'fact']
['part', 'party', 'group', 'life']
['government', 'day', 'life', 'party']
['case', 'way', 'group', 'system']
['group', 'fact', 'year', 'life']
['fact', 'day', 'world', 'information']
['end', 'case', 'day', 'way']
['life', 'course', 'end', 'group']
['information', 'way', 'government', 'house']
['company', 'way', 'day', 'school']
['work', 'life', 'house', 'company']
['end', 'system', 'course', 'place']
['man', 'world', 'fact', 'school']
['life', 'case', 'year', 'house']
['place', 'information', 'year', 'school']
['end', 'case', 'place', 'information']
['work', 'case', 'end', 'fact']
['place', 'year', 'work', 'company']
['school', 'world', 'way', 'information']
['system', 'course', 'life', 'way']
['work', 'company', 'year', 'system']
['man', 'life', 'end', 'information']
['year', 'end', 'life', 'government']
['year', 'course', 'government', 'end']
['system', 'part', 'man', 'case']
['work', 'world', 'part', 'year']
['house', 'information', 'government', 'work']
['company', 'information', 'part', 'group']
['company', 'system', 'world', 'year']
['house', 'work', 'life', 'way']
['way', 'case', 'party', 'day']
['information', 'school', 'work', 'place']
['man', 'party', 'end', 'group']
['end', 'house', 'case', 'part']
['day', 'school', 'part', 'group']
['government', 'part', 'man', 'school']
['school', 'man', 'place', 'way']
['system', 'information', 'party', 'government']
['course', 'case', 'place', 'group']
['party', 'work', 'school', 'government']
['fact', 'way', 'company', 'day']
['man', 'work', 'school', 'fact']
['house', 'life', 'group', 'world']
['group', 'world', 'information', 'year']
['government', 'work', 'company', 'fact']
['year', 'world', 'information', 'end']
['house', 'year', 'man', 'life']
['party', 'company', 'day', 'house']
['end', 'case', 'part', 'government']
['day', 'world', 'government', 'place']
['world', 'information', 'day', 'fact']
['fact', 'life', 'year', 'work']
['part', 'place', 'company', 'case']
['place', 'year', 'fact', 'party']
['way', 'part', 'man', 'house']
['information', 'school', 'fact', 'course']
['way', 'man', 'world', 'case']
['government', 'system', 'fact', 'party']
['day', 'company', 'place', 'school']
['place', 'part', 'life', 'school']
['government', 'case', 'part', 'school']
['man', 'world', 'government', 'fact']
['way', 'government', 'party', 'work']
['part', 'information', 'life', 'group']
['way', 'fact', 'part', 'man']
['house', 'work', 'man', 'part']
['case', 'day', 'system', 'group']
['case', 'government', 'information', 'end']
['world', 'company', 'way', 'life']
['information', 'part', 'man', 'group']
['day', 'work', 'party', 'part']
['place', 'part', 'course', 'way']
['information', 'group', 'man', 'year']
['course', 'fact', 'group', 'party']
['school', 'man', 'course', 'life']
['information', 'day', 'system', 'world']
['year', 'end', 'group', 'life']
['year', 'government', 'fact', 'company']
['place', 'man', 'case', 'end']
['work', 'year', 'school', 'life']
['life', 'world', 'course', 'party']
['day', 'party', 'group', 'course']
['house', 'school', 'year', 'life']
