['way', 'company', 'life', 'fact']
['way', 'year', 'fact', 'house']
['party', 'fact', 'information', 'man']
['system', 'day', 'year', 'company']
['government', 'course', 'case', 'group']
['world', 'government', 'case', 'house']
['party', 'man', 'government', 'information']
['case', 'house', 'course', 'man']
['company', 'life', 'place', 'party']
['government', 'man', 'course', 'party']
['part', 'company', 'system', 'school']
['system', 'group', 'work', 'end']
['company', 'fact', 'system', 'group']
['day', 'company', 'world', 'group']
['year', 'place', 'work', 'day']
['company', 'man', 'group', 'fact']
['information', 'way', 'place', 'course']
['fact', 'case', 'party', 'house']
['end', 'world', 'government', 'information']
['party', 'fact', 'year', 'company']
['system', 'place', 'day', 'end']
['information', 'party', 'course', 'year']
['year', 'place', 'fact', 'world']
['work', 'system', 'course', 'world']
['place', 'party', 'government', 'case']
['party', 'end', 'place', 'part']
['system', 'fact', 'party', 'group']
['company', 'day', 'end', 'course']
['year', 'fact', 'group', 'place']
['man', 'system', 'day', 'way']
['world', 'party', 'work', 'school']
['house', 'school', 'way', 'group']
['man', 'life', 'case', 'day']
['party', 'case', 'life', 'work']
['government', 'way', 'system', 'company']
['part', 'world', 'case', 'year']
['school', 'place', 'work', 'information']
['government', 'end', 'system', 'fact']
['party', 'government', 'way', 'school']
['fact', 'place', 'group', 'way']
['part', 'government', 'life', 'system']
['work', 'party', 'day', 'group']
['day', 'life', 'world', 'case']
['part', 'information', 'house', 'system']
['life', 'end', 'system', 'information']
['part', 'man', 'day', 'course']
['system', 'day', 'man', 'fact']
['end', 'world', 'fact', 'way']
['world', 'end', 'case', 'system']
['school', 'place', 'information', 'government']
['company', 'party', 'information', 'end']
['way', 'party', 'school', 'course']
['system', 'house', 'work', 'day']
['group', 'company', 'fact', 'information']
['government', 'party', 'group', 'man']
['man', 'information', 'day', 'group']
['world', 'government', 'life', 'information']
['man', 'end', 'case', 'government']
['world', 'way', 'year', 'course']
['way', 'house', 'company', 'system']
['place', 'course', 'information', 'house']
['company', 'information', 'group', 'year']
['system', 'party', 'work', 'way']
['world', 'course', 'school', 'house']
['fact', 'year', 'work', 'information']
['fact', 'company', 'end', 'work']
['party', 'year', 'man', 'course']
['system', 'course', 'year', 'place']
['group', 'company', 'party', 'way']
['part', 'place', 'day', 'life']
['house', 'system', 'fact', 'work']
['government', 'way', 'part', 'man']
['year', 'man', 'company', 'information']
['party', 'man', 'way', 'school']
['information', 'man', 'part', 'place']
['company', 'house', 'group', 'life']
['company', 'information', 'house', 'party']
['fact', 'world', 'man', 'place']
['part', 'man', 'case', 'day']
['world', 'day', 'life', 'company']
['course', 'government', 'way', 'man']
['work', 'fact', 'course', 'world']
['course', 'case', 'work', 'system']
['course', 'place', 'government', 'way']
['world', 'fact', 'government', 'part']
['life', 'group', 'fact', 'world']
['year', 'way', 'part', 'end']
['work', 'school', 'day', 'course']
['world', 'year', 'information', 'day']
['way', 'party', 'house', 'world']
['part', 'life', 'house', 'case']
['case', 'end', 'life', 'information']
['company', 'house', 'way', 'school']
['case', 'part', 'system', 'fact']
['group', 'day', 'case', 'world']
['place', 'party', 'group', 'end']
['course', 'house', 'way', 'man']
['day', 'end', 'group', 'life']
