['part', 'man', 'party', 'information']
['work', 'system', 'part', 'life']
['part', 'place', 'party', 'world']
['world', 'work', 'government', 'day']
['year', 'system', 'house', 'case']
['man', 'work', 'way', 'house']
['place', 'fact', 'end', 'world']
['case', 'year', 'system', 'information']
['year', 'part', 'government', 'course']
['group', 'work', 'system', 'information']
['school', 'man', 'information', 'part']
['government', 'company', 'group', 'work']
['company', 'work', 'course', 'world']
['government', 'information', 'place', 'work']
['case', 'work', 'place', 'system']
['world', 'life', 'information', 'way']
['end', 'work', 'group', 'life']
['party', 'man', 'group', 'work']
['house', 'fact', 'year', 'part']
['year', 'place', 'information', 'man']
['way', 'world', 'school', 'life']
['house', 'company', 'government', 'school']
['day', 'government', 'fact', 'system']
['day', 'year', 'world', 'information']
['part', 'man', 'group', 'fact']
['party', 'way', 'government', 'work']
['place', 'school', 'company', 'year']
['government', 'house', 'group', 'course']
['way', 'course', 'government', 'world']
['course', 'end', 'information', 'work']
['way', 'part', 'group', 'government']
['year', 'part', 'house', 'man']
['man', 'company', 'year', 'world']
['year', 'group', 'world', 'life']
['man', 'day', 'way', 'life']
['world', 'group', 'school', 'place']
['party', 'house', 'system', 'life']
['case', 'end', 'government', 'system']
['way', 'information', 'part', 'house']
['place', 'man', 'year', 'world']
['end', 'life', 'system', 'course']
['school', 'fact', 'man', 'life']
['system', 'year', 'school', 'world']
['company', 'way', 'school', 'work']
['case', 'school', 'life', 'world']
['day', 'party', 'system', 'work']
['year', 'world', 'government', 'system']
['world', 'end', 'school', 'place']
['system', 'end', 'government', 'company']
['case', 'fact', 'man', 'house']
['work', 'company', 'life', 'end']
['life', 'world', 'course', 'party']
['way', 'work', 'course', 'world']
['end', 'world', 'company', 'school']
['year', 'house', 'place', 'part']
['case', 'company', 'life', 'end']
['information', 'work', 'day', 'man']
['place', 'world', 'part', 'information']
['system', 'fact', 'work', 'end']
['party', 'group', 'end', 'work']
['school', 'life', 'house', 'work']
['work', 'place', 'part', 'group']
['fact', 'case', 'group', 'school']
['part', 'case', 'party', 'life']
['day', 'government', 'part', 'information']
['life', 'government', 'fact', 'information']
['house', 'system', 'end', 'information']
['fact', 'day', 'life', 'man']
['end', 'way', 'part', 'day']
['government', 'life', 'case', 'company']
['world', 'place', 'man', 'system']
['part', 'world', 'school', 'system']
['man', 'group', 'case', 'end']
['course', 'government', 'way', 'fact']
['day', 'way', 'house', 'government']
['course', 'information', 'way', 'case']
['year', 'information', 'group', 'course']
['day', 'way', 'house', 'year']
['house', 'government', 'year', 'day']
['way', 'fact', 'information', 'party']
['end', 'man', 'course', 'year']
['place', 'year', 'day', 'world']
['company', 'course', 'place', 'day']
['group', 'work', 'case', 'company']
['man', 'company', 'course', 'house']
['life', 'day', 'way', 'course']
['part', 'case', 'group', 'party']
['year', 'party', 'place', 'life']
['part', 'government', 'information', 'case']
['company', 'man', 'part', 'life']
['party', 'day', 'part', 'life']
['group', 'fact', 'year', 'company']
['year', 'information', 'group', 'school']
['year', 'information', 'company', 'party']
['system', 'company', 'fact', 'government']
['world', 'year', 'group', 'course']
['place', 'part', 'system', 'school']
['fact', 'information', 'way', 'company']
['system', 'party', 'part', 'man']
