['course', 'party', 'school', 'world']
['man', 'company', 'end', 'work']
['fact', 'part', 'place', 'man']
['information', 'way', 'case', 'life']
['world', 'group', 'life', 'way']
['fact', 'place', 'school', 'way']
['course', 'system', 'way', 'group']
['school', 'group', 'fact', 'house']
['man', 'work', 'house', 'system']
['system', 'course', 'house', 'end']
['group', 'government', 'part', 'way']
['fact', 'life', 'information', 'man']
['party', 'company', 'work', 'place']
['day', 'year', 'house', 'case']
['group', 'part', 'world', 'party']
['work', 'end', 'man', 'party']
['place', 'end', 'work', 'fact']
['year', 'case', 'system', 'course']
['company', 'man', 'day', 'part']
['case', 'school', 'government', 'fact']
['school', 'way', 'course', 'government']
['part', 'year', 'course', 'case']
['work', 'part', 'house', 'place']
['work', 'system', 'course', 'end']
['man', 'case', 'end', 'house']
['life', 'course', 'information', 'world']
['place', 'day', 'end', 'school']
['information', 'place', 'course', 'company']
['course', 'world', 'house', 'information']
['day', 'part', 'government', 'world']
['system', 'end', 'man', 'government']
['fact', 'way', 'life', 'year']
['life', 'school', 'fact', 'day']
['way', 'school', 'life', 'part']
['party', 'life', 'case', 'fact']
['case', 'way', 'man', 'group']
['system', 'party', 'way', 'end']
['part', 'course', 'government', 'house']
['information', 'man', 'year', 'part']
['case', 'house', 'course', 'school']
['year', 'government', 'way', 'part']
['part', 'group', 'end', 'case']
['world', 'day', 'system', 'information']
['life', 'end', 'world', 'school']
['world', 'government', 'case', 'life']
['company', 'group', 'information', 'life']
['place', 'school', 'house', 'party']
['work', 'group', 'year', 'place']
['place', 'work', 'school', 'information']
['group', 'work', 'course', 'world']
['year', 'company', 'party', 'day']
['school', 'government', 'company', 'fact']
['party', 'work', 'end', 'way']
['house', 'information', 'year', 'part']
['way', 'end', 'part', 'information']
['part', 'work', 'government', 'world']
['case', 'school', 'party', 'part']
['system', 'year', 'way', 'group']
['world', 'fact', 'school', 'government']
['life', 'fact', 'year', 'world']
['work', 'system', 'case', 'company']
['place', 'course', 'fact', 'year']
['house', 'world', 'day', 'school']
['day', 'fact', 'way', 'work']
['company', 'work', 'end', 'fact']
['work', 'part', 'information', 'company']
['end', 'house', 'year', 'way']
['world', 'life', 'work', 'place']
['way', 'company', 'life', 'fact']
['information', 'case', 'school', 'group']
['case', 'part', 'course', 'year']
['part', 'case', 'information', 'party']
['year', 'government', 'life', 'end']
['place', 'world', 'school', 'house']
['way', 'year', 'government', 'group']
['end', 'year', 'course', 'fact']
['company', 'man', 'life', 'party']
['school', 'work', 'system', 'information']
['part', 'man', 'end', 'year']
['course', 'company', 'house', 'work']
['information', 'part', 'place', 'work']
['world', 'end', 'course', 'part']
['day', 'company', 'man', 'life']
['house', 'year', 'life', 'group']
['man', 'government', 'group', 'day']
['world', 'system', 'government', 'place']
['government', 'company', 'world', 'group']
['fact', 'information', 'house', 'work']
['party', 'year', 'life', 'government']
['system', 'company', 'place', 'work']
['government', 'place', 'day', 'fact']
['house', 'information', 'man', 'year']
['end', 'world', 'way', 'man']
['work', 'life', 'school', 'course']
['world', 'way', 'case', 'life']
['place', 'world', 'part', 'life']
['year', 'house', 'part', 'party']
['house', 'company', 'way', 'work']
['government', 'fact', 'way', 'school']
