['government', 'life', 'case', 'work']
['information', 'year', 'end', 'case']
['case', 'part', 'school', 'government']
['course', 'year', 'place', 'work']
['company', 'group', 'fact', 'information']
['way', 'government', 'part', 'company']
['man', 'house', 'world', 'year']
['world', 'group', 'work', 'year']
['work', 'part', 'information', 'school']
['house', 'information', 'life', 'course']
['place', 'group', 'man', 'information']
['fact', 'work', 'world', 'part']
['house', 'man', 'government', 'system']
['year', 'fact', 'case', 'party']
['end', 'system', 'government', 'day']
['government', 'case', 'information', 'end']
['course', 'fact', 'part', 'day']
['course', 'fact', 'information', 'place']
['group', 'way', 'part', 'information']
['man', 'fact', 'information', 'year']
['company', 'information', 'fact', 'course']
['end', 'fact', 'group', 'system']
['day', 'part', 'system', 'fact']
['course', 'man', 'information', 'way']
['world', 'part', 'place', 'case']
['fact', 'part', 'company', 'place']
['place', 'work', 'government', 'course']
['fact', 'way', 'day', 'system']
['house', 'way', 'government', 'course']
['world', 'life', 'way', 'school']
['party', 'man', 'course', 'government']
['life', 'way', 'world', 'case']
['part', 'man', 'case', 'group']
['system', 'man', 'information', 'part']
['case', 'end', 'man', 'place']
['part', 'government', 'work', 'course']
['place', 'end', 'course', 'party']
['school', 'end', 'fact', 'work']
['work', 'company', 'world', 'case']
['year', 'group', 'day', 'company']
['company', 'house', 'group', 'world']
['fact', 'government', 'information', 'company']
['way', 'man', 'company', 'government']
['work', 'course', 'system', 'group']
['case', 'way', 'day', 'end']
['place', 'way', 'house', 'day']
['course', 'system', 'year', 'part']
['day', 'man', 'government', 'end']
['case', 'world', 'government', 'house']
['course', 'group', 'company', 'day']
['day', 'party', 'man', 'world']
['man', 'house', 'company', 'end']
['day', 'work', 'party', 'year']
['government', 'world', 'place', 'information']
['man', 'party', 'house', 'year']
['fact', 'case', 'life', 'course']
['life', 'world', 'way', 'fact']
['company', 'man', 'work', 'day']
['day', 'part', 'government', 'way']
['year', 'party', 'government', 'course']
['place', 'party', 'man', 'end']
['life', 'place', 'man', 'group']
['part', 'end', 'way', 'school']
['way', 'work', 'end', 'company']
['school', 'government', 'way', 'year']
['school', 'party', 'part', 'group']
['day', 'end', 'way', 'party']
['end', 'life', 'way', 'day']
['group', 'house', 'work', 'case']
['government', 'party', 'life', 'information']
['government', 'group', 'way', 'school']
['course', 'end', 'world', 'way']
['government', 'life', 'school', 'system']
['part', 'case', 'world', 'house']
['day', 'case', 'place', 'system']
['information', 'system', 'government', 'school']
['course', 'year', 'party', 'company']
['man', 'part', 'work', 'group']
['day', 'way', 'party', 'government']
['life', 'system', 'government', 'course']
['day', 'life', 'end', 'group']
['system', 'group', 'fact', 'course']
['life', 'man', 'way', 'information']
['man', 'part', 'system', 'course']
['life', 'work', 'government', 'school']
['fact', 'party', 'school', 'way']
['group', 'man', 'world', 'end']
['end', 'group', 'place', 'house']
['day', 'work', 'life', 'case']
['group', 'day', 'information', 'end']
['school', 'company', 'fact', 'end']
['world', 'school', 'place', 'fact']
['school', 'house', 'case', 'party']
['group', 'man', 'day', 'school']
['work', 'course', 'year', 'house']
['group', 'house', 'place', 'life']
['place', 'case', 'system', 'group']
['fact', 'way', 'group', 'work']
