['company', 'man', 'government', 'end']
['government', 'world', 'place', 'day']
['end', 'place', 'company', 'man']
['part', 'information', 'government', 'year']
['case', 'work', 'course', 'part']
['life', 'government', 'course', 'end']
['house', 'world', 'place', 'life']
['information', 'case', 'day', 'group']
['end', 'school', 'house', 'group']
['end', 'work', 'house', 'fact']
['man', 'year', 'life', 'end']
['company', 'party', 'year', 'world']
['party', 'end', 'year', 'work']
['place', 'fact', 'way', 'company']
['part', 'man', 'government', 'work']
['day', 'school', 'information', 'way']
['house', 'system', 'fact', 'school']
['house', 'information', 'company', 'part']
['government', 'world', 'course', 'work']
['group', 'man', 'house', 'part']
['system', 'way', 'group', 'part']
['party', 'house', 'fact', 'group']
['government', 'fact', 'year', 'group']
['place', 'party', 'case', 'course']
['house', 'party', 'man', 'course']
['case', 'life', 'way', 'information']
['group', 'way', 'world', 'place']
['house', 'end', 'life', 'part']
['house', 'man', 'information', 'end']
['group', 'company', 'way', 'day']
['place', 'system', 'information', 'company']
['way', 'party', 'year', 'man']
['life', 'house', 'day', 'company']
['case', 'information', 'place', 'company']
['day', 'life', 'way', 'work']
['way', 'part', 'party', 'end']
['course', 'year', 'group', 'case']
['man', 'course', 'way', 'party']
['man', 'course', 'life', 'year']
['man', 'party', 'group', 'school']
['information', 'world', 'year', 'end']
['group', 'man', 'end', 'course']
['party', 'day', 'case', 'government']
['school', 'fact', 'group', 'course']
['company', 'way', 'place', 'world']
['information', 'work', 'part', 'group']
['fact', 'day', 'case', 'way']
['course', 'year', 'case', 'man']
['fact', 'information', 'group', 'part']
['house', 'system', 'year', 'part']
['course', 'year', 'fact', 'man']
['end', 'life', 'work', 'place']
['group', 'information', 'government', 'course']
['government', 'work', 'world', 'year']
['day', 'man', 'government', 'company']
['part', 'work', 'school', 'way']
['day', 'course', 'world', 'school']
['work', 'world', 'house', 'group']
['world', 'system', 'government', 'end']
['day', 'group', 'house', 'course']
['world', 'course', 'way', 'year']
['year', 'life', 'man', 'place']
['day', 'world', 'party', 'case']
['information', 'world', 'man', 'system']
['world', 'way', 'end', 'work']
['way', 'place', 'case', 'man']
['work', 'life', 'year', 'way']
['party', 'life', 'work', 'day']
['year', 'day', 'course', 'house']
['work', 'part', 'place', 'system']
['company', 'man', 'government', 'part']
['world', 'man', 'day', 'school']
['information', 'day', 'school', 'house']
['group', 'government', 'information', 'school']
['year', 'house', 'day', 'fact']
['part', 'way', 'party', 'day']
['group', 'information', 'part', 'way']
['place', 'way', 'man', 'course']
['man', 'part', 'work', 'way']
['fact', 'school', 'house', 'part']
['case', 'company', 'fact', 'man']
['fact', 'part', 'government', 'year']
['part', 'party', 'work', 'company']
['day', 'government', 'man', 'group']
['part', 'party', 'school', 'world']
['life', 'part', 'case', 'world']
['part', 'government', 'end', 'case']
['case', 'house', 'part', 'government']
['course', 'school', 'man', 'system']
['system', 'day', 'fact', 'man']
['case', 'world', 'way', 'house']
['group', 'work', 'system', 'school']
['system', 'case', 'way', 'end']
['way', 'house', 'government', 'world']
['year', 'group', 'part', 'party']
['way', 'party', 'course', 'man']
['way', 'course', 'man', 'case']
['fact', 'course', 'man', 'case']
['case', 'fact', 'company', 'house']
