['place', 'day', 'part', 'house']
['man', 'group', 'fact', 'work']
['end', 'work', 'world', 'information']
['part', 'school', 'system', 'work']
['part', 'place', 'house', 'end']
['world', 'company', 'part', 'place']
['part', 'man', 'way', 'course']
['system', 'life', 'school', 'group']
['man', 'school', 'fact', 'way']
['way', 'house', 'case', 'company']
['system', 'course', 'life', 'party']
['year', 'information', 'system', 'case']
['life', 'place', 'party', 'world']
['work', 'way', 'end', 'year']
['fact', 'government', 'system', 'part']
['life', 'information', 'way', 'day']
['work', 'company', 'fact', 'group']
['government', 'fact', 'school', 'way']
['way', 'group', 'man', 'information']
['group', 'day', 'company', 'government']
['world', 'end', 'government', 'work']
['place', 'course', 'world', 'case']
['day', 'information', 'life', 'house']
['work', 'part', 'life', 'day']
['life', 'party', 'group', 'system']
['house', 'day', 'fact', 'system']
['course', 'end', 'part', 'man']
['house', 'work', 'day', 'school']
['course', 'school', 'group', 'day']
['year', 'place', 'life', 'end']
['life', 'course', 'work', 'end']
['company', 'group', 'house', 'day']
['school', 'day', 'year', 'way']
['way', 'day', 'end', 'man']
['life', 'part', 'school', 'work']
['course', 'work', 'information', 'place']
['part', 'group', 'way', 'world']
['day', 'end', 'information', 'government']
['group', 'part', 'government', 'life']
['year', 'case', 'course', 'life']
['case', 'year', 'fact', 'course']
['year', 'day', 'place', 'system']
['government', 'day', 'life', 'system']
['year', 'system', 'school', 'place']
['place', 'life', 'work', 'fact']
['course', 'company', 'end', 'group']
['work', 'place', 'school', 'way']
['government', 'fact', 'case', 'group']
['way', 'company', 'life', 'part']
['system', 'company', 'part', 'house']
['group', 'company', 'school', 'man']
['work', 'group', 'party', 'house']
['place', 'course', 'world', 'day']
['government', 'information', 'party', 'course']
['man', 'course', 'party', 'world']
['school', 'fact', 'year', 'way']
['system', 'party', 'information', 'life']
['year', 'school', 'part', 'work']
['information', 'government', 'year', 'company']
['end', 'fact', 'place', 'course']
['system', 'house', 'school', 'year']
['way', 'group', 'world', 'fact']
['party', 'year', 'way', 'fact']
['place', 'school', 'way', 'information']
['system', 'part', 'party', 'course']
['house', 'year', 'world', 'group']
['party', 'fact', 'house', 'part']
['party', 'school', 'world', 'part']
['world', 'party', 'government', 'man']
['party', 'case', 'course', 'man']
['government', 'information', 'day', 'group']
['government', 'part', 'life', 'company']
['year', 'house', 'government', 'life']
['life', 'place', 'man', 'party']
['information', 'company', 'world', 'course']
['government', 'place', 'information', 'school']
['work', 'house', 'end', 'way']
['school', 'place', 'house', 'end']
['house', 'party', 'school', 'fact']
['fact', 'course', 'part', 'company']
['house', 'case', 'man', 'end']
['system', 'company', 'work', 'end']
['house', 'life', 'part', 'school']
['government', 'work', 'group', 'way']
['group', 'course', 'school', 'world']
['way', 'year', 'world', 'group']
['school', 'day', 'house', 'party']
['party', 'work', 'company', 'end']
['work', 'day', 'school', 'way']
['world', 'part', 'party', 'government']
['system', 'house', 'part', 'day']
['house', 'work', 'school', 'way']
['world', 'part', 'government', 'house']
['group', 'house', 'fact', 'way']
['house', 'place', 'work', 'course']
['end', 'day', 'life', 'course']
['place', 'end', 'government', 'system']
['party', 'school', 'day', 'man']
['world', 'case', 'way', 'place']
