['work', 'year', 'information', 'day']
['end', 'work', 'place', 'case']
['fact', 'house', 'life', 'system']
['system', 'world', 'day', 'party']
['part', 'government', 'end', 'world']
['work', 'house', 'fact', 'part']
['end', 'man', 'world', 'course']
['way', 'fact', 'world', 'life']
['place', 'year', 'day', 'government']
['group', 'house', 'end', 'party']
['work', 'man', 'place', 'life']
['end', 'place', 'company', 'house']
['life', 'party', 'company', 'day']
['year', 'life', 'system', 'man']
['place', 'school', 'case', 'information']
['course', 'school', 'case', 'way']
['part', 'group', 'house', 'information']
['information', 'part', 'day', 'man']
['party', 'work', 'life', 'information']
['man', 'life', 'day', 'part']
['course', 'world', 'year', 'information']
['system', 'fact', 'company', 'house']
['system', 'information', 'fact', 'group']
['company', 'case', 'world', 'part']
['system', 'man', 'year', 'group']
['year', 'house', 'course', 'government']
['system', 'place', 'house', 'information']
['course', 'year', 'party', 'fact']
['place', 'course', 'part', 'day']
['work', 'group', 'place', 'course']
['life', 'government', 'company', 'day']
['party', 'life', 'way', 'end']
['fact', 'year', 'party', 'information']
['year', 'man', 'way', 'life']
['world', 'part', 'year', 'end']
['school', 'man', 'year', 'way']
['information', 'government', 'life', 'part']
['life', 'way', 'year', 'course']
['information', 'year', 'group', 'case']
['company', 'school', 'life', 'day']
['year', 'part', 'case', 'life']
['year', 'life', 'case', 'group']
['fact', 'life', 'part', 'information']
['way', 'day', 'life', 'course']
['life', 'part', 'school', 'end']
['system', 'company', 'information', 'course']
['day', 'place', 'year', 'government']
['life', 'part', 'company', 'place']
['life', 'system', 'case', 'school']
['life', 'world', 'house', 'way']
['day', 'life', 'information', 'government']
['end', 'life', 'work', 'year']
['system', 'course', 'house', 'life']
['world', 'system', 'case', 'information']
['life', 'part', 'day', 'house']
['information', 'group', 'work', 'fact']
['work', 'place', 'part', 'party']
['place', 'day', 'world', 'life']
['information', 'part', 'group', 'way']
['group', 'year', 'company', 'end']
['work', 'government', 'house', 'life']
['house', 'group', 'day', 'man']
['work', 'system', 'place', 'course']
['information', 'life', 'man', 'company']
['course', 'place', 'school', 'day']
['year', 'government', 'fact', 'school']
['group', 'case', 'man', 'school']
['group', 'life', 'information', 'end']
['company', 'group', 'world', 'work']
['place', 'company', 'case', 'house']
['course', 'place', 'part', 'party']
['house', 'day', 'fact', 'way']
['information', 'year', 'world', 'school']
['man', 'course', 'group', 'place']
['man', 'party', 'company', 'end']
['course', 'government', 'place', 'day']
['place', 'fact', 'world', 'information']
['place', 'party', 'fact', 'house']
['course', 'man', 'company', 'way']
['information', 'school', 'end', 'company']
['fact', 'man', 'work', 'course']
['day', 'way', 'company', 'man']
['party', 'system', 'case', 'group']
['world', 'fact', 'way', 'group']
['life', 'case', 'course', 'fact']
['fact', 'case', 'man', 'school']
['year', 'day', 'course', 'government']
['information', 'case', 'end', 'day']
['case', 'group', 'course', 'place']
['course', 'man', 'part', 'world']
['work', 'world', 'system', 'government']
['way', 'party', 'man', 'system']
['life', 'course', 'school', 'year']
['group', 'information', 'place', 'system']
['man', 'end', 'school', 'government']
['life', 'way', 'man', 'company']
['course', 'part', 'house', 'information']
['work', 'case', 'part', 'house']
['group', 'course', 'place', 'house']
