['case', 'work', 'part', 'year']
['house', 'end', 'life', 'course']
['information', 'school', 'house', 'case']
['house', 'life', 'year', 'government']
['course', 'fact', 'end', 'case']
['world', 'fact', 'life', 'course']
['day', 'work', 'system', 'part']
['party', 'year', 'world', 'life']
['part', 'case', 'world', 'school']
['place', 'system', 'work', 'man']
['part', 'work', 'government', 'system']
['case', 'life', 'day', 'work']
['year', 'end', 'school', 'day']
['world', 'part', 'house', 'case']
['day', 'world', 'way', 'work']
['company', 'case', 'party', 'end']
['year', 'day', 'house', 'party']
['case', 'government', 'world', 'way']
['government', 'way', 'end', 'company']
['party', 'course', 'company', 'house']
['life', 'part', 'government', 'end']
['system', 'way', 'information', 'course']
['course', 'man', 'party', 'system']
['man', 'place', 'information', 'group']
['day', 'way', 'case', 'company']
['day', 'school', 'part', 'year']
['work', 'day', 'government', 'school']
['way', 'life', 'part', 'company']
['government', 'man', 'part', 'case']
['case', 'end', 'company', 'group']
['information', 'course', 'day', 'fact']
['party', 'government', 'end', 'place']
['party', 'house', 'information', 'school']
['house', 'part', 'fact', 'information']
['place', 'way', 'part', 'end']
['place', 'case', 'party', 'life']
['part', 'house', 'end', 'way']
['government', 'course', 'work', 'place']
['man', 'year', 'information', 'course']
['life', 'fact', 'end', 'case']
['world', 'government', 'place', 'fact']
['life', 'fact', 'end', 'school']
['party', 'information', 'way', 'place']
['way', 'information', 'house', 'year']
['man', 'system', 'way', 'company']
['man', 'company', 'government', 'part']
['party', 'fact', 'part', 'way']
['fact', 'house', 'end', 'group']
['course', 'case', 'part', 'place']
['information', 'company', 'way', 'year']
['government', 'case', 'way', 'world']
['system', 'work', 'group', 'information']
['school', 'world', 'way', 'work']
['information', 'life', 'work', 'company']
['work', 'school', 'company', 'system']
['work', 'part', 'school', 'government']
['party', 'place', 'case', 'company']
['man', 'information', 'world', 'case']
['end', 'group', 'house', 'information']
['group', 'company', 'world', 'year']
['party', 'system', 'company', 'information']
['system', 'school', 'man', 'place']
['way', 'year', 'system', 'group']
['place', 'house', 'fact', 'work']
['party', 'work', 'school', 'end']
['place', 'system', 'course', 'information']
['life', 'system', 'house', 'day']
['day', 'system', 'part', 'case']
['government', 'school', 'course', 'company']
['group', 'work', 'government', 'house']
['house', 'part', 'company', 'year']
['life', 'case', 'end', 'information']
['fact', 'way', 'system', 'party']
['world', 'government', 'year', 'group']
['system', 'course', 'group', 'life']
['year', 'system', 'way', 'life']
['world', 'school', 'end', 'place']
['case', 'work', 'man', 'world']
['man', 'part', 'party', 'information']
['information', 'school', 'part', 'life']
['way', 'world', 'school', 'work']
['information', 'place', 'part', 'end']
['day', 'course', 'world', 'fact']
['party', 'fact', 'place', 'house']
['work', 'day', 'case', 'school']
['day', 'man', 'part', 'world']
['place', 'man', 'group', 'world']
['world', 'government', 'part', 'group']
['work', 'information', 'life', 'house']
['man', 'company', 'end', 'life']
['man', 'company', 'fact', 'house']
['place', 'world', 'part', 'way']
['place', 'life', 'course', 'year']
['system', 'end', 'house', 'fact']
['part', 'government', 'case', 'system']
['school', 'government', 'system', 'end']
['fact', 'man', 'party', 'work']
['system', 'school', 'world', 'work']
['case', 'way', 'end', 'house']
