['way', 'world', 'end', 'party']
['company', 'end', 'place', 'part']
['part', 'school', 'work', 'place']
['house', 'end', 'part', 'government']
['school', 'world', 'information', 'year']
['fact', 'part', 'party', 'company']
['system', 'case', 'fact', 'party']
['part', 'way', 'house', 'year']
['place', 'life', 'information', 'way']
['information', 'government', 'way', 'work']
['part', 'day', 'company', 'way']
['system', 'world', 'part', 'place']
['house', 'place', 'end', 'life']
['year', 'day', 'government', 'company']
['year', 'party', 'man', 'work']
['company', 'system', 'life', 'world']
['group', 'house', 'school', 'life']
['course', 'system', 'school', 'year']
['group', 'part', 'party', 'place']
['house', 'part', 'party', 'fact']
['fact', 'place', 'way', 'day']
['fact', 'system', 'part', 'end']
['government', 'case', 'school', 'year']
['work', 'information', 'day', 'man']
['year', 'part', 'party', 'work']
['way', 'school', 'government', 'work']
['house', 'man', 'year', 'school']
['group', 'man', 'house', 'day']
['place', 'fact', 'information', 'group']
['end', 'information', 'system', 'course']
['part', 'life', 'government', 'house']
['life', 'way', 'man', 'work']
['system', 'place', 'end', 'man']
['company', 'course', 'party', 'part']
['information', 'life', 'day', 'case']
['information', 'group', 'day', 'world']
['information', 'end', 'government', 'course']
['world', 'government', 'information', 'year']
['place', 'information', 'work', 'case']
['world', 'group', 'company', 'fact']
['group', 'school', 'part', 'day']
['company', 'day', 'party', 'world']
['man', 'place', 'part', 'school']
['case', 'school', 'world', 'government']
['house', 'party', 'system', 'place']
['end', 'information', 'government', 'work']
['course', 'group', 'way', 'place']
['man', 'information', 'life', 'group']
['house', 'course', 'group', 'information']
['work', 'case', 'way', 'course']
['work', 'house', 'world', 'information']
['work', 'world', 'government', 'party']
['group', 'information', 'life', 'school']
['way', 'man', 'system', 'company']
['day', 'man', 'party', 'school']
['work', 'system', 'course', 'end']
['work', 'company', 'house', 'case']
['government', 'school', 'company', 'fact']
['government', 'course', 'year', 'case']
['year', 'group', 'company', 'information']
['man', 'school', 'end', 'year']
['house', 'government', 'course', 'fact']
['work', 'group', 'day', 'part']
['house', 'world', 'course', 'year']
['system', 'party', 'year', 'way']
['year', 'government', 'information', 'day']
['fact', 'world', 'group', 'system']
['party', 'work', 'case', 'information']
['end', 'way', 'information', 'place']
['course', 'year', 'school', 'fact']
['day', 'information', 'course', 'school']
['school', 'information', 'group', 'fact']
['house', 'way', 'part', 'day']
['case', 'part', 'course', 'house']
['world', 'government', 'life', 'company']
['life', 'information', 'place', 'case']
['end', 'place', 'day', 'case']
['party', 'system', 'life', 'school']
['case', 'information', 'fact', 'government']
['house', 'place', 'party', 'day']
['way', 'world', 'part', 'company']
['course', 'case', 'way', 'world']
['system', 'man', 'government', 'company']
['government', 'course', 'system', 'party']
['year', 'government', 'life', 'world']
['group', 'party', 'place', 'work']
['house', 'life', 'way', 'school']
['life', 'group', 'way', 'work']
['company', 'place', 'house', 'fact']
['way', 'school', 'house', 'party']
['system', 'day', 'world', 'way']
['government', 'house', 'life', 'part']
['day', 'system', 'year', 'school']
['party', 'way', 'fact', 'life']
['place', 'day', 'information', 'party']
['place', 'government', 'house', 'party']
['fact', 'case', 'party', 'course']
['company', 'place', 'way', 'case']
['school', 'course', 'system', 'group']
