['work', 'party', 'way', 'fact']
['house', 'party', 'year', 'way']
['school', 'place', 'party', 'fact']
['fact', 'place', 'company', 'man']
['fact', 'case', 'system', 'company']
['year', 'day', 'fact', 'party']
['place', 'government', 'way', 'day']
['party', 'world', 'system', 'part']
['fact', 'system', 'place', 'government']
['group', 'company', 'fact', 'man']
['day', 'course', 'work', 'party']
['man', 'course', 'house', 'group']
['course', 'party', 'place', 'government']
['fact', 'course', 'part', 'life']
['work', 'year', 'world', 'system']
['life', 'year', 'way', 'case']
['work', 'case', 'life', 'place']
['school', 'man', 'government', 'world']
['school', 'day', 'company', 'part']
['end', 'house', 'course', 'case']
['man', 'party', 'school', 'system']
['end', 'school', 'party', 'work']
['group', 'world', 'case', 'place']
['man', 'government', 'party', 'part']
['day', 'world', 'government', 'system']
['place', 'school', 'way', 'house']
['course', 'group', 'place', 'end']
['government', 'house', 'year', 'system']
['life', 'year', 'world', 'course']
['information', 'group', 'man', 'world']
['day', 'place', 'case', 'way']
['place', 'party', 'fact', 'way']
['group', 'government', 'party', 'part']
['party', 'case', 'year', 'government']
['place', 'company', 'fact', 'end']
['man', 'case', 'end', 'party']
['fact', 'man', 'information', 'work']
['system', 'house', 'group', 'case']
['world', 'place', 'house', 'way']
['group', 'information', 'school', 'government']
['school', 'man', 'life', 'case']
['company', 'information', 'life', 'end']
['year', 'school', 'way', 'life']
['way', 'school', 'party', 'fact']
['end', 'life', 'year', 'group']
['year', 'end', 'fact', 'way']
['house', 'world', 'place', 'company']
['group', 'part', 'year', 'end']
['system', 'way', 'government', 'end']
['information', 'house', 'work', 'year']
['information', 'man', 'case', 'government']
['way', 'course', 'world', 'school']
['man', 'system', 'life', 'part']
['group', 'life', 'party', 'course']
['group', 'work', 'world', 'system']
['day', 'world', 'part', 'work']
['year', 'work', 'end', 'government']
['day', 'company', 'way', 'party']
['fact', 'part', 'system', 'party']
['school', 'case', 'end', 'course']
['school', 'government', 'house', 'way']
['system', 'part', 'government', 'life']
['place', 'case', 'day', 'government']
['party', 'government', 'fact', 'man']
['place', 'course', 'case', 'government']
['work', 'case', 'information', 'school']
['case', 'company', 'party', 'day']
['place', 'life', 'group', 'government']
['part', 'party', 'day', 'place']
['year', 'work', 'information', 'man']
['group', 'work', 'house', 'world']
['system', 'group', 'place', 'fact']
['life', 'world', 'information', 'group']
['way', 'school', 'place', 'case']
['way', 'government', 'day', 'school']
['government', 'life', 'part', 'course']
['place', 'man', 'system', 'party']
['life', 'case', 'government', 'fact']
['way', 'day', 'year', 'school']
['place', 'world', 'day', 'year']
['end', 'course', 'group', 'house']
['life', 'part', 'system', 'party']
['information', 'government', 'school', 'company']
['system', 'group', 'government', 'world']
['fact', 'end', 'place', 'year']
['group', 'information', 'company', 'life']
['course', 'day', 'part', 'man']
['fact', 'world', 'party', 'system']
['day', 'course', 'life', 'work']
['information', 'party', 'day', 'life']
['fact', 'place', 'system', 'house']
['school', 'course', 'year', 'world']
['part', 'fact', 'system', 'day']
['system', 'party', 'case', 'day']
['way', 'day', 'house', 'government']
['year', 'group', 'day', 'government']
['group', 'way', 'part', 'fact']
['course', 'party', 'man', 'year']
['information', 'government', 'system', 'party']
