['case', 'end', 'group', 'company']
['case', 'party', 'way', 'place']
['government', 'way', 'life', 'fact']
['day', 'work', 'part', 'government']
['group', 'information', 'party', 'fact']
['year', 'part', 'end', 'company']
['case', 'year', 'house', 'work']
['school', 'year', 'way', 'case']
['life', 'end', 'part', 'course']
['government', 'fact', 'case', 'house']
['day', 'work', 'man', 'case']
['party', 'system', 'fact', 'company']
['company', 'group', 'man', 'school']
['company', 'place', 'group', 'school']
['government', 'day', 'life', 'school']
['life', 'course', 'man', 'government']
['case', 'work', 'house', 'fact']
['part', 'system', 'group', 'party']
['fact', 'way', 'year', 'day']
['house', 'world', 'part', 'government']
['course', 'information', 'world', 'fact']
['government', 'case', 'system', 'school']
['way', 'system', 'end', 'life']
['day', 'house', 'party', 'company']
['information', 'way', 'house', 'day']
['end', 'course', 'life', 'house']
['life', 'school', 'work', 'system']
['work', 'information', 'place', 'group']
['group', 'course', 'part', 'work']
['school', 'way', 'government', 'party']
['company', 'part', 'man', 'case']
['information', 'school', 'year', 'place']
['government', 'part', 'school', 'company']
['company', 'information', 'house', 'work']
['way', 'government', 'school', 'work']
['house', 'course', 'fact', 'way']
['fact', 'school', 'life', 'world']
['group', 'day', 'place', 'fact']
['school', 'work', 'life', 'man']
['day', 'system', 'year', 'house']
['company', 'system', 'way', 'place']
['part', 'house', 'work', 'man']
['part', 'way', 'end', 'place']
['place', 'course', 'house', 'day']
['work', 'part', 'man', 'government']
['work', 'school', 'fact', 'group']
['part', 'place', 'system', 'group']
['information', 'party', 'company', 'course']
['work', 'course', 'system', 'end']
['man', 'way', 'school', 'fact']
['place', 'company', 'way', 'part']
['place', 'house', 'work', 'way']
['world', 'end', 'work', 'company']
['end', 'course', 'world', 'year']
['company', 'party', 'group', 'year']
['work', 'party', 'year', 'end']
['company', 'year', 'party', 'place']
['company', 'world', 'day', 'fact']
['party', 'end', 'school', 'way']
['school', 'fact', 'system', 'course']
['day', 'company', 'information', 'house']
['man', 'course', 'house', 'information']
['year', 'fact', 'work', 'system']
['life', 'work', 'part', 'fact']
['way', 'school', 'place', 'party']
['system', 'house', 'life', 'end']
['life', 'government', 'school', 'man']
['part', 'school', 'life', 'group']
['party', 'way', 'life', 'part']
['world', 'day', 'life', 'party']
['case', 'work', 'group', 'house']
['case', 'man', 'course', 'way']
['man', 'life', 'day', 'system']
['school', 'place', 'end', 'day']
['day', 'fact', 'man', 'company']
['life', 'part', 'course', 'party']
['government', 'system', 'fact', 'year']
['place', 'work', 'school', 'year']
['fact', 'place', 'end', 'way']
['part', 'man', 'school', 'end']
['course', 'information', 'life', 'end']
['end', 'school', 'group', 'case']
['year', 'life', 'fact', 'group']
['fact', 'man', 'part', 'information']
['government', 'course', 'fact', 'information']
['day', 'system', 'year', 'way']
['man', 'fact', 'system', 'school']
['year', 'information', 'course', 'group']
['school', 'place', 'life', 'company']
['end', 'fact', 'group', 'way']
['day', 'part', 'house', 'group']
['school', 'part', 'day', 'company']
['government', 'man', 'system', 'world']
['company', 'way', 'government', 'life']
['group', 'day', 'place', 'information']
['house', 'place', 'life', 'case']
['fact', 'place', 'man', 'information']
['house', 'school', 'end', 'company']
['work', 'school', 'way', 'part']
