['case', 'work', 'way', 'group']
['man', 'world', 'party', 'way']
['day', 'government', 'fact', 'party']
['information', 'life', 'end', 'world']
['part', 'life', 'school', 'system']
['government', 'way', 'system', 'information']
['man', 'case', 'way', 'government']
['government', 'man', 'course', 'case']
['company', 'part', 'government', 'system']
['life', 'government', 'fact', 'system']
['day', 'group', 'place', 'party']
['year', 'school', 'day', 'way']
['government', 'information', 'party', 'case']
['party', 'part', 'information', 'end']
['life', 'fact', 'system', 'way']
['fact', 'course', 'life', 'way']
['group', 'school', 'day', 'government']
['course', 'government', 'man', 'way']
['party', 'day', 'case', 'work']
['man', 'house', 'year', 'fact']
['year', 'way', 'fact', 'day']
['party', 'house', 'way', 'school']
['end', 'group', 'part', 'party']
['fact', 'end', 'system', 'information']
['school', 'fact', 'party', 'year']
['group', 'house', 'system', 'man']
['government', 'end', 'school', 'day']
['part', 'life', 'case', 'work']
['party', 'world', 'work', 'place']
['group', 'information', 'day', 'man']
['end', 'man', 'year', 'company']
['school', 'house', 'case', 'way']
['way', 'fact', 'world', 'day']
['information', 'man', 'group', 'work']
['house', 'man', 'world', 'end']
['course', 'way', 'system', 'year']
['world', 'fact', 'group', 'way']
['place', 'life', 'house', 'day']
['course', 'year', 'government', 'world']
['place', 'life', 'information', 'party']
['case', 'man', 'way', 'government']
['world', 'part', 'end', 'fact']
['house', 'government', 'system', 'end']
['man', 'work', 'world', 'end']
['group', 'system', 'course', 'day']
['company', 'group', 'life', 'house']
['information', 'government', 'party', 'way']
['house', 'fact', 'man', 'year']
['information', 'group', 'end', 'party']
['part', 'group', 'day', 'course']
['party', 'course', 'house', 'government']
['end', 'school', 'world', 'place']
['house', 'fact', 'course', 'system']
['system', 'work', 'year', 'man']
['course', 'company', 'fact', 'party']
['school', 'case', 'world', 'fact']
['year', 'case', 'part', 'man']
['day', 'group', 'case', 'end']
['group', 'life', 'year', 'information']
['world', 'system', 'party', 'company']
['company', 'man', 'life', 'house']
['company', 'group', 'government', 'day']
['house', 'place', 'government', 'part']
['course', 'case', 'system', 'way']
['end', 'school', 'year', 'work']
['course', 'end', 'part', 'case']
['company', 'work', 'year', 'world']
['government', 'system', 'company', 'house']
['company', 'work', 'fact', 'system']
['information', 'fact', 'life', 'group']
['case', 'life', 'day', 'system']
['company', 'place', 'year', 'life']
['man', 'end', 'party', 'fact']
['part', 'course', 'life', 'case']
['life', 'information', 'year', 'part']
['course', 'party', 'fact', 'man']
['way', 'life', 'part', 'information']
['way', 'government', 'work', 'world']
['course', 'government', 'company', 'way']
['part', 'way', 'year', 'group']
['world', 'case', 'day', 'house']
['work', 'house', 'world', 'group']
['place', 'information', 'work', 'school']
['house', 'government', 'course', 'day']
['course', 'way', 'case', 'place']
['course', 'work', 'fact', 'case']
['case', 'party', 'school', 'information']
['end', 'house', 'life', 'fact']
['course', 'day', 'place', 'case']
['way', 'work', 'fact', 'place']
['company', 'part', 'group', 'information']
['company', 'course', 'life', 'part']
['information', 'party', 'part', 'year']
['group', 'course', 'life', 'government']
['year', 'information', 'place', 'part']
['case', 'house', 'year', 'school']
['school', 'place', 'case', 'fact']
['man', 'school', 'information', 'work']
['system', 'world', 'fact', 'government']
