['place', 'fact', 'party', 'day']
['party', 'world', 'group', 'part']
['world', 'case', 'school', 'day']
['world', 'group', 'work', 'life']
['day', 'year', 'case', 'place']
['fact', 'school', 'group', 'life']
['day', 'man', 'course', 'information']
['house', 'party', 'year', 'information']
['life', 'case', 'fact', 'end']
['day', 'world', 'party', 'way']
['life', 'party', 'work', 'way']
['man', 'party', 'company', 'part']
['world', 'year', 'information', 'school']
['group', 'government', 'way', 'year']
['group', 'school', 'man', 'party']
['information', 'government', 'group', 'year']
['place', 'group', 'company', 'house']
['man', 'day', 'year', 'system']
['case', 'life', 'year', 'place']
['system', 'man', 'year', 'part']
['system', 'day', 'place', 'case']
['information', 'group', 'system', 'place']
['information', 'life', 'system', 'way']
['day', 'party', 'world', 'fact']
['information', 'party', 'course', 'company']
['government', 'world', 'fact', 'information']
['group', 'company', 'party', 'year']
['end', 'work', 'man', 'information']
['world', 'case', 'end', 'party']
['way', 'government', 'end', 'information']
['year', 'way', 'house', 'world']
['group', 'part', 'world', 'work']
['case', 'government', 'party', 'man']
['fact', 'life', 'government', 'party']
['part', 'way', 'group', 'school']
['man', 'party', 'school', 'case']
['group', 'way', 'work', 'company']
['case', 'life', 'system', 'group']
['man', 'place', 'fact', 'year']
['party', 'way', 'information', 'part']
['group', 'government', 'part', 'man']
['place', 'case', 'life', 'government']
['end', 'year', 'party', 'system']
['school', 'company', 'group', 'life']
['year', 'group', 'house', 'world']
['day', 'company', 'government', 'place']
['life', 'information', 'day', 'case']
['company', 'case', 'year', 'house']
['year', 'end', 'world', 'life']
['information', 'case', 'work', 'house']
['company', 'end', 'information', 'day']
['place', 'information', 'fact', 'man']
['system', 'world', 'government', 'group']
['man', 'place', 'part', 'day']
['course', 'way', 'company', 'year']
['life', 'year', 'man', 'place']
['house', 'government', 'information', 'part']
['school', 'government', 'group', 'house']
['work', 'end', 'course', 'house']
['place', 'house', 'part', 'year']
['government', 'day', 'school', 'life']
['company', 'year', 'way', 'course']
['course', 'case', 'school', 'government']
['world', 'day', 'year', 'school']
['work', 'system', 'life', 'party']
['life', 'part', 'group', 'school']
['school', 'system', 'man', 'case']
['man', 'day', 'system', 'information']
['information', 'company', 'way', 'place']
['world', 'work', 'man', 'year']
['party', 'man', 'fact', 'work']
['company', 'life', 'school', 'part']
['work', 'fact', 'course', 'party']
['day', 'information', 'company', 'group']
['party', 'company', 'information', 'system']
['day', 'man', 'place', 'case']
['day', 'group', 'place', 'life']
['group', 'course', 'party', 'information']
['party', 'information', 'day', 'part']
['information', 'world', 'government', 'group']
['house', 'year', 'school', 'world']
['place', 'party', 'government', 'school']
['course', 'fact', 'work', 'system']
['work', 'government', 'system', 'part']
['man', 'information', 'year', 'day']
['information', 'fact', 'world', 'work']
['system', 'man', 'day', 'world']
['day', 'company', 'house', 'year']
['life', 'world', 'government', 'case']
['part', 'place', 'fact', 'way']
['case', 'house', 'system', 'government']
['case', 'world', 'house', 'day']
['case', 'way', 'company', 'life']
['place', 'work', 'world', 'school']
['life', 'case', 'government', 'year']
['group', 'system', 'work', 'way']
['government', 'end', 'day', 'year']
['end', 'house', 'government', 'year']
['way', 'work', 'system', 'year']
