['life', 'work', 'part', 'end']
['government', 'day', 'world', 'house']
['day', 'case', 'year', 'information']
['part', 'information', 'fact', 'case']
['life', 'system', 'man', 'work']
['group', 'system', 'end', 'man']
['day', 'part', 'information', 'school']
['year', 'company', 'world', 'school']
['year', 'case', 'way', 'information']
['government', 'year', 'man', 'school']
['world', 'case', 'company', 'fact']
['course', 'way', 'year', 'company']
['case', 'end', 'course', 'party']
['year', 'case', 'part', 'way']
['end', 'party', 'fact', 'year']
['school', 'place', 'information', 'life']
['case', 'school', 'end', 'way']
['world', 'company', 'day', 'man']
['year', 'party', 'school', 'course']
['year', 'course', 'place', 'government']
['way', 'government', 'course', 'school']
['company', 'world', 'day', 'life']
['party', 'way', 'school', 'house']
['school', 'party', 'company', 'man']
['life', 'house', 'government', 'system']
['case', 'system', 'course', 'day']
['company', 'place', 'party', 'case']
['man', 'company', 'information', 'house']
['fact', 'day', 'work', 'way']
['case', 'man', 'fact', 'party']
['way', 'case', 'world', 'school']
['year', 'house', 'system', 'way']
['place', 'end', 'house', 'day']
['place', 'way', 'part', 'world']
['fact', 'work', 'man', 'party']
['work', 'case', 'way', 'end']
['government', 'group', 'work', 'world']
['school', 'world', 'way', 'case']
['day', 'life', 'company', 'fact']
['part', 'company', 'information', 'house']
['day', 'company', 'world', 'part']
['life', 'part', 'world', 'place']
['company', 'party', 'place', 'information']
['end', 'course', 'life', 'information']
['year', 'school', 'man', 'case']
['world', 'day', 'year', 'part']
['system', 'school', 'group', 'man']
['day', 'life', 'case', 'way']
['case', 'party', 'house', 'day']
['work', 'place', 'house', 'course']
['government', 'work', 'house', 'party']
['case', 'life', 'party', 'group']
['world', 'government', 'way', 'work']
['school', 'part', 'party', 'case']
['fact', 'year', 'way', 'man']
['fact', 'information', 'end', 'life']
['world', 'man', 'information', 'case']
['life', 'world', 'information', 'house']
['government', 'house', 'day', 'part']
['day', 'world', 'government', 'case']
['course', 'fact', 'government', 'man']
['day', 'house', 'life', 'place']
['end', 'school', 'information', 'case']
['work', 'information', 'system', 'life']
['system', 'world', 'way', 'end']
['way', 'world', 'group', 'party']
['school', 'world', 'party', 'course']
['man', 'end', 'part', 'way']
['group', 'way', 'place', 'company']
['year', 'man', 'way', 'system']
['man', 'fact', 'government', 'way']
['fact', 'way', 'case', 'man']
['work', 'fact', 'place', 'house']
['day', 'end', 'fact', 'company']
['house', 'way', 'course', 'fact']
['information', 'course', 'world', 'school']
['end', 'government', 'party', 'case']
['system', 'world', 'information', 'case']
['world', 'life', 'system', 'house']
['group', 'world', 'information', 'school']
['course', 'life', 'school', 'man']
['day', 'life', 'information', 'work']
['end', 'work', 'day', 'government']
['life', 'information', 'party', 'government']
['part', 'fact', 'group', 'life']
['group', 'end', 'place', 'government']
['party', 'man', 'end', 'school']
['group', 'house', 'company', 'fact']
['day', 'man', 'company', 'party']
['party', 'life', 'man', 'work']
['fact', 'end', 'system', 'work']
['course', 'life', 'man', 'government']
['company', 'day', 'place', 'house']
['end', 'year', 'course', 'group']
['company', 'school', 'information', 'way']
['end', 'part', 'year', 'information']
['part', 'year', 'company', 'information']
['party', 'company', 'man', 'information']
