['way', 'end', 'work', 'party']
['way', 'year', 'information', 'party']
['fact', 'information', 'government', 'party']
['year', 'course', 'house', 'work']
['case', 'man', 'house', 'course']
['way', 'part', 'system', 'school']
['system', 'part', 'year', 'world']
['day', 'man', 'world', 'government']
['system', 'life', 'house', 'end']
['end', 'man', 'house', 'company']
['day', 'end', 'work', 'world']
['information', 'group', 'life', 'man']
['life', 'end', 'party', 'place']
['school', 'house', 'group', 'party']
['life', 'work', 'group', 'school']
['life', 'work', 'school', 'case']
['way', 'place', 'group', 'man']
['day', 'system', 'course', 'case']
['part', 'school', 'case', 'house']
['part', 'man', 'course', 'system']
['place', 'day', 'world', 'man']
['work', 'life', 'place', 'government']
['day', 'world', 'group', 'system']
['information', 'man', 'year', 'fact']
['man', 'world', 'end', 'system']
['part', 'year', 'course', 'group']
['party', 'school', 'case', 'man']
['place', 'work', 'party', 'world']
['course', 'school', 'group', 'information']
['government', 'case', 'information', 'course']
['course', 'school', 'government', 'house']
['house', 'work', 'government', 'part']
['life', 'government', 'course', 'school']
['house', 'life', 'man', 'fact']
['school', 'company', 'case', 'government']
['case', 'life', 'house', 'world']
['course', 'work', 'government', 'company']
['life', 'house', 'information', 'part']
['house', 'school', 'life', 'course']
['man', 'group', 'case', 'world']
['system', 'work', 'company', 'world']
['company', 'place', 'world', 'house']
['end', 'party', 'work', 'case']
['day', 'life', 'part', 'case']
['system', 'house', 'way', 'man']
['information', 'man', 'way', 'work']
['end', 'part', 'year', 'system']
['system', 'day', 'year', 'part']
['work', 'party', 'school', 'place']
['government', 'system', 'company', 'place']
['man', 'information', 'year', 'government']
['house', 'world', 'way', 'fact']
['man', 'case', 'work', 'world']
['company', 'way', 'case', 'fact']
['course', 'house', 'work', 'party']
['house', 'end', 'system', 'party']
['school', 'information', 'fact', 'way']
['part', 'world', 'work', 'year']
['work', 'course', 'school', 'government']
['course', 'end', 'fact', 'place']
['system', 'company', 'part', 'end']
['part', 'system', 'place', 'life']
['end', 'world', 'company', 'group']
['company', 'house', 'part', 'end']
['world', 'end', 'course', 'company']
['party', 'man', 'part', 'end']
['government', 'group', 'day', 'information']
['end', 'part', 'company', 'man']
['government', 'course', 'work', 'life']
['case', 'year', 'world', 'party']
['house', 'course', 'place', 'life']
['way', 'man', 'company', 'work']
['way', 'course', 'school', 'system']
['part', 'world', 'case', 'group']
['end', 'life', 'case', 'part']
['world', 'place', 'house', 'life']
['case', 'group', 'end', 'fact']
['system', 'year', 'end', 'information']
['man', 'house', 'life', 'work']
['year', 'end', 'way', 'place']
['school', 'place', 'government', 'party']
['life', 'place', 'part', 'company']
['part', 'work', 'house', 'information']
['party', 'fact', 'life', 'work']
['end', 'course', 'system', 'group']
['world', 'information', 'school', 'part']
['fact', 'company', 'life', 'part']
['school', 'man', 'system', 'year']
['house', 'place', 'world', 'way']
['school', 'party', 'system', 'company']
['fact', 'house', 'case', 'work']
['party', 'work', 'house', 'life']
['course', 'world', 'group', 'way']
['system', 'government', 'course', 'way']
['party', 'life', 'world', 'man']
['world', 'course', 'place', 'life']
['fact', 'case', 'house', 'course']
['man', 'system', 'company', 'work']
['party', 'way', 'man', 'group']
