['information', 'fact', 'system', 'company']
['system', 'house', 'fact', 'place']
['case', 'day', 'house', 'system']
['group', 'day', 'school', 'course']
['part', 'day', 'place', 'life']
['course', 'part', 'place', 'house']
['group', 'company', 'part', 'school']
['company', 'man', 'group', 'house']
['life', 'company', 'government', 'case']
['group', 'man', 'place', 'party']
['school', 'group', 'part', 'course']
['life', 'day', 'year', 'case']
['system', 'school', 'part', 'world']
['group', 'life', 'company', 'day']
['man', 'world', 'course', 'year']
['place', 'system', 'year', 'life']
['fact', 'way', 'place', 'life']
['house', 'government', 'school', 'case']
['day', 'case', 'work', 'place']
['group', 'life', 'information', 'system']
['government', 'work', 'day', 'company']
['man', 'day', 'case', 'course']
['information', 'work', 'world', 'way']
['school', 'man', 'government', 'house']
['company', 'system', 'life', 'place']
['party', 'way', 'part', 'end']
['man', 'course', 'group', 'end']
['group', 'man', 'work', 'year']
['way', 'year', 'place', 'man']
['house', 'life', 'group', 'fact']
['company', 'way', 'part', 'life']
['fact', 'way', 'life', 'information']
['place', 'party', 'world', 'system']
['place', 'way', 'government', 'group']
['school', 'place', 'life', 'way']
['information', 'group', 'life', 'end']
['year', 'fact', 'party', 'part']
['year', 'fact', 'group', 'government']
['fact', 'government', 'school', 'end']
['part', 'life', 'school', 'place']
['part', 'company', 'way', 'group']
['party', 'man', 'year', 'world']
['information', 'company', 'system', 'world']
['system', 'part', 'year', 'case']
['world', 'school', 'house', 'fact']
['company', 'case', 'life', 'system']
['party', 'part', 'life', 'company']
['school', 'house', 'world', 'fact']
['year', 'group', 'work', 'part']
['life', 'company', 'government', 'information']
['life', 'system', 'year', 'world']
['work', 'part', 'house', 'year']
['party', 'work', 'government', 'man']
['work', 'government', 'system', 'fact']
['school', 'house', 'world', 'end']
['place', 'part', 'world', 'life']
['government', 'place', 'way', 'system']
['man', 'case', 'house', 'work']
['life', 'place', 'way', 'information']
['day', 'group', 'year', 'way']
['course', 'end', 'house', 'party']
['case', 'group', 'school', 'end']
['case', 'world', 'year', 'end']
['school', 'man', 'life', 'part']
['company', 'course', 'place', 'system']
['man', 'government', 'year', 'case']
['work', 'way', 'part', 'school']
['day', 'place', 'case', 'life']
['company', 'party', 'end', 'fact']
['part', 'man', 'work', 'year']
['place', 'fact', 'company', 'school']
['case', 'work', 'company', 'way']
['party', 'group', 'part', 'end']
['day', 'group', 'information', 'life']
['end', 'party', 'course', 'house']
['group', 'part', 'house', 'system']
['end', 'company', 'group', 'life']
['school', 'part', 'man', 'end']
['government', 'life', 'part', 'world']
['course', 'system', 'information', 'government']
['party', 'year', 'school', 'end']
['system', 'fact', 'case', 'day']
['case', 'man', 'course', 'party']
['end', 'work', 'fact', 'way']
['group', 'government', 'fact', 'end']
['end', 'way', 'fact', 'house']
['group', 'man', 'way', 'world']
['fact', 'system', 'party', 'life']
['system', 'course', 'school', 'way']
['group', 'company', 'end', 'school']
['information', 'way', 'work', 'life']
['world', 'place', 'work', 'life']
['work', 'case', 'school', 'way']
['world', 'part', 'place', 'way']
['fact', 'information', 'party', 'case']
['government', 'place', 'party', 'life']
['company', 'world', 'work', 'case']
['place', 'information', 'way', 'group']
['company', 'work', 'information', 'house']
