['place', 'man', 'information', 'day']
['case', 'system', 'place', 'house']
['fact', 'place', 'day', 'group']
['group', 'man', 'day', 'information']
['house', 'case', 'day', 'end']
['man', 'place', 'information', 'company']
['company', 'information', 'government', 'world']
['end', 'place', 'school', 'party']
['system', 'information', 'place', 'way']
['part', 'system', 'life', 'year']
['work', 'information', 'man', 'end']
['course', 'school', 'group', 'case']
['system', 'case', 'information', 'school']
['case', 'house', 'course', 'world']
['government', 'group', 'part', 'way']
['part', 'work', 'case', 'house']
['case', 'part', 'party', 'government']
['group', 'house', 'work', 'company']
['company', 'case', 'party', 'place']
['place', 'case', 'government', 'system']
['life', 'course', 'system', 'government']
['case', 'company', 'year', 'way']
['year', 'world', 'house', 'government']
['school', 'world', 'place', 'information']
['system', 'school', 'part', 'group']
['case', 'school', 'fact', 'end']
['work', 'house', 'system', 'end']
['man', 'information', 'way', 'place']
['party', 'company', 'way', 'government']
['year', 'work', 'system', 'world']
['end', 'case', 'company', 'work']
['company', 'work', 'group', 'party']
['group', 'case', 'world', 'house']
['company', 'information', 'end', 'course']
['part', 'group', 'end', 'day']
['man', 'information', 'company', 'way']
['work', 'system', 'party', 'world']
['life', 'place', 'world', 'school']
['government', 'year', 'course', 'party']
['government', 'way', 'place', 'part']
['information', 'government', 'fact', 'man']
['system', 'party', 'way', 'work']
['end', 'world', 'company', 'information']
['information', 'party', 'government', 'group']
['life', 'year', 'part', 'system']
['system', 'place', 'day', 'information']
['work', 'group', 'information', 'system']
['way', 'life', 'group', 'place']
['school', 'party', 'fact', 'course']
['group', 'fact', 'part', 'party']
['part', 'house', 'company', 'man']
['world', 'way', 'fact', 'man']
['man', 'life', 'information', 'case']
['school', 'man', 'part', 'company']
['man', 'life', 'school', 'company']
['group', 'place', 'part', 'company']
['world', 'system', 'day', 'government']
['man', 'day', 'world', 'case']
['house', 'end', 'party', 'group']
['work', 'school', 'man', 'group']
['fact', 'man', 'information', 'government']
['fact', 'man', 'house', 'case']
['world', 'day', 'company', 'year']
['part', 'party', 'school', 'work']
['system', 'day', 'life', 'place']
['place', 'work', 'year', 'party']
['work', 'place', 'case', 'end']
['place', 'part', 'world', 'fact']
['system', 'house', 'year', 'way']
['course', 'school', 'company', 'world']
['day', 'government', 'course', 'fact']
['man', 'year', 'group', 'case']
['system', 'fact', 'course', 'man']
['school', 'case', 'group', 'part']
['end', 'way', 'party', 'government']
['course', 'place', 'world', 'way']
['world', 'house', 'place', 'group']
['way', 'group', 'information', 'company']
['part', 'place', 'party', 'way']
['year', 'man', 'part', 'course']
['life', 'place', 'end', 'party']
['world', 'life', 'case', 'end']
['course', 'life', 'year', 'day']
['part', 'house', 'government', 'work']
['course', 'year', 'case', 'fact']
['way', 'group', 'school', 'life']
['place', 'company', 'group', 'fact']
['day', 'life', 'course', 'company']
['system', 'life', 'way', 'school']
['man', 'place', 'company', 'part']
['party', 'life', 'school', 'company']
['fact', 'party', 'year', 'group']
['day', 'year', 'school', 'information']
['day', 'end', 'system', 'world']
['way', 'system', 'fact', 'course']
['day', 'end', 'government', 'case']
['end', 'world', 'fact', 'information']
['fact', 'end', 'school', 'company']
['case', 'party', 'day', 'man']
