['man', 'year', 'company', 'party']
['life', 'information', 'course', 'world']
['course', 'house', 'way', 'information']
['fact', 'case', 'school', 'part']
['case', 'place', 'end', 'world']
['part', 'fact', 'case', 'party']
['group', 'company', 'day', 'system']
['system', 'company', 'year', 'part']
['course', 'group', 'government', 'work']
['man', 'year', 'course', 'place']
['life', 'day', 'company', 'fact']
['man', 'information', 'day', 'world']
['house', 'life', 'system', 'world']
['life', 'house', 'information', 'party']
['house', 'part', 'life', 'end']
['world', 'way', 'year', 'group']
['system', 'company', 'government', 'life']
['house', 'day', 'case', 'company']
['man', 'government', 'system', 'fact']
['day', 'government', 'party', 'course']
['information', 'place', 'way', 'work']
['day', 'company', 'world', 'system']
['school', 'life', 'system', 'part']
['year', 'information', 'life', 'part']
['end', 'world', 'company', 'man']
['fact', 'house', 'year', 'day']
['year', 'end', 'life', 'house']
['house', 'information', 'company', 'part']
['part', 'school', 'world', 'man']
['government', 'part', 'day', 'fact']
['party', 'course', 'place', 'house']
['case', 'man', 'party', 'end']
['course', 'group', 'case', 'end']
['system', 'way', 'fact', 'life']
['course', 'work', 'house', 'end']
['part', 'place', 'life', 'information']
['day', 'party', 'government', 'house']
['work', 'day', 'school', 'part']
['party', 'end', 'part', 'year']
['place', 'case', 'work', 'course']
['day', 'course', 'year', 'place']
['company', 'party', 'course', 'information']
['case', 'party', 'school', 'world']
['party', 'group', 'case', 'place']
['day', 'house', 'government', 'end']
['man', 'way', 'house', 'work']
['party', 'world', 'man', 'place']
['world', 'part', 'end', 'course']
['case', 'information', 'course', 'house']
['man', 'end', 'party', 'case']
['place', 'case', 'house', 'group']
['day', 'group', 'system', 'house']
['government', 'school', 'end', 'year']
['government', 'part', 'group', 'year']
['information', 'place', 'course', 'group']
['party', 'life', 'place', 'system']
['system', 'school', 'life', 'place']
['information', 'end', 'party', 'part']
['house', 'year', 'end', 'school']
['life', 'case', 'company', 'system']
['school', 'group', 'house', 'system']
['course', 'group', 'fact', 'information']
['man', 'information', 'way', 'course']
['place', 'house', 'way', 'man']
['school', 'place', 'government', 'case']
['world', 'system', 'school', 'party']
['year', 'group', 'case', 'fact']
['system', 'work', 'end', 'part']
['day', 'course', 'system', 'case']
['group', 'course', 'part', 'place']
['place', 'world', 'party', 'system']
['fact', 'school', 'work', 'part']
['group', 'part', 'day', 'end']
['fact', 'end', 'group', 'man']
['course', 'day', 'school', 'way']
['work', 'year', 'course', 'end']
['day', 'man', 'fact', 'company']
['fact', 'way', 'day', 'government']
['way', 'government', 'party', 'end']
['man', 'part', 'information', 'party']
['day', 'government', 'place', 'man']
['day', 'information', 'school', 'system']
['school', 'place', 'fact', 'day']
['case', 'part', 'day', 'place']
['man', 'world', 'way', 'system']
['company', 'year', 'day', 'end']
['end', 'life', 'house', 'party']
['company', 'government', 'part', 'fact']
['group', 'work', 'man', 'world']
['world', 'information', 'way', 'work']
['house', 'part', 'world', 'company']
['day', 'world', 'fact', 'place']
['man', 'party', 'company', 'school']
['house', 'party', 'information', 'course']
['day', 'part', 'government', 'system']
['course', 'end', 'work', 'school']
['fact', 'case', 'government', 'system']
['case', 'party', 'course', 'way']
['end', 'school', 'man', 'government']
