['case', 'way', 'part', 'school']
['fact', 'group', 'life', 'information']
['party', 'way', 'man', 'government']
['part', 'work', 'company', 'way']
['government', 'case', 'system', 'world']
['group', 'day', 'end', 'school']
['information', 'system', 'day', 'company']
['end', 'world', 'case', 'way']
['case', 'world', 'part', 'system']
['way', 'end', 'information', 'world']
['work', 'man', 'part', 'system']
['world', 'work', 'place', 'company']
['place', 'party', 'system', 'group']
['work', 'man', 'world', 'case']
['end', 'group', 'year', 'party']
['course', 'part', 'end', 'government']
['place', 'system', 'company', 'case']
['part', 'case', 'company', 'party']
['end', 'world', 'man', 'party']
['work', 'house', 'life', 'fact']
['government', 'course', 'year', 'case']
['life', 'company', 'day', 'government']
['fact', 'world', 'course', 'group']
['life', 'end', 'man', 'fact']
['information', 'case', 'world', 'place']
['part', 'company', 'end', 'way']
['company', 'way', 'day', 'information']
['man', 'company', 'information', 'course']
['group', 'system', 'man', 'information']
['world', 'man', 'day', 'government']
['end', 'year', 'course', 'school']
['fact', 'course', 'work', 'life']
['work', 'information', 'company', 'part']
['government', 'place', 'course', 'day']
['man', 'case', 'school', 'group']
['way', 'man', 'fact', 'work']
['information', 'system', 'course', 'man']
['part', 'year', 'work', 'world']
['information', 'end', 'year', 'company']
['part', 'end', 'year', 'course']
['place', 'part', 'life', 'work']
['year', 'place', 'group', 'part']
['case', 'system', 'party', 'year']
['government', 'part', 'information', 'year']
['end', 'party', 'company', 'group']
['information', 'group', 'end', 'man']
['man', 'school', 'life', 'company']
['house', 'information', 'school', 'fact']
['information', 'day', 'course', 'fact']
['work', 'course', 'end', 'system']
['government', 'information', 'end', 'part']
['work', 'life', 'place', 'house']
['school', 'world', 'year', 'place']
['party', 'way', 'life', 'year']
['system', 'company', 'year', 'day']
['party', 'house', 'fact', 'system']
['case', 'fact', 'end', 'government']
['government', 'day', 'work', 'case']
['day', 'place', 'way', 'part']
['man', 'party', 'work', 'part']
['end', 'government', 'fact', 'place']
['way', 'group', 'life', 'course']
['place', 'day', 'group', 'fact']
['day', 'work', 'school', 'part']
['group', 'day', 'information', 'system']
['course', 'school', 'part', 'year']
['year', 'day', 'work', 'way']
['day', 'system', 'school', 'case']
['day', 'system', 'case', 'party']
['world', 'information', 'school', 'end']
['party', 'world', 'government', 'work']
['group', 'world', 'work', 'man']
['work', 'fact', 'life', 'day']
['way', 'day', 'system', 'part']
['fact', 'house', 'party', 'life']
['end', 'house', 'place', 'life']
['work', 'government', 'house', 'company']
['school', 'day', 'case', 'house']
['part', 'world', 'school', 'case']
['course', 'fact', 'life', 'place']
['part', 'house', 'company', 'work']
['house', 'government', 'man', 'case']
['life', 'house', 'school', 'man']
['information', 'life', 'company', 'place']
['fact', 'way', 'world', 'work']
['school', 'end', 'way', 'life']
['course', 'work', 'man', 'day']
['work', 'course', 'end', 'year']
['end', 'part', 'year', 'information']
['school', 'company', 'end', 'way']
['day', 'group', 'world', 'fact']
['company', 'work', 'man', 'school']
['end', 'place', 'group', 'man']
['work', 'place', 'party', 'school']
['work', 'system', 'school', 'life']
['man', 'end', 'house', 'fact']
['system', 'work', 'life', 'company']
['year', 'case', 'world', 'information']
['system', 'work', 'school', 'party']
