['fact', 'year', 'school', 'day']
['world', 'day', 'group', 'part']
['year', 'work', 'information', 'man']
['year', 'system', 'work', 'house']
['place', 'way', 'government', 'system']
['course', 'party', 'day', 'work']
['life', 'party', 'world', 'government']
['work', 'place', 'house', 'end']
['place', 'company', 'group', 'end']
['fact', 'year', 'system', 'information']
['way', 'work', 'place', 'system']
['school', 'end', 'case', 'year']
['house', 'day', 'place', 'life']
['information', 'work', 'group', 'year']
['information', 'day', 'group', 'work']
['way', 'group', 'day', 'place']
['part', 'world', 'system', 'school']
['school', 'group', 'house', 'part']
['system', 'man', 'school', 'company']
['information', 'fact', 'system', 'day']
['place', 'man', 'group', 'life']
['group', 'system', 'man', 'work']
['group', 'case', 'man', 'course']
['man', 'group', 'day', 'work']
['information', 'house', 'school', 'place']
['fact', 'information', 'man', 'house']
['day', 'way', 'man', 'system']
['house', 'group', 'year', 'way']
['house', 'part', 'party', 'school']
['day', 'information', 'man', 'company']
['end', 'government', 'way', 'school']
['party', 'house', 'fact', 'year']
['information', 'place', 'fact', 'group']
['house', 'work', 'party', 'man']
['life', 'party', 'information', 'year']
['case', 'government', 'work', 'day']
['system', 'day', 'work', 'company']
['man', 'party', 'world', 'course']
['world', 'work', 'government', 'place']
['world', 'fact', 'year', 'system']
['day', 'man', 'fact', 'case']
['part', 'case', 'place', 'house']
['party', 'course', 'school', 'life']
['life', 'government', 'course', 'man']
['government', 'school', 'case', 'end']
['party', 'end', 'system', 'case']
['end', 'fact', 'school', 'work']
['system', 'world', 'company', 'way']
['place', 'company', 'work', 'day']
['party', 'world', 'information', 'end']
['man', 'life', 'year', 'world']
['world', 'fact', 'work', 'year']
['way', 'group', 'man', 'house']
['group', 'fact', 'information', 'world']
['part', 'place', 'course', 'work']
['information', 'way', 'place', 'school']
['day', 'work', 'party', 'world']
['world', 'fact', 'house', 'day']
['work', 'part', 'fact', 'government']
['man', 'case', 'way', 'company']
['place', 'information', 'work', 'school']
['group', 'way', 'school', 'work']
['house', 'fact', 'world', 'party']
['end', 'course', 'day', 'system']
['group', 'life', 'world', 'company']
['year', 'system', 'man', 'house']
['school', 'party', 'end', 'year']
['information', 'government', 'case', 'work']
['school', 'world', 'group', 'case']
['world', 'information', 'year', 'government']
['year', 'information', 'day', 'end']
['way', 'system', 'company', 'group']
['place', 'world', 'fact', 'information']
['year', 'way', 'case', 'day']
['party', 'year', 'government', 'day']
['life', 'course', 'company', 'party']
['part', 'course', 'company', 'way']
['party', 'place', 'school', 'government']
['group', 'part', 'case', 'school']
['government', 'man', 'day', 'party']
['way', 'course', 'government', 'company']
['day', 'course', 'case', 'world']
['man', 'year', 'information', 'part']
['end', 'work', 'place', 'company']
['information', 'fact', 'house', 'end']
['man', 'day', 'life', 'company']
['information', 'year', 'school', 'way']
['party', 'place', 'information', 'work']
['end', 'company', 'work', 'information']
['world', 'company', 'part', 'course']
['group', 'life', 'company', 'case']
['party', 'part', 'case', 'place']
['life', 'man', 'company', 'case']
['man', 'case', 'system', 'way']
['world', 'party', 'year', 'house']
['company', 'group', 'government', 'man']
['group', 'system', 'case', 'place']
