['system', 'school', 'day', 'party']
['government', 'life', 'day', 'information']
['government', 'work', 'place', 'system']
['end', 'man', 'way', 'information']
['company', 'life', 'government', 'case']
['case', 'day', 'man', 'course']
['life', 'case', 'fact', 'company']
['government', 'course', 'world', 'group']
['work', 'part', 'government', 'course']
['way', 'place', 'system', 'company']
['world', 'system', 'man', 'fact']
['way', 'system', 'year', 'house']
['group', 'school', 'end', 'way']
['part', 'work', 'company', 'end']
['information', 'government', 'group', 'part']
['end', 'government', 'company', 'system']
['company', 'party', 'world', 'information']
['end', 'party', 'company', 'life']
['man', 'place', 'party', 'day']
['house', 'place', 'course', 'school']
['house', 'life', 'year', 'school']
['place', 'fact', 'part', 'year']
['way', 'day', 'company', 'end']
['end', 'case', 'information', 'man']
['man', 'part', 'information', 'company']
['information', 'group', 'place', 'way']
['school', 'case', 'way', 'information']
['year', 'man', 'government', 'case']
['life', 'year', 'place', 'system']
['course', 'life', 'group', 'end']
['information', 'man', 'group', 'fact']
['day', 'part', 'information', 'work']
['year', 'group', 'information', 'work']
['man', 'company', 'information', 'party']
['house', 'party', 'system', 'fact']
['place', 'system', 'government', 'part']
['man', 'way', 'world', 'end']
['man', 'end', 'company', 'way']
['course', 'part', 'place', 'end']
['company', 'party', 'way', 'school']
['world', 'way', 'system', 'company']
['world', 'year', 'party', 'company']
['life', 'place', 'year', 'end']
['day', 'government', 'information', 'way']
['end', 'life', 'man', 'information']
['system', 'life', 'year', 'school']
['year', 'school', 'work', 'house']
['party', 'school', 'government', 'information']
['life', 'party', 'day', 'group']
['year', 'work', 'day', 'life']
['work', 'school', 'house', 'course']
['work', 'place', 'fact', 'government']
['government', 'work', 'course', 'world']
['system', 'work', 'day', 'group']
['part', 'world', 'school', 'house']
['information', 'part', 'school', 'case']
['part', 'information', 'system', 'group']
['life', 'fact', 'system', 'world']
['house', 'year', 'man', 'government']
['party', 'place', 'school', 'company']
['way', 'government', 'fact', 'place']
['life', 'part', 'place', 'government']
['government', 'house', 'world', 'school']
['government', 'world', 'house', 'company']
['fact', 'party', 'day', 'government']
['company', 'information', 'work', 'course']
['world', 'case', 'life', 'course']
['information', 'man', 'house', 'end']
['school', 'year', 'system', 'man']
['part', 'man', 'course', 'world']
['group', 'man', 'part', 'system']
['system', 'government', 'information', 'company']
['group', 'system', 'life', 'place']
['party', 'year', 'part', 'course']
['man', 'group', 'course', 'house']
['government', 'day', 'house', 'part']
['day', 'way', 'life', 'government']
['world', 'life', 'group', 'work']
['information', 'end', 'course', 'system']
['fact', 'life', 'end', 'world']
['way', 'government', 'year', 'group']
['way', 'information', 'case', 'course']
['day', 'government', 'system', 'fact']
['company', 'group', 'government', 'case']
['school', 'work', 'life', 'end']
['government', 'part', 'end', 'case']
['year', 'group', 'company', 'work']
['world', 'part', 'end', 'man']
['school', 'house', 'day', 'end']
['day', 'man', 'part', 'company']
['world', 'way', 'day', 'part']
['world', 'man', 'company', 'way']
['place', 'information', 'year', 'part']
['part', 'group', 'course', 'way']
['life', 'world', 'school', 'company']
['house', 'party', 'government', 'day']
['house', 'part', 'life', 'system']
['man', 'day', 'place', 'life']
['school', 'company', 'year', 'world']
