['case', 'life', 'course', 'end']
['case', 'place', 'party', 'day']
['course', 'house', 'case', 'man']
['way', 'system', 'work', 'house']
['party', 'course', 'house', 'life']
['man', 'world', 'company', 'party']
['information', 'group', 'day', 'way']
['school', 'information', 'part', 'fact']
['man', 'party', 'case', 'place']
['end', 'life', 'course', 'part']
['case', 'way', 'company', 'government']
['fact', 'work', 'system', 'part']
['system', 'party', 'government', 'part']
['course', 'end', 'information', 'school']
['system', 'part', 'world', 'life']
['party', 'system', 'group', 'year']
['course', 'life', 'information', 'year']
['day', 'man', 'work', 'house']
['school', 'information', 'world', 'fact']
['system', 'year', 'government', 'company']
['year', 'work', 'man', 'place']
['school', 'case', 'year', 'end']
['party', 'system', 'information', 'life']
['case', 'life', 'year', 'government']
['course', 'place', 'information', 'work']
['information', 'system', 'life', 'place']
['work', 'man', 'life', 'fact']
['case', 'group', 'information', 'way']
['system', 'party', 'life', 'group']
['man', 'world', 'government', 'year']
['place', 'fact', 'course', 'day']
['course', 'end', 'work', 'world']
['year', 'place', 'part', 'government']
['information', 'government', 'world', 'part']
['school', 'information', 'part', 'company']
['year', 'day', 'case', 'party']
['government', 'company', 'man', 'party']
['course', 'system', 'company', 'information']
['part', 'day', 'life', 'place']
['place', 'life', 'case', 'house']
['day', 'group', 'work', 'world']
['day', 'part', 'information', 'place']
['way', 'house', 'school', 'day']
['party', 'place', 'company', 'part']
['way', 'company', 'party', 'information']
['group', 'system', 'life', 'house']
['life', 'system', 'world', 'day']
['world', 'school', 'work', 'place']
['party', 'world', 'company', 'fact']
['house', 'school', 'work', 'world']
['way', 'house', 'place', 'government']
['world', 'system', 'course', 'case']
['life', 'information', 'man', 'system']
['fact', 'system', 'end', 'work']
['day', 'place', 'end', 'man']
['work', 'house', 'party', 'life']
['case', 'part', 'school', 'government']
['information', 'case', 'system', 'fact']
['end', 'group', 'day', 'year']
['information', 'company', 'way', 'place']
['life', 'information', 'place', 'case']
['company', 'party', 'place', 'information']
['end', 'course', 'work', 'party']
['work', 'life', 'case', 'party']
['house', 'part', 'information', 'case']
['work', 'life', 'information', 'government']
['system', 'life', 'fact', 'end']
['group', 'part', 'party', 'house']
['group', 'world', 'place', 'company']
['place', 'man', 'fact', 'group']
['government', 'fact', 'way', 'work']
['world', 'course', 'work', 'day']
['case', 'system', 'year', 'information']
['house', 'world', 'place', 'government']
['place', 'case', 'work', 'group']
['school', 'party', 'fact', 'work']
['world', 'end', 'place', 'work']
['case', 'school', 'end', 'party']
['school', 'system', 'year', 'work']
['year', 'day', 'life', 'way']
['place', 'year', 'part', 'school']
['case', 'life', 'world', 'way']
['fact', 'case', 'group', 'school']
['information', 'work', 'course', 'fact']
['information', 'government', 'man', 'house']
['group', 'day', 'world', 'information']
['end', 'fact', 'place', 'work']
['man', 'course', 'group', 'information']
['world', 'part', 'party', 'place']
['system', 'information', 'life', 'part']
['world', 'work', 'way', 'house']
['end', 'world', 'life', 'government']
['case', 'day', 'place', 'part']
['day', 'party', 'case', 'work']
['year', 'life', 'group', 'information']
['fact', 'year', 'company', 'work']
['man', 'house', 'company', 'course']
['information', 'part', 'group', 'party']
['party', 'system', 'government', 'course']
