['system', 'group', 'company', 'day']
['life', 'group', 'house', 'part']
['fact', 'place', 'world', 'day']
['information', 'year', 'party', 'school']
['work', 'year', 'end', 'world']
['year', 'world', 'life', 'school']
['information', 'party', 'system', 'fact']
['man', 'group', 'world', 'information']
['day', 'government', 'year', 'information']
['man', 'fact', 'case', 'company']
['house', 'year', 'party', 'school']
['house', 'man', 'place', 'world']
['work', 'information', 'part', 'government']
['way', 'course', 'part', 'life']
['end', 'company', 'party', 'government']
['fact', 'place', 'government', 'year']
['place', 'part', 'year', 'end']
['end', 'life', 'case', 'way']
['house', 'system', 'part', 'world']
['way', 'group', 'fact', 'information']
['world', 'school', 'fact', 'part']
['place', 'group', 'man', 'life']
['system', 'life', 'end', 'school']
['part', 'work', 'case', 'world']
['man', 'end', 'course', 'fact']
['course', 'end', 'year', 'information']
['world', 'way', 'case', 'course']
['system', 'house', 'information', 'company']
['government', 'end', 'fact', 'place']
['way', 'man', 'life', 'end']
['fact', 'place', 'way', 'school']
['man', 'information', 'party', 'place']
['year', 'place', 'information', 'case']
['end', 'year', 'place', 'way']
['group', 'government', 'information', 'way']
['day', 'part', 'year', 'company']
['place', 'government', 'party', 'work']
['house', 'way', 'group', 'school']
['group', 'end', 'company', 'party']
['course', 'party', 'life', 'government']
['year', 'day', 'government', 'party']
['part', 'world', 'school', 'house']
['year', 'school', 'place', 'way']
['group', 'work', 'year', 'government']
['course', 'way', 'information', 'work']
['life', 'year', 'system', 'part']
['work', 'fact', 'party', 'system']
['information', 'work', 'life', 'house']
['course', 'year', 'man', 'group']
['man', 'government', 'world', 'case']
['house', 'part', 'end', 'company']
['group', 'party', 'information', 'part']
['day', 'system', 'year', 'work']
['life', 'case', 'company', 'house']
['work', 'year', 'school', 'party']
['course', 'world', 'information', 'end']
['life', 'school', 'fact', 'world']
['end', 'house', 'world', 'fact']
['world', 'case', 'year', 'information']
['end', 'group', 'way', 'party']
['place', 'school', 'man', 'part']
['case', 'group', 'system', 'course']
['day', 'way', 'work', 'school']
['fact', 'work', 'school', 'day']
['house', 'party', 'way', 'world']
['system', 'fact', 'place', 'house']
['house', 'school', 'party', 'system']
['system', 'information', 'man', 'fact']
['year', 'group', 'place', 'day']
['year', 'day', 'man', 'government']
['year', 'company', 'course', 'house']
['company', 'man', 'part', 'year']
['group', 'way', 'work', 'government']
['man', 'government', 'life', 'course']
['information', 'part', 'course', 'year']
['place', 'information', 'government', 'course']
['life', 'information', 'house', 'party']
['course', 'house', 'government', 'world']
['place', 'day', 'party', 'man']
['year', 'man', 'house', 'life']
['case', 'work', 'place', 'group']
['company', 'year', 'work', 'system']
['system', 'fact', 'school', 'course']
['way', 'party', 'information', 'company']
['case', 'group', 'government', 'company']
['world', 'group', 'place', 'fact']
['work', 'day', 'government', 'part']
['life', 'man', 'place', 'end']
['end', 'government', 'part', 'fact']
['government', 'life', 'party', 'information']
['case', 'end', 'information', 'course']
['way', 'place', 'case', 'life']
['fact', 'end', 'school', 'place']
['school', 'end', 'year', 'case']
['place', 'part', 'case', 'company']
['course', 'way', 'government', 'information']
['case', 'information', 'way', 'party']
['work', 'part', 'world', 'year']
['day', 'information', 'company', 'end']
