['work', 'year', 'way', 'party']
['school', 'part', 'system', 'case']
['way', 'course', 'company', 'place']
['course', 'place', 'way', 'day']
['day', 'case', 'way', 'work']
['information', 'end', 'life', 'government']
['life', 'man', 'world', 'way']
['house', 'group', 'end', 'information']
['fact', 'case', 'company', 'end']
['course', 'fact', 'government', 'man']
['day', 'house', 'case', 'part']
['course', 'life', 'information', 'end']
['man', 'work', 'course', 'school']
['party', 'work', 'end', 'year']
['fact', 'case', 'company', 'course']
['party', 'school', 'way', 'work']
['end', 'course', 'information', 'house']
['party', 'case', 'system', 'fact']
['school', 'part', 'end', 'world']
['part', 'way', 'man', 'system']
['man', 'fact', 'party', 'work']
['house', 'information', 'place', 'case']
['case', 'system', 'life', 'year']
['company', 'case', 'house', 'government']
['year', 'company', 'group', 'man']
['information', 'place', 'work', 'case']
['end', 'company', 'system', 'information']
['house', 'company', 'end', 'life']
['end', 'group', 'course', 'place']
['day', 'information', 'company', 'house']
['information', 'work', 'man', 'year']
['place', 'course', 'case', 'world']
['information', 'end', 'system', 'company']
['man', 'system', 'part', 'government']
['group', 'year', 'case', 'company']
['way', 'part', 'man', 'fact']
['house', 'course', 'group', 'party']
['party', 'part', 'case', 'system']
['fact', 'man', 'school', 'end']
['information', 'part', 'course', 'man']
['information', 'day', 'house', 'world']
['case', 'school', 'end', 'company']
['end', 'part', 'information', 'school']
['party', 'government', 'information', 'life']
['party', 'case', 'world', 'end']
['government', 'place', 'party', 'work']
['fact', 'way', 'place', 'group']
['end', 'group', 'place', 'world']
['world', 'part', 'life', 'work']
['group', 'party', 'case', 'way']
['case', 'place', 'work', 'party']
['company', 'end', 'school', 'case']
['house', 'information', 'company', 'part']
['house', 'course', 'group', 'case']
['year', 'system', 'place', 'way']
['man', 'day', 'course', 'place']
['world', 'house', 'fact', 'group']
['information', 'part', 'government', 'party']
['part', 'house', 'life', 'year']
['case', 'way', 'work', 'house']
['house', 'end', 'fact', 'year']
['man', 'place', 'house', 'end']
['house', 'school', 'case', 'life']
['work', 'way', 'world', 'house']
['place', 'work', 'system', 'fact']
['government', 'life', 'party', 'group']
['man', 'house', 'case', 'work']
['place', 'year', 'government', 'system']
['case', 'house', 'life', 'school']
['information', 'work', 'day', 'year']
['world', 'life', 'fact', 'way']
['world', 'case', 'end', 'day']
['government', 'school', 'man', 'life']
['government', 'group', 'work', 'year']
['house', 'system', 'case', 'group']
['course', 'school', 'government', 'day']
['work', 'system', 'man', 'company']
['party', 'fact', 'life', 'case']
['company', 'work', 'party', 'life']
['man', 'school', 'company', 'end']
['course', 'way', 'house', 'case']
['end', 'government', 'group', 'party']
['way', 'world', 'life', 'group']
['school', 'year', 'system', 'company']
['party', 'place', 'information', 'fact']
['course', 'company', 'year', 'way']
['school', 'man', 'system', 'way']
['fact', 'company', 'world', 'system']
['place', 'man', 'end', 'party']
['place', 'end', 'house', 'course']
['school', 'system', 'information', 'part']
['end', 'company', 'party', 'part']
['man', 'place', 'fact', 'case']
['school', 'work', 'end', 'man']
['year', 'case', 'company', 'school']
['party', 'work', 'life', 'government']
['year', 'day', 'end', 'man']
['end', 'man', 'fact', 'case']
['school', 'man', 'fact', 'case']
