['government', 'course', 'end', 'fact']
['company', 'work', 'house', 'information']
['work', 'school', 'group', 'place']
['house', 'year', 'life', 'party']
['information', 'world', 'end', 'house']
['case', 'house', 'life', 'day']
['course', 'company', 'way', 'day']
['work', 'case', 'company', 'government']
['place', 'school', 'company', 'information']
['information', 'life', 'government', 'way']
['school', 'year', 'man', 'government']
['government', 'work', 'party', 'group']
['part', 'group', 'school', 'case']
['house', 'world', 'day', 'government']
['work', 'end', 'year', 'day']
['party', 'end', 'case', 'man']
['fact', 'work', 'man', 'information']
['place', 'man', 'work', 'system']
['system', 'group', 'school', 'work']
['end', 'work', 'system', 'man']
['school', 'year', 'world', 'house']
['government', 'fact', 'course', 'school']
['party', 'fact', 'world', 'company']
['system', 'government', 'place', 'group']
['school', 'life', 'group', 'fact']
['way', 'government', 'course', 'world']
['system', 'school', 'fact', 'life']
['system', 'place', 'day', 'year']
['house', 'man', 'part', 'world']
['case', 'fact', 'place', 'party']
['fact', 'way', 'end', 'part']
['system', 'course', 'group', 'place']
['life', 'day', 'place', 'school']
['part', 'system', 'world', 'party']
['system', 'world', 'government', 'life']
['fact', 'world', 'information', 'case']
['life', 'party', 'system', 'world']
['system', 'government', 'day', 'information']
['man', 'life', 'work', 'part']
['place', 'end', 'life', 'work']
['end', 'day', 'way', 'man']
['end', 'fact', 'day', 'place']
['year', 'government', 'day', 'company']
['group', 'end', 'house', 'year']
['part', 'company', 'work', 'information']
['end', 'house', 'information', 'government']
['information', 'government', 'course', 'group']
['company', 'year', 'world', 'fact']
['government', 'part', 'group', 'place']
['place', 'government', 'system', 'way']
['company', 'party', 'part', 'world']
['day', 'system', 'school', 'fact']
['information', 'party', 'year', 'group']
['case', 'information', 'work', 'fact']
['information', 'company', 'school', 'course']
['system', 'group', 'work', 'year']
['fact', 'company', 'day', 'end']
['place', 'man', 'way', 'life']
['work', 'end', 'course', 'company']
['place', 'group', 'day', 'fact']
['life', 'course', 'school', 'year']
['life', 'information', 'place', 'house']
['government', 'way', 'end', 'part']
['end', 'part', 'life', 'school']
['life', 'day', 'man', 'information']
['day', 'part', 'fact', 'man']
['system', 'party', 'school', 'man']
['company', 'world', 'information', 'life']
['way', 'end', 'system', 'information']
['life', 'man', 'way', 'part']
['information', 'world', 'case', 'place']
['fact', 'school', 'part', 'course']
['work', 'year', 'end', 'way']
['day', 'year', 'work', 'course']
['end', 'way', 'world', 'school']
['world', 'part', 'government', 'group']
['place', 'house', 'world', 'government']
['day', 'school', 'man', 'house']
['man', 'day', 'school', 'party']
['way', 'work', 'life', 'government']
['party', 'group', 'information', 'company']
['way', 'year', 'world', 'house']
['system', 'life', 'work', 'information']
['group', 'government', 'course', 'man']
['system', 'house', 'place', 'life']
['place', 'party', 'fact', 'school']
['world', 'system', 'fact', 'information']
['house', 'world', 'day', 'system']
['company', 'fact', 'world', 'man']
['place', 'information', 'government', 'way']
['life', 'school', 'case', 'day']
['school', 'house', 'group', 'case']
['fact', 'year', 'part', 'life']
['place', 'party', 'work', 'course']
['world', 'way', 'school', 'case']
['day', 'course', 'place', 'system']
['part', 'year', 'company', 'day']
['year', 'case', 'work', 'man']
