['government', 'work', 'case', 'system']
['end', 'man', 'system', 'course']
['party', 'life', 'work', 'company']
['man', 'house', 'day', 'course']
['work', 'house', 'course', 'information']
['house', 'way', 'world', 'fact']
['world', 'information', 'man', 'part']
['system', 'school', 'company', 'year']
['system', 'company', 'day', 'life']
['work', 'day', 'way', 'government']
['life', 'man', 'government', 'party']
['fact', 'end', 'party', 'system']
['party', 'way', 'case', 'man']
['school', 'fact', 'government', 'day']
['course', 'place', 'system', 'life']
['part', 'information', 'group', 'system']
['man', 'information', 'company', 'government']
['case', 'day', 'part', 'year']
['way', 'end', 'information', 'place']
['year', 'life', 'part', 'party']
['way', 'work', 'place', 'end']
['house', 'life', 'course', 'world']
['fact', 'place', 'world', 'way']
['world', 'fact', 'end', 'information']
['year', 'government', 'part', 'end']
['company', 'case', 'government', 'work']
['year', 'fact', 'part', 'information']
['government', 'world', 'school', 'part']
['group', 'information', 'government', 'life']
['information', 'life', 'course', 'party']
['house', 'year', 'day', 'end']
['world', 'way', 'course', 'company']
['part', 'end', 'school', 'fact']
['year', 'way', 'work', 'world']
['man', 'system', 'end', 'government']
['party', 'group', 'fact', 'company']
['end', 'group', 'day', 'government']
['man', 'end', 'place', 'life']
['end', 'year', 'group', 'work']
['way', 'day', 'work', 'information']
['school', 'part', 'end', 'system']
['company', 'part', 'group', 'year']
['company', 'part', 'life', 'fact']
['school', 'way', 'house', 'company']
['fact', 'group', 'end', 'school']
['man', 'case', 'party', 'company']
['company', 'part', 'man', 'life']
['government', 'school', 'course', 'end']
['fact', 'system', 'company', 'end']
['company', 'case', 'end', 'man']
['group', 'information', 'case', 'world']
['work', 'end', 'day', 'world']
['life', 'end', 'company', 'day']
['company', 'case', 'system', 'year']
['way', 'place', 'life', 'government']
['part', 'information', 'work', 'world']
['fact', 'work', 'life', 'system']
['year', 'fact', 'place', 'school']
['school', 'party', 'place', 'government']
['group', 'course', 'school', 'place']
['system', 'year', 'life', 'work']
['course', 'man', 'fact', 'work']
['case', 'party', 'way', 'company']
['house', 'course', 'case', 'school']
['place', 'man', 'company', 'information']
['work', 'man', 'house', 'place']
['government', 'case', 'world', 'party']
['day', 'place', 'year', 'school']
['world', 'life', 'party', 'fact']
['end', 'school', 'work', 'party']
['end', 'case', 'party', 'year']
['life', 'party', 'year', 'man']
['group', 'place', 'way', 'school']
['information', 'course', 'year', 'place']
['work', 'part', 'year', 'day']
['place', 'company', 'party', 'system']
['government', 'day', 'end', 'man']
['course', 'house', 'company', 'party']
['information', 'school', 'case', 'company']
['government', 'day', 'house', 'world']
['government', 'system', 'life', 'case']
['system', 'fact', 'school', 'work']
['case', 'world', 'way', 'course']
['end', 'group', 'case', 'company']
['day', 'case', 'part', 'group']
['course', 'group', 'way', 'part']
['way', 'party', 'system', 'part']
['company', 'party', 'group', 'school']
['fact', 'school', 'system', 'information']
['world', 'course', 'government', 'company']
['man', 'world', 'way', 'system']
['house', 'man', 'company', 'way']
['company', 'fact', 'part', 'day']
['place', 'school', 'government', 'fact']
['system', 'information', 'world', 'place']
['course', 'day', 'year', 'fact']
['fact', 'house', 'year', 'way']
['man', 'place', 'case', 'way']
['work', 'man', 'year', 'case']
