['part', 'man', 'company']
['school', 'government', 'year']
['part', 'work', 'fact']
['fact', 'course', 'world']
['system', 'case', 'year']
['work', 'house', 'world']
['company', 'life', 'government']
['course', 'day', 'school']
['course', 'fact', 'government']
['company', 'fact', 'life']
['way', 'case', 'system']
['government', 'part', 'work']
['school', 'year', 'day']
['work', 'day', 'year']
['system', 'place', 'man']
['year', 'system', 'group']
['group', 'part', 'way']
['house', 'school', 'system']
['system', 'course', 'year']
['part', 'fact', 'man']
['house', 'school', 'information']
['group', 'government', 'part']
['information', 'group', 'government']
['work', 'school', 'man']
['part', 'system', 'place']
['system', 'house', 'case']
['system', 'case', 'school']
['year', 'information', 'house']
['group', 'case', 'day']
['company', 'system', 'man']
['house', 'life', 'man']
['company', 'part', 'year']
['group', 'information', 'company']
['course', 'day', 'party']
['man', 'year', 'company']
['end', 'government', 'year']
['life', 'group', 'end']
['school', 'course', 'day']
['man', 'place', 'information']
['group', 'system', 'fact']
['work', 'company', 'course']
['place', 'end', 'life']
['year', 'group', 'system']
['house', 'man', 'school']
['way', 'group', 'information']
['case', 'part', 'company']
['school', 'part', 'world']
['day', 'year', 'house']
['day', 'way', 'information']
['government', 'work', 'system']
['course', 'company', 'end']
['company', 'party', 'course']
['company', 'life', 'work']
['life', 'place', 'group']
['work', 'fact', 'man']
['course', 'house', 'part']
['government', 'world', 'place']
['house', 'case', 'course']
['government', 'course', 'year']
['way', 'course', 'case']
['part', 'man', 'world']
['work', 'case', 'fact']
['information', 'world', 'party']
['information', 'end', 'life']
['information', 'party', 'life']
['party', 'work', 'end']
['system', 'group', 'course']
['system', 'case', 'company']
['work', 'group', 'house']
['life', 'world', 'government']
['school', 'world', 'year']
['group', 'day', 'company']
['party', 'fact', 'course']
['course', 'place', 'world']
['course', 'work', 'house']
['year', 'way', 'work']
['man', 'group', 'life']
['system', 'way', 'end']
['year', 'place', 'company']
['way', 'fact', 'world']
['company', 'world', 'course']
['course', 'year', 'school']
['government', 'place', 'man']
['company', 'part', 'way']
['information', 'government', 'system']
['fact', 'system', 'way']
['government', 'man', 'end']
['end', 'information', 'group']
['party', 'place', 'life']
['world', 'part', 'information']
['end', 'fact', 'day']
['life', 'course', 'end']
['school', 'man', 'way']
['party', 'group', 'world']
['house', 'company', 'information']
['world', 'man', 'house']
['government', 'place', 'way']
['house', 'part', 'life']
['place', 'end', 'party']
