['end', 'life', 'company']
['house', 'place', 'company']
['course', 'place', 'party']
['case', 'place', 'day']
['end', 'course', 'work']
['day', 'work', 'group']
['house', 'party', 'government']
['place', 'government', 'year']
['life', 'place', 'year']
['place', 'end', 'company']
['party', 'year', 'case']
['group', 'government', 'end']
['system', 'work', 'place']
['case', 'house', 'year']
['world', 'company', 'man']
['government', 'company', 'group']
['course', 'system', 'fact']
['group', 'day', 'course']
['system', 'school', 'year']
['work', 'place', 'case']
['world', 'end', 'party']
['way', 'life', 'case']
['school', 'work', 'life']
['government', 'party', 'work']
['school', 'end', 'government']
['case', 'year', 'fact']
['year', 'work', 'end']
['case', 'work', 'end']
['place', 'man', 'fact']
['man', 'information', 'system']
['work', 'fact', 'man']
['place', 'day', 'school']
['government', 'fact', 'end']
['party', 'system', 'day']
['place', 'man', 'way']
['way', 'end', 'case']
['place', 'course', 'school']
['system', 'place', 'house']
['way', 'school', 'case']
['company', 'part', 'year']
['house', 'year', 'company']
['information', 'year', 'day']
['group', 'way', 'system']
['group', 'work', 'house']
['place', 'part', 'system']
['case', 'party', 'school']
['end', 'company', 'system']
['year', 'case', 'world']
['information', 'part', 'company']
['case', 'school', 'way']
['work', 'man', 'course']
['place', 'work', 'school']
['case', 'system', 'way']
['house', 'way', 'course']
['system', 'life', 'place']
['life', 'system', 'fact']
['day', 'way', 'house']
['house', 'information', 'party']
['year', 'group', 'case']
['system', 'end', 'way']
['place', 'fact', 'end']
['party', 'house', 'end']
['government', 'school', 'information']
['life', 'information', 'end']
['man', 'house', 'place']
['company', 'school', 'group']
['information', 'world', 'government']
['place', 'case', 'part']
['school', 'end', 'case']
['year', 'government', 'place']
['end', 'work', 'place']
['party', 'course', 'group']
['house', 'man', 'school']
['information', 'course', 'part']
['year', 'part', 'case']
['group', 'man', 'party']
['information', 'day', 'year']
['group', 'part', 'school']
['information', 'party', 'work']
['man', 'way', 'information']
['man', 'company', 'world']
['man', 'way', 'house']
['year', 'day', 'party']
['place', 'party', 'man']
['course', 'information', 'year']
['school', 'man', 'system']
['day', 'place', 'end']
['work', 'information', 'company']
['work', 'end', 'house']
['group', 'way', 'house']
['world', 'house', 'year']
['group', 'course', 'information']
['party', 'case', 'place']
['year', 'day', 'way']
['group', 'fact', 'life']
['fact', 'place', 'course']
['government', 'group', 'school']
['man', 'part', 'place']
['government', 'day', 'place']
