['year', 'fact', 'school']
['school', 'house', 'part']
['end', 'information', 'world']
['place', 'life', 'system']
['system', 'place', 'group']
['world', 'year', 'system']
['government', 'life', 'place']
['house', 'life', 'school']
['school', 'part', 'life']
['end', 'course', 'place']
['government', 'school', 'year']
['way', 'work', 'day']
['man', 'fact', 'end']
['company', 'end', 'work']
['party', 'end', 'day']
['house', 'part', 'group']
['man', 'group', 'information']
['course', 'house', 'company']
['information', 'man', 'school']
['year', 'course', 'information']
['government', 'end', 'man']
['company', 'year', 'group']
['man', 'world', 'school']
['world', 'fact', 'party']
['party', 'day', 'school']
['year', 'end', 'man']
['course', 'company', 'party']
['party', 'course', 'house']
['man', 'information', 'group']
['way', 'information', 'place']
['party', 'man', 'way']
['part', 'life', 'house']
['group', 'information', 'day']
['party', 'world', 'company']
['place', 'part', 'way']
['world', 'course', 'place']
['school', 'life', 'year']
['system', 'work', 'way']
['life', 'fact', 'way']
['day', 'way', 'house']
['system', 'party', 'way']
['end', 'world', 'day']
['day', 'way', 'government']
['information', 'party', 'way']
['information', 'company', 'part']
['day', 'life', 'work']
['course', 'man', 'company']
['company', 'way', 'course']
['end', 'part', 'house']
['year', 'company', 'school']
['company', 'group', 'work']
['party', 'company', 'case']
['company', 'work', 'year']
['system', 'course', 'group']
['work', 'man', 'fact']
['place', 'day', 'life']
['day', 'government', 'course']
['way', 'man', 'house']
['fact', 'work', 'world']
['group', 'case', 'system']
['system', 'information', 'part']
['group', 'system', 'day']
['life', 'way', 'world']
['school', 'day', 'way']
['information', 'course', 'part']
['world', 'end', 'year']
['information', 'group', 'course']
['company', 'part', 'system']
['way', 'year', 'man']
['day', 'school', 'way']
['fact', 'life', 'way']
['party', 'man', 'end']
['company', 'fact', 'school']
['system', 'party', 'life']
['year', 'world', 'place']
['world', 'system', 'group']
['life', 'company', 'year']
['man', 'system', 'life']
['place', 'part', 'end']
['day', 'course', 'case']
['year', 'man', 'group']
['fact', 'house', 'case']
['government', 'system', 'end']
['party', 'way', 'man']
['system', 'world', 'place']
['life', 'course', 'government']
['year', 'case', 'school']
['system', 'government', 'course']
['group', 'government', 'world']
['way', 'government', 'work']
['end', 'life', 'information']
['information', 'place', 'fact']
['government', 'way', 'group']
['group', 'day', 'system']
['case', 'government', 'fact']
['day', 'case', 'end']
['course', 'school', 'place']
['information', 'life', 'way']
