['part', 'man', 'party']
['system', 'part', 'work']
['world', 'party', 'place']
['world', 'government', 'day']
['house', 'case', 'system']
['man', 'house', 'work']
['world', 'fact', 'place']
['information', 'system', 'year']
['government', 'part', 'course']
['group', 'information', 'system']
['part', 'information', 'school']
['group', 'work', 'company']
['course', 'company', 'world']
['information', 'place', 'government']
['case', 'work', 'system']
['world', 'information', 'way']
['life', 'work', 'group']
['work', 'group', 'man']
['year', 'fact', 'house']
['year', 'man', 'information']
['school', 'life', 'world']
['company', 'house', 'school']
['day', 'system', 'fact']
['world', 'information', 'day']
['man', 'part', 'group']
['work', 'party', 'way']
['company', 'year', 'school']
['government', 'group', 'house']
['government', 'course', 'world']
['information', 'course', 'work']
['part', 'way', 'group']
['part', 'house', 'man']
['man', 'company', 'world']
['year', 'group', 'life']
['way', 'day', 'man']
['group', 'place', 'school']
['house', 'life', 'party']
['end', 'government', 'system']
['information', 'house', 'part']
['place', 'year', 'man']
['course', 'system', 'end']
['life', 'school', 'man']
['world', 'system', 'school']
['way', 'school', 'work']
['life', 'world', 'case']
['work', 'party', 'system']
['system', 'world', 'year']
['school', 'place', 'end']
['government', 'system', 'end']
['man', 'house', 'fact']
['work', 'company', 'life']
['life', 'party', 'course']
['work', 'world', 'way']
['school', 'company', 'end']
['year', 'part', 'house']
['life', 'case', 'end']
['man', 'information', 'day']
['part', 'information', 'world']
['work', 'end', 'fact']
['end', 'work', 'party']
['school', 'work', 'house']
['place', 'group', 'part']
['case', 'school', 'fact']
['part', 'life', 'party']
['day', 'part', 'government']
['fact', 'life', 'information']
['end', 'house', 'information']
['life', 'day', 'fact']
['day', 'way', 'end']
['company', 'government', 'case']
['man', 'system', 'world']
['part', 'school', 'world']
['case', 'end', 'man']
['fact', 'course', 'way']
['day', 'way', 'house']
['way', 'course', 'information']
['course', 'information', 'group']
['house', 'day', 'year']
['day', 'house', 'year']
['party', 'way', 'fact']
['year', 'man', 'end']
['year', 'day', 'world']
['course', 'place', 'day']
['work', 'company', 'case']
['man', 'house', 'company']
['day', 'life', 'way']
['part', 'group', 'case']
['life', 'year', 'place']
['part', 'government', 'case']
['part', 'life', 'man']
['part', 'day', 'life']
['group', 'company', 'fact']
['information', 'year', 'group']
['party', 'year', 'information']
['system', 'government', 'company']
['year', 'group', 'course']
['system', 'school', 'place']
['way', 'company', 'fact']
['man', 'system', 'party']
