['place', 'case', 'system', 'year', 'house']
['end', 'world', 'system', 'school', 'place']
['school', 'life', 'system', 'place', 'world']
['fact', 'course', 'way', 'day', 'man']
['way', 'group', 'year', 'work', 'end']
['system', 'case', 'part', 'life', 'world']
['man', 'course', 'information', 'company', 'life']
['course', 'man', 'system', 'school', 'group']
['company', 'school', 'group', 'government', 'case']
['part', 'way', 'man', 'life', 'place']
['course', 'place', 'government', 'year', 'end']
['life', 'end', 'work', 'house', 'school']
['world', 'system', 'part', 'work', 'party']
['day', 'course', 'year', 'group', 'life']
['end', 'life', 'house', 'party', 'school']
['man', 'house', 'group', 'day', 'case']
['school', 'part', 'government', 'place', 'system']
['system', 'way', 'information', 'day', 'house']
['house', 'government', 'information', 'day', 'place']
['company', 'place', 'system', 'group', 'information']
['life', 'information', 'way', 'case', 'party']
['information', 'world', 'man', 'day', 'system']
['world', 'company', 'case', 'information', 'day']
['year', 'part', 'government', 'man', 'day']
['information', 'system', 'world', 'way', 'company']
['house', 'day', 'fact', 'man', 'system']
['fact', 'group', 'year', 'company', 'government']
['work', 'case', 'day', 'government', 'group']
['day', 'year', 'place', 'government', 'case']
['part', 'fact', 'course', 'way', 'place']
['group', 'way', 'year', 'party', 'system']
['group', 'man', 'work', 'case', 'school']
['company', 'case', 'course', 'system', 'information']
['end', 'work', 'world', 'man', 'place']
['school', 'part', 'world', 'place', 'fact']
['part', 'life', 'group', 'case', 'school']
['system', 'company', 'government', 'place', 'life']
['work', 'year', 'course', 'company', 'life']
['case', 'school', 'place', 'life', 'course']
['work', 'world', 'group', 'end', 'way']
['government', 'place', 'case', 'work', 'company']
['fact', 'year', 'house', 'world', 'system']
['day', 'information', 'end', 'company', 'life']
['system', 'man', 'part', 'fact', 'place']
['company', 'information', 'world', 'day', 'place']
['school', 'day', 'company', 'work', 'group']
['year', 'fact', 'house', 'day', 'party']
['course', 'group', 'information', 'end', 'company']
['work', 'group', 'case', 'place', 'party']
['house', 'life', 'work', 'school', 'company']
['end', 'fact', 'party', 'government', 'way']
['man', 'part', 'fact', 'year', 'place']
['system', 'work', 'way', 'world', 'part']
['group', 'system', 'case', 'government', 'way']
['man', 'fact', 'system', 'world', 'place']
['work', 'place', 'course', 'way', 'company']
['man', 'school', 'party', 'year', 'life']
['end', 'place', 'company', 'life', 'party']
['day', 'world', 'work', 'house', 'group']
['fact', 'case', 'day', 'course', 'group']
['system', 'information', 'way', 'company', 'place']
['life', 'way', 'world', 'end', 'day']
['information', 'way', 'year', 'government', 'world']
['party', 'work', 'house', 'life', 'system']
['company', 'life', 'day', 'system', 'school']
['school', 'house', 'world', 'company', 'government']
['work', 'life', 'school', 'day', 'system']
['fact', 'life', 'course', 'part', 'man']
['place', 'house', 'world', 'government', 'course']
['party', 'world', 'year', 'course', 'house']
['party', 'man', 'school', 'year', 'information']
['group', 'man', 'year', 'world', 'work']
['group', 'course', 'life', 'year', 'end']
['part', 'system', 'information', 'party', 'place']
['work', 'day', 'fact', 'group', 'house']
['fact', 'party', 'case', 'day', 'school']
['party', 'information', 'group', 'work', 'place']
['group', 'house', 'way', 'fact', 'year']
['place', 'course', 'part', 'case', 'way']
['party', 'end', 'system', 'day', 'school']
['fact', 'man', 'party', 'work', 'life']
['end', 'fact', 'year', 'school', 'part']
['way', 'government', 'house', 'group', 'fact']
['house', 'course', 'fact', 'school', 'day']
['end', 'company', 'information', 'year', 'school']
['work', 'life', 'fact', 'end', 'part']
['group', 'life', 'school', 'house', 'information']
['life', 'system', 'way', 'course', 'group']
['company', 'way', 'course', 'day', 'year']
['way', 'case', 'school', 'work', 'information']
['life', 'way', 'fact', 'information', 'case']
['case', 'school', 'end', 'life', 'day']
['place', 'group', 'case', 'day', 'part']
['case', 'group', 'world', 'work', 'year']
['company', 'course', 'day', 'part', 'place']
['way', 'world', 'government', 'place', 'case']
['course', 'case', 'day', 'way', 'house']
['place', 'system', 'end', 'life', 'way']
