['school', 'system', 'end', 'way', 'place']
['work', 'man', 'information', 'party', 'government']
['house', 'year', 'man', 'part', 'party']
['course', 'day', 'end', 'government', 'group']
['way', 'part', 'day', 'company', 'end']
['system', 'house', 'end', 'school', 'place']
['system', 'place', 'government', 'case', 'school']
['year', 'system', 'group', 'house', 'life']
['place', 'part', 'government', 'day', 'school']
['work', 'information', 'system', 'school', 'company']
['life', 'work', 'case', 'part', 'group']
['information', 'fact', 'life', 'part', 'year']
['company', 'work', 'place', 'world', 'day']
['part', 'case', 'company', 'government', 'day']
['company', 'group', 'system', 'party', 'work']
['work', 'world', 'place', 'information', 'case']
['system', 'company', 'year', 'party', 'group']
['government', 'company', 'system', 'life', 'case']
['year', 'end', 'way', 'party', 'government']
['world', 'part', 'government', 'school', 'fact']
['government', 'course', 'part', 'fact', 'life']
['house', 'year', 'information', 'way', 'company']
['system', 'fact', 'part', 'party', 'end']
['life', 'case', 'fact', 'school', 'way']
['part', 'year', 'party', 'system', 'government']
['case', 'school', 'fact', 'party', 'place']
['party', 'system', 'year', 'way', 'life']
['group', 'way', 'day', 'school', 'part']
['man', 'case', 'life', 'fact', 'school']
['system', 'work', 'way', 'year', 'place']
['school', 'life', 'day', 'government', 'system']
['company', 'party', 'course', 'fact', 'school']
['life', 'part', 'school', 'course', 'place']
['system', 'year', 'work', 'course', 'place']
['work', 'school', 'world', 'group', 'fact']
['information', 'company', 'life', 'way', 'system']
['school', 'party', 'group', 'life', 'house']
['place', 'company', 'fact', 'way', 'part']
['world', 'way', 'man', 'end', 'government']
['way', 'end', 'place', 'government', 'party']
['man', 'school', 'year', 'house', 'work']
['fact', 'day', 'man', 'information', 'system']
['case', 'place', 'fact', 'system', 'man']
['work', 'man', 'case', 'course', 'life']
['system', 'place', 'party', 'school', 'house']
['information', 'fact', 'year', 'place', 'day']
['world', 'group', 'work', 'case', 'year']
['end', 'life', 'day', 'information', 'case']
['world', 'information', 'work', 'government', 'case']
['year', 'fact', 'company', 'end', 'group']
['man', 'place', 'case', 'day', 'part']
['information', 'party', 'work', 'part', 'house']
['house', 'course', 'man', 'work', 'life']
['house', 'part', 'information', 'year', 'party']
['system', 'group', 'fact', 'case', 'man']
['party', 'year', 'part', 'fact', 'government']
['year', 'company', 'school', 'group', 'place']
['case', 'information', 'end', 'school', 'work']
['case', 'system', 'fact', 'year', 'course']
['school', 'year', 'fact', 'information', 'day']
['information', 'company', 'year', 'work', 'group']
['course', 'company', 'man', 'system', 'party']
['work', 'fact', 'course', 'system', 'party']
['world', 'group', 'year', 'work', 'party']
['end', 'group', 'fact', 'government', 'man']
['way', 'course', 'day', 'party', 'part']
['course', 'end', 'part', 'way', 'school']
['information', 'system', 'work', 'group', 'company']
['case', 'fact', 'system', 'life', 'course']
['year', 'system', 'case', 'house', 'life']
['life', 'day', 'year', 'information', 'company']
['case', 'man', 'fact', 'life', 'information']
['government', 'world', 'day', 'case', 'course']
['information', 'fact', 'world', 'system', 'company']
['world', 'party', 'course', 'day', 'man']
['work', 'life', 'party', 'course', 'place']
['life', 'case', 'group', 'house', 'year']
['way', 'information', 'company', 'year', 'part']
['fact', 'school', 'work', 'group', 'company']
['place', 'information', 'party', 'group', 'fact']
['government', 'party', 'work', 'company', 'world']
['company', 'work', 'system', 'part', 'man']
['man', 'part', 'system', 'information', 'end']
['day', 'end', 'course', 'information', 'world']
['work', 'world', 'fact', 'way', 'group']
['end', 'house', 'system', 'party', 'case']
['government', 'house', 'day', 'fact', 'group']
['course', 'system', 'government', 'world', 'school']
['government', 'system', 'work', 'part', 'life']
['company', 'party', 'school', 'system', 'government']
['year', 'party', 'world', 'life', 'government']
['day', 'man', 'company', 'world', 'group']
['world', 'group', 'place', 'case', 'man']
['end', 'part', 'work', 'government', 'case']
['world', 'year', 'day', 'end', 'course']
['way', 'company', 'life', 'work', 'school']
['year', 'group', 'party', 'way', 'world']
['year', 'day', 'world', 'fact', 'end']
['system', 'day', 'year', 'company', 'part']
