['year', 'group', 'house', 'part', 'case', 'information', 'end', 'world']
['end', 'work', 'part', 'information', 'company', 'man', 'group', 'day']
['house', 'man', 'information', 'course', 'government', 'year', 'world', 'group']
['school', 'day', 'house', 'year', 'case', 'information', 'end', 'system']
['course', 'way', 'work', 'end', 'school', 'day', 'house', 'party']
['school', 'work', 'company', 'case', 'house', 'system', 'government', 'course']
['information', 'group', 'man', 'end', 'life', 'year', 'case', 'party']
['house', 'place', 'case', 'school', 'group', 'way', 'day', 'fact']
['course', 'way', 'end', 'party', 'information', 'year', 'world', 'company']
['school', 'day', 'case', 'part', 'life', 'house', 'government', 'work']
['house', 'government', 'group', 'way', 'fact', 'year', 'system', 'place']
['system', 'fact', 'company', 'government', 'school', 'case', 'life', 'work']
['part', 'system', 'work', 'school', 'day', 'company', 'case', 'year']
['system', 'place', 'party', 'work', 'case', 'year', 'school', 'world']
['group', 'life', 'course', 'company', 'case', 'house', 'school', 'day']
['man', 'part', 'course', 'house', 'group', 'day', 'place', 'information']
['man', 'year', 'fact', 'company', 'end', 'school', 'house', 'course']
['life', 'information', 'company', 'place', 'way', 'fact', 'work', 'party']
['information', 'place', 'group', 'course', 'end', 'fact', 'system', 'party']
['system', 'fact', 'information', 'school', 'part', 'way', 'place', 'work']
['part', 'company', 'year', 'way', 'case', 'work', 'place', 'course']
['part', 'information', 'year', 'group', 'world', 'day', 'place', 'case']
['way', 'life', 'party', 'fact', 'information', 'house', 'part', 'course']
['case', 'world', 'life', 'year', 'course', 'day', 'group', 'end']
['work', 'party', 'man', 'school', 'group', 'life', 'information', 'house']
['group', 'system', 'part', 'course', 'end', 'life', 'work', 'day']
['day', 'work', 'government', 'house', 'man', 'fact', 'information', 'school']
['life', 'end', 'fact', 'company', 'man', 'course', 'world', 'part']
['house', 'government', 'company', 'fact', 'group', 'case', 'part', 'end']
['work', 'house', 'life', 'party', 'government', 'system', 'fact', 'company']
['life', 'year', 'work', 'group', 'house', 'man', 'end', 'party']
['group', 'world', 'school', 'information', 'day', 'year', 'course', 'life']
['work', 'company', 'end', 'world', 'life', 'course', 'fact', 'system']
['group', 'man', 'way', 'school', 'place', 'part', 'course', 'system']
['party', 'house', 'school', 'world', 'system', 'group', 'part', 'way']
['life', 'government', 'fact', 'system', 'school', 'course', 'place', 'world']
['life', 'part', 'way', 'course', 'place', 'case', 'end', 'world']
['company', 'way', 'day', 'party', 'end', 'part', 'year', 'course']
['part', 'group', 'company', 'end', 'day', 'school', 'fact', 'life']
['life', 'way', 'house', 'day', 'man', 'place', 'case', 'part']
['system', 'day', 'fact', 'information', 'year', 'course', 'group', 'way']
['year', 'work', 'case', 'day', 'man', 'house', 'course', 'group']
['group', 'part', 'house', 'fact', 'world', 'work', 'man', 'case']
['group', 'end', 'house', 'man', 'work', 'day', 'case', 'place']
['part', 'information', 'party', 'school', 'case', 'company', 'course', 'fact']
['place', 'house', 'life', 'course', 'man', 'government', 'party', 'work']
['school', 'work', 'course', 'group', 'government', 'party', 'way', 'end']
['work', 'day', 'world', 'place', 'government', 'information', 'company', 'school']
['year', 'house', 'company', 'information', 'part', 'world', 'course', 'case']
['company', 'government', 'party', 'course', 'system', 'way', 'man', 'day']
['party', 'year', 'school', 'life', 'part', 'way', 'house', 'day']
['man', 'end', 'part', 'day', 'work', 'system', 'group', 'year']
['company', 'group', 'information', 'party', 'government', 'end', 'house', 'fact']
['world', 'system', 'case', 'place', 'fact', 'information', 'year', 'way']
['information', 'life', 'man', 'government', 'part', 'end', 'school', 'fact']
['system', 'man', 'case', 'group', 'information', 'government', 'house', 'company']
['world', 'information', 'place', 'way', 'party', 'man', 'school', 'course']
['case', 'fact', 'end', 'place', 'group', 'system', 'year', 'school']
['information', 'school', 'group', 'world', 'year', 'government', 'house', 'life']
['part', 'world', 'fact', 'way', 'work', 'life', 'year', 'company']
['work', 'company', 'man', 'world', 'end', 'place', 'day', 'party']
['end', 'world', 'case', 'day', 'school', 'group', 'house', 'way']
['school', 'world', 'fact', 'life', 'information', 'man', 'year', 'course']
['house', 'information', 'end', 'way', 'school', 'case', 'system', 'place']
['company', 'house', 'work', 'party', 'system', 'man', 'fact', 'year']
['part', 'group', 'day', 'government', 'life', 'way', 'company', 'party']
['group', 'information', 'end', 'school', 'year', 'work', 'way', 'man']
['day', 'information', 'school', 'part', 'system', 'case', 'house', 'world']
['information', 'work', 'government', 'fact', 'system', 'man', 'school', 'end']
['government', 'case', 'life', 'group', 'school', 'course', 'part', 'world']
['system', 'year', 'government', 'information', 'end', 'part', 'company', 'school']
['course', 'life', 'school', 'company', 'year', 'government', 'day', 'way']
['end', 'school', 'day', 'system', 'year', 'man', 'case', 'work']
['day', 'government', 'end', 'information', 'course', 'fact', 'house', 'life']
['part', 'year', 'place', 'world', 'fact', 'information', 'group', 'case']
['year', 'party', 'man', 'house', 'way', 'case', 'fact', 'school']
['house', 'end', 'way', 'fact', 'world', 'life', 'course', 'case']
['house', 'information', 'way', 'work', 'group', 'world', 'year', 'system']
['house', 'system', 'life', 'government', 'world', 'company', 'end', 'work']
['work', 'school', 'information', 'system', 'end', 'part', 'government', 'case']
['place', 'year', 'day', 'government', 'world', 'company', 'man', 'life']
['course', 'place', 'school', 'group', 'government', 'man', 'case', 'way']
['life', 'part', 'course', 'end', 'man', 'place', 'world', 'case']
['day', 'way', 'end', 'work', 'fact', 'man', 'place', 'part']
['company', 'work', 'house', 'government', 'group', 'day', 'case', 'world']
['system', 'world', 'party', 'house', 'place', 'way', 'end', 'school']
['school', 'house', 'company', 'information', 'life', 'government', 'year', 'place']
['day', 'government', 'case', 'school', 'course', 'work', 'house', 'man']
['year', 'man', 'place', 'group', 'school', 'fact', 'part', 'information']
['place', 'company', 'man', 'world', 'group', 'work', 'course', 'year']
['government', 'world', 'information', 'year', 'company', 'life', 'party', 'part']
['life', 'place', 'fact', 'group', 'part', 'end', 'man', 'day']
['year', 'world', 'course', 'end', 'group', 'work', 'information', 'case']
['company', 'house', 'course', 'man', 'year', 'fact', 'end', 'place']
['case', 'year', 'world', 'life', 'place', 'group', 'school', 'fact']
['house', 'party', 'company', 'end', 'part', 'man', 'case', 'world']
['system', 'day', 'company', 'work', 'course', 'place', 'information', 'year']
['part', 'case', 'work', 'government', 'school', 'house', 'fact', 'way']
['fact', 'world', 'man', 'way', 'group', 'school', 'life', 'company']
