['school', 'course', 'information', 'day', 'system', 'government', 'way', 'man']
['school', 'information', 'fact', 'end', 'man', 'life', 'part', 'world']
['house', 'place', 'work', 'course', 'group', 'party', 'information', 'case']
['company', 'year', 'case', 'school', 'system', 'man', 'information', 'way']
['life', 'work', 'way', 'case', 'company', 'place', 'world', 'government']
['world', 'system', 'work', 'way', 'information', 'place', 'government', 'party']
['party', 'part', 'end', 'government', 'place', 'system', 'company', 'day']
['course', 'life', 'system', 'fact', 'house', 'place', 'end', 'part']
['school', 'fact', 'information', 'day', 'work', 'government', 'world', 'group']
['year', 'system', 'work', 'way', 'group', 'world', 'company', 'life']
['world', 'life', 'house', 'system', 'part', 'information', 'way', 'year']
['world', 'group', 'house', 'place', 'man', 'way', 'course', 'year']
['government', 'fact', 'case', 'part', 'end', 'course', 'system', 'life']
['work', 'party', 'system', 'government', 'case', 'course', 'day', 'house']
['work', 'group', 'place', 'way', 'house', 'information', 'man', 'fact']
['work', 'way', 'system', 'house', 'end', 'company', 'party', 'year']
['year', 'party', 'group', 'day', 'way', 'company', 'school', 'life']
['world', 'work', 'case', 'man', 'life', 'fact', 'year', 'school']
['house', 'system', 'part', 'end', 'man', 'party', 'information', 'company']
['school', 'year', 'man', 'group', 'day', 'end', 'party', 'fact']
['man', 'house', 'school', 'day', 'year', 'work', 'life', 'company']
['information', 'man', 'party', 'end', 'world', 'house', 'course', 'fact']
['party', 'information', 'company', 'work', 'fact', 'man', 'case', 'house']
['government', 'group', 'year', 'life', 'end', 'school', 'world', 'man']
['company', 'work', 'course', 'government', 'group', 'life', 'place', 'school']
['information', 'school', 'man', 'day', 'fact', 'year', 'system', 'way']
['world', 'day', 'course', 'part', 'house', 'end', 'fact', 'case']
['life', 'world', 'course', 'end', 'government', 'party', 'system', 'school']
['way', 'case', 'information', 'man', 'fact', 'house', 'government', 'life']
['man', 'day', 'life', 'part', 'system', 'group', 'company', 'year']
['information', 'fact', 'way', 'government', 'day', 'course', 'school', 'year']
['day', 'house', 'part', 'group', 'end', 'work', 'party', 'course']
['world', 'party', 'course', 'man', 'way', 'year', 'fact', 'life']
['party', 'group', 'fact', 'course', 'school', 'world', 'year', 'end']
['end', 'information', 'day', 'world', 'system', 'company', 'place', 'fact']
['company', 'man', 'life', 'case', 'work', 'year', 'government', 'day']
['day', 'course', 'place', 'government', 'part', 'end', 'system', 'case']
['information', 'world', 'party', 'man', 'life', 'case', 'company', 'system']
['place', 'course', 'company', 'year', 'part', 'party', 'end', 'day']
['fact', 'life', 'part', 'way', 'case', 'world', 'man', 'work']
['information', 'year', 'party', 'day', 'course', 'group', 'man', 'government']
['school', 'party', 'group', 'company', 'end', 'way', 'course', 'day']
['group', 'fact', 'day', 'information', 'year', 'work', 'world', 'system']
['life', 'fact', 'man', 'government', 'year', 'world', 'group', 'part']
['information', 'day', 'company', 'end', 'course', 'case', 'party', 'school']
['life', 'place', 'man', 'party', 'day', 'system', 'year', 'case']
['work', 'house', 'party', 'man', 'year', 'government', 'information', 'fact']
['end', 'life', 'group', 'part', 'house', 'work', 'system', 'case']
['man', 'world', 'company', 'group', 'case', 'party', 'place', 'information']
['place', 'world', 'course', 'end', 'part', 'group', 'case', 'company']
['course', 'man', 'world', 'life', 'government', 'year', 'day', 'fact']
['part', 'group', 'end', 'course', 'man', 'day', 'school', 'government']
['part', 'government', 'course', 'case', 'group', 'man', 'party', 'day']
['day', 'part', 'school', 'fact', 'way', 'party', 'case', 'system']
['way', 'government', 'world', 'day', 'house', 'part', 'life', 'information']
['place', 'life', 'case', 'day', 'world', 'government', 'part', 'company']
['information', 'way', 'part', 'system', 'world', 'school', 'course', 'house']
['government', 'work', 'information', 'school', 'man', 'group', 'end', 'life']
['day', 'part', 'system', 'information', 'government', 'year', 'man', 'work']
['day', 'party', 'case', 'part', 'end', 'work', 'way', 'man']
['school', 'way', 'government', 'party', 'fact', 'end', 'life', 'case']
['year', 'place', 'world', 'government', 'school', 'way', 'part', 'work']
['part', 'life', 'world', 'house', 'party', 'company', 'government', 'group']
['house', 'world', 'system', 'end', 'way', 'man', 'day', 'company']
['house', 'life', 'world', 'case', 'system', 'fact', 'course', 'day']
['party', 'year', 'day', 'man', 'work', 'course', 'school', 'part']
['course', 'work', 'house', 'case', 'day', 'fact', 'company', 'information']
['day', 'information', 'year', 'house', 'course', 'party', 'work', 'fact']
['information', 'group', 'system', 'man', 'place', 'case', 'end', 'course']
['man', 'group', 'house', 'part', 'place', 'work', 'case', 'course']
['government', 'information', 'fact', 'day', 'year', 'school', 'world', 'place']
