['year', 'life', 'house', 'way', 'case', 'part', 'system', 'information']
['party', 'fact', 'company', 'government', 'place', 'man', 'group', 'world']
['man', 'life', 'school', 'year', 'world', 'place', 'information', 'work']
['party', 'man', 'house', 'day', 'world', 'work', 'company', 'school']
['fact', 'part', 'place', 'work', 'system', 'day', 'man', 'year']
['man', 'work', 'world', 'school', 'day', 'place', 'system', 'government']
['end', 'case', 'information', 'part', 'year', 'school', 'system', 'place']
['world', 'man', 'school', 'place', 'group', 'way', 'system', 'case']
['company', 'fact', 'world', 'place', 'course', 'man', 'house', 'year']
['government', 'life', 'day', 'company', 'group', 'information', 'world', 'way']
['case', 'school', 'life', 'house', 'system', 'group', 'government', 'work']
['house', 'year', 'world', 'part', 'place', 'system', 'government', 'information']
['man', 'house', 'company', 'case', 'year', 'work', 'group', 'world']
['end', 'company', 'case', 'day', 'world', 'year', 'system', 'house']
['system', 'school', 'fact', 'company', 'place', 'work', 'house', 'government']
['course', 'part', 'case', 'fact', 'house', 'man', 'place', 'way']
['part', 'party', 'house', 'world', 'government', 'work', 'system', 'day']
['day', 'information', 'house', 'system', 'man', 'end', 'place', 'group']
['year', 'group', 'world', 'house', 'way', 'company', 'fact', 'party']
['case', 'company', 'work', 'life', 'part', 'course', 'place', 'day']
['man', 'system', 'end', 'way', 'school', 'party', 'year', 'information']
['year', 'party', 'information', 'work', 'end', 'school', 'course', 'group']
['government', 'school', 'course', 'information', 'world', 'way', 'company', 'place']
['place', 'fact', 'group', 'party', 'course', 'company', 'day', 'life']
['information', 'year', 'man', 'course', 'group', 'house', 'end', 'government']
['system', 'end', 'case', 'party', 'day', 'company', 'fact', 'part']
['school', 'world', 'government', 'system', 'course', 'life', 'end', 'place']
['place', 'company', 'system', 'work', 'life', 'case', 'way', 'man']
['company', 'system', 'place', 'fact', 'way', 'world', 'case', 'man']
['end', 'life', 'course', 'place', 'group', 'day', 'government', 'information']
['man', 'place', 'government', 'case', 'world', 'year', 'work', 'day']
['house', 'man', 'world', 'party', 'end', 'company', 'place', 'part']
['fact', 'party', 'year', 'life', 'house', 'part', 'way', 'day']
['course', 'group', 'work', 'school', 'man', 'system', 'day', 'government']
['year', 'group', 'course', 'case', 'company', 'place', 'work', 'way']
['government', 'world', 'system', 'group', 'year', 'party', 'place', 'way']
['world', 'place', 'government', 'fact', 'work', 'system', 'course', 'way']
['information', 'fact', 'part', 'way', 'government', 'house', 'place', 'course']
['course', 'group', 'company', 'man', 'house', 'case', 'way', 'system']
['day', 'system', 'company', 'fact', 'end', 'party', 'world', 'work']
['man', 'group', 'case', 'life', 'house', 'work', 'school', 'end']
['work', 'world', 'system', 'company', 'school', 'end', 'way', 'information']
['day', 'way', 'party', 'life', 'place', 'case', 'part', 'man']
['government', 'information', 'case', 'party', 'course', 'group', 'fact', 'part']
['year', 'case', 'course', 'information', 'world', 'work', 'system', 'day']
['part', 'life', 'house', 'fact', 'information', 'group', 'system', 'case']
['way', 'place', 'world', 'party', 'course', 'case', 'day', 'part']
