['world', 'government', 'year', 'company', 'system', 'case', 'information', 'work']
['house', 'place', 'government', 'case', 'course', 'life', 'party', 'system']
['work', 'party', 'information', 'company', 'world', 'year', 'house', 'life']
['party', 'part', 'group', 'day', 'information', 'company', 'man', 'place']
['year', 'company', 'school', 'place', 'course', 'way', 'man', 'information']
['system', 'life', 'fact', 'course', 'case', 'party', 'house', 'place']
['world', 'case', 'system', 'company', 'party', 'fact', 'school', 'life']
['man', 'world', 'information', 'course', 'system', 'fact', 'way', 'case']
['school', 'company', 'course', 'man', 'world', 'fact', 'house', 'way']
['house', 'government', 'way', 'party', 'group', 'year', 'world', 'system']
['government', 'case', 'place', 'year', 'part', 'school', 'system', 'course']
['end', 'life', 'government', 'fact', 'information', 'place', 'house', 'case']
['group', 'way', 'part', 'place', 'party', 'man', 'school', 'case']
['part', 'system', 'government', 'world', 'life', 'end', 'information', 'way']
['course', 'way', 'group', 'day', 'school', 'man', 'part', 'company']
['man', 'day', 'place', 'house', 'course', 'part', 'case', 'fact']
['group', 'government', 'system', 'fact', 'man', 'house', 'day', 'world']
['information', 'man', 'house', 'end', 'group', 'party', 'case', 'course']
['government', 'man', 'system', 'fact', 'part', 'course', 'work', 'year']
['school', 'party', 'case', 'world', 'part', 'end', 'house', 'government']
['way', 'party', 'course', 'system', 'information', 'man', 'house', 'world']
['case', 'house', 'day', 'man', 'school', 'group', 'government', 'work']
['government', 'life', 'system', 'year', 'place', 'party', 'world', 'work']
['party', 'life', 'system', 'group', 'world', 'school', 'end', 'place']
['information', 'life', 'world', 'system', 'man', 'part', 'case', 'party']
['school', 'place', 'year', 'case', 'system', 'day', 'fact', 'way']
['system', 'world', 'day', 'year', 'group', 'government', 'party', 'information']
['fact', 'day', 'information', 'end', 'way', 'group', 'case', 'man']
['system', 'group', 'course', 'way', 'government', 'fact', 'company', 'part']
['end', 'world', 'way', 'information', 'year', 'man', 'work', 'fact']
['government', 'party', 'end', 'year', 'day', 'house', 'man', 'fact']
['house', 'information', 'company', 'world', 'fact', 'party', 'case', 'place']
['end', 'information', 'party', 'system', 'man', 'case', 'place', 'company']
['year', 'course', 'part', 'end', 'case', 'way', 'man', 'life']
['system', 'course', 'day', 'house', 'party', 'information', 'government', 'work']
['government', 'information', 'part', 'school', 'year', 'way', 'system', 'group']
['life', 'year', 'case', 'party', 'place', 'work', 'house', 'information']
['end', 'work', 'government', 'information', 'place', 'fact', 'world', 'school']
['part', 'information', 'world', 'end', 'day', 'school', 'work', 'case']
['information', 'government', 'party', 'end', 'year', 'system', 'work', 'place']
['house', 'world', 'course', 'man', 'government', 'place', 'system', 'end']
['information', 'party', 'group', 'course', 'way', 'case', 'part', 'work']
['party', 'system', 'group', 'part', 'fact', 'school', 'end', 'world']
['case', 'day', 'place', 'party', 'year', 'group', 'part', 'school']
['course', 'party', 'school', 'man', 'place', 'world', 'end', 'information']
['house', 'information', 'place', 'man', 'group', 'fact', 'day', 'life']
['system', 'day', 'place', 'government', 'work', 'world', 'information', 'year']
['fact', 'man', 'place', 'school', 'case', 'party', 'group', 'year']
['house', 'case', 'man', 'place', 'company', 'course', 'day', 'world']
['work', 'year', 'company', 'school', 'day', 'part', 'information', 'way']
['year', 'place', 'school', 'party', 'end', 'life', 'part', 'course']
['party', 'end', 'case', 'day', 'system', 'life', 'man', 'fact']
['work', 'man', 'course', 'company', 'house', 'part', 'day', 'fact']
['way', 'system', 'work', 'place', 'man', 'world', 'information', 'case']
['case', 'group', 'house', 'world', 'government', 'fact', 'part', 'man']
['fact', 'place', 'man', 'house', 'government', 'life', 'party', 'year']
['world', 'case', 'part', 'fact', 'government', 'place', 'system', 'way']
['way', 'end', 'man', 'part', 'world', 'work', 'case', 'information']
['party', 'course', 'system', 'work', 'house', 'case', 'part', 'government']
['house', 'party', 'day', 'school', 'company', 'case', 'man', 'group']
['course', 'day', 'house', 'case', 'government', 'place', 'school', 'year']
['day', 'end', 'course', 'company', 'life', 'party', 'information', 'government']
['school', 'house', 'way', 'life', 'information', 'day', 'company', 'work']
['way', 'man', 'end', 'government', 'company', 'party', 'group', 'work']
['school', 'place', 'life', 'house', 'day', 'group', 'company', 'year']
['school', 'house', 'system', 'course', 'information', 'life', 'fact', 'part']
['system', 'world', 'place', 'end', 'house', 'fact', 'way', 'case']
['place', 'world', 'fact', 'system', 'work', 'year', 'course', 'man']
['way', 'part', 'end', 'world', 'work', 'school', 'party', 'system']
['system', 'day', 'part', 'fact', 'life', 'company', 'work', 'group']
['life', 'course', 'house', 'system', 'year', 'information', 'group', 'government']
['company', 'part', 'world', 'fact', 'day', 'work', 'party', 'man']
['case', 'work', 'group', 'life', 'house', 'way', 'system', 'party']
['end', 'party', 'world', 'company', 'day', 'information', 'group', 'system']
['day', 'end', 'case', 'company', 'life', 'work', 'place', 'part']
['party', 'part', 'company', 'fact', 'system', 'work', 'school', 'life']
['school', 'work', 'way', 'end', 'government', 'information', 'life', 'man']
['work', 'case', 'company', 'fact', 'place', 'part', 'system', 'year']
['information', 'fact', 'party', 'group', 'system', 'way', 'man', 'day']
['life', 'man', 'place', 'year', 'part', 'fact', 'company', 'way']
['life', 'work', 'fact', 'party', 'day', 'government', 'company', 'school']
['day', 'place', 'party', 'way', 'case', 'group', 'information', 'company']
['way', 'system', 'year', 'part', 'day', 'company', 'place', 'party']
