['group', 'party', 'government', 'place', 'information', 'fact', 'end', 'day']
['case', 'end', 'year', 'group', 'course', 'information', 'work', 'way']
['party', 'information', 'part', 'day', 'end', 'system', 'government', 'school']
['party', 'day', 'house', 'end', 'year', 'government', 'case', 'life']
['school', 'part', 'place', 'day', 'course', 'life', 'company', 'fact']
['place', 'government', 'course', 'information', 'day', 'fact', 'group', 'part']
['end', 'group', 'course', 'school', 'man', 'case', 'house', 'year']
['company', 'part', 'party', 'end', 'house', 'government', 'work', 'place']
['information', 'way', 'course', 'group', 'system', 'fact', 'end', 'government']
['year', 'information', 'course', 'work', 'system', 'man', 'company', 'part']
['place', 'house', 'work', 'system', 'year', 'party', 'company', 'end']
['system', 'year', 'school', 'information', 'party', 'life', 'place', 'day']
['course', 'party', 'life', 'work', 'group', 'year', 'world', 'government']
['place', 'course', 'group', 'information', 'day', 'life', 'part', 'work']
['company', 'system', 'world', 'end', 'year', 'course', 'day', 'part']
['world', 'life', 'course', 'school', 'man', 'place', 'year', 'system']
['world', 'group', 'day', 'case', 'house', 'system', 'course', 'year']
['life', 'year', 'case', 'company', 'information', 'man', 'course', 'system']
['house', 'course', 'government', 'way', 'group', 'case', 'work', 'end']
['government', 'year', 'place', 'fact', 'world', 'man', 'life', 'end']
['system', 'place', 'life', 'way', 'course', 'part', 'government', 'end']
['system', 'place', 'year', 'man', 'life', 'party', 'work', 'world']
['man', 'end', 'system', 'fact', 'company', 'life', 'place', 'house']
['school', 'man', 'party', 'company', 'place', 'way', 'information', 'end']
['house', 'life', 'man', 'information', 'system', 'world', 'case', 'year']
['place', 'day', 'information', 'work', 'year', 'course', 'life', 'school']
['end', 'work', 'way', 'system', 'case', 'place', 'house', 'group']
['house', 'course', 'information', 'year', 'life', 'party', 'work', 'system']
['school', 'information', 'place', 'course', 'way', 'company', 'day', 'man']
['school', 'man', 'case', 'party', 'life', 'end', 'way', 'day']
['place', 'work', 'house', 'case', 'world', 'part', 'company', 'government']
['party', 'school', 'year', 'day', 'man', 'way', 'life', 'group']
['case', 'life', 'group', 'day', 'world', 'way', 'place', 'party']
['system', 'life', 'world', 'man', 'work', 'part', 'end', 'case']
['company', 'case', 'system', 'end', 'way', 'world', 'part', 'fact']
['man', 'life', 'work', 'system', 'case', 'way', 'day', 'house']
['case', 'life', 'house', 'year', 'world', 'information', 'company', 'man']
['government', 'group', 'case', 'school', 'course', 'part', 'fact', 'end']
['company', 'end', 'day', 'government', 'information', 'work', 'place', 'system']
['fact', 'man', 'information', 'world', 'government', 'place', 'year', 'party']
['fact', 'system', 'company', 'part', 'world', 'case', 'government', 'way']
['course', 'life', 'end', 'house', 'school', 'day', 'government', 'year']
['man', 'work', 'end', 'year', 'case', 'world', 'government', 'group']
['information', 'house', 'company', 'part', 'life', 'place', 'system', 'man']
['work', 'case', 'group', 'world', 'man', 'information', 'party', 'house']
['case', 'system', 'world', 'life', 'information', 'part', 'man', 'course']
['group', 'end', 'day', 'life', 'world', 'work', 'school', 'part']
['system', 'way', 'world', 'information', 'end', 'year', 'part', 'government']
['party', 'group', 'life', 'world', 'way', 'work', 'part', 'system']
['year', 'fact', 'government', 'day', 'party', 'system', 'case', 'course']
['fact', 'case', 'work', 'end', 'information', 'world', 'day', 'year']
['part', 'year', 'work', 'house', 'party', 'end', 'life', 'group']
['end', 'world', 'year', 'fact', 'day', 'place', 'case', 'course']
['system', 'end', 'house', 'year', 'group', 'way', 'life', 'place']
['group', 'end', 'day', 'way', 'place', 'case', 'year', 'part']
['information', 'case', 'way', 'part', 'fact', 'course', 'group', 'day']
['information', 'world', 'system', 'government', 'party', 'school', 'work', 'house']
['system', 'man', 'group', 'party', 'course', 'house', 'place', 'company']
['life', 'day', 'house', 'part', 'way', 'party', 'world', 'government']
['year', 'house', 'way', 'group', 'information', 'case', 'life', 'day']
['life', 'system', 'man', 'government', 'place', 'world', 'end', 'school']
['part', 'world', 'group', 'day', 'company', 'school', 'end', 'information']
['life', 'system', 'work', 'case', 'end', 'group', 'day', 'company']
['end', 'place', 'system', 'way', 'school', 'fact', 'life', 'information']
['man', 'world', 'case', 'life', 'day', 'company', 'system', 'fact']
['world', 'company', 'man', 'party', 'place', 'day', 'life', 'work']
['case', 'system', 'information', 'place', 'end', 'day', 'man', 'course']
['way', 'system', 'school', 'part', 'house', 'work', 'group', 'place']
['party', 'life', 'part', 'place', 'system', 'government', 'information', 'house']
['house', 'place', 'course', 'way', 'world', 'information', 'group', 'part']
['end', 'company', 'part', 'man', 'fact', 'party', 'work', 'place']
['case', 'way', 'school', 'information', 'house', 'company', 'party', 'world']
['government', 'house', 'case', 'information', 'party', 'group', 'work', 'world']
['case', 'fact', 'way', 'school', 'company', 'end', 'party', 'part']
['part', 'end', 'course', 'system', 'company', 'information', 'way', 'place']
['information', 'year', 'course', 'world', 'man', 'group', 'place', 'school']
['house', 'year', 'information', 'day', 'government', 'fact', 'company', 'school']
['system', 'way', 'place', 'company', 'information', 'government', 'course', 'group']
['group', 'case', 'school', 'party', 'year', 'fact', 'day', 'information']
['end', 'house', 'life', 'world', 'work', 'information', 'system', 'course']
['part', 'place', 'government', 'group', 'fact', 'course', 'school', 'year']
['school', 'group', 'information', 'way', 'case', 'system', 'man', 'course']
['case', 'year', 'party', 'company', 'man', 'course', 'way', 'system']
['way', 'information', 'fact', 'world', 'life', 'course', 'man', 'school']
['case', 'year', 'company', 'house', 'part', 'school', 'system', 'world']
['company', 'system', 'information', 'work', 'place', 'fact', 'end', 'school']
['end', 'world', 'way', 'house', 'company', 'man', 'year', 'place']
['part', 'end', 'man', 'party', 'fact', 'place', 'school', 'group']
['party', 'end', 'school', 'company', 'day', 'part', 'case', 'fact']
['house', 'life', 'case', 'company', 'day', 'information', 'part', 'man']
['world', 'end', 'government', 'place', 'fact', 'school', 'information', 'company']
['year', 'man', 'way', 'school', 'work', 'group', 'course', 'government']
['company', 'party', 'year', 'system', 'man', 'end', 'place', 'life']
['fact', 'place', 'party', 'man', 'case', 'end', 'life', 'company']
['fact', 'way', 'year', 'man', 'system', 'life', 'end', 'day']
['course', 'man', 'day', 'case', 'company', 'work', 'year', 'government']
['place', 'work', 'course', 'system', 'school', 'party', 'man', 'group']
['day', 'year', 'system', 'house', 'information', 'world', 'life', 'part']
['group', 'school', 'work', 'man', 'life', 'place', 'world', 'party']
