['group', 'house', 'part']
['party', 'case', 'government']
['world', 'school', 'year']
['way', 'government', 'life']
['government', 'school', 'end']
['party', 'end', 'fact']
['house', 'case', 'party']
['system', 'school', 'fact']
['information', 'end', 'system']
['school', 'information', 'course']
['company', 'case', 'way']
['world', 'group', 'government']
['day', 'company', 'end']
['house', 'system', 'way']
['group', 'part', 'fact']
['fact', 'case', 'day']
['case', 'part', 'information']
['company', 'life', 'year']
['information', 'course', 'fact']
['work', 'company', 'way']
['world', 'group', 'end']
['life', 'way', 'school']
['school', 'party', 'year']
['work', 'life', 'way']
['fact', 'year', 'information']
['place', 'group', 'school']
['case', 'world', 'company']
['world', 'case', 'end']
['party', 'course', 'world']
['way', 'year', 'system']
['fact', 'world', 'day']
['man', 'work', 'year']
['part', 'group', 'case']
['fact', 'work', 'course']
['end', 'house', 'day']
['year', 'system', 'day']
['group', 'place', 'work']
['work', 'man', 'part']
['work', 'party', 'part']
['party', 'case', 'day']
['man', 'work', 'fact']
['course', 'end', 'group']
['government', 'end', 'man']
['life', 'government', 'day']
['work', 'part', 'man']
['course', 'house', 'part']
['house', 'group', 'information']
['man', 'system', 'day']
['fact', 'world', 'day']
['house', 'party', 'case']
['information', 'end', 'man']
['company', 'place', 'day']
['end', 'world', 'life']
['day', 'school', 'year']
['information', 'way', 'day']
['course', 'group', 'system']
['life', 'fact', 'year']
['fact', 'place', 'year']
['group', 'house', 'man']
['place', 'company', 'work']
['case', 'system', 'world']
['year', 'world', 'fact']
['place', 'group', 'life']
['way', 'company', 'end']
['case', 'man', 'part']
['work', 'house', 'way']
['man', 'world', 'year']
['school', 'way', 'work']
['group', 'part', 'case']
['life', 'party', 'company']
['world', 'way', 'end']
['fact', 'end', 'government']
['government', 'course', 'day']
['government', 'case', 'place']
['system', 'fact', 'day']
['government', 'end', 'man']
['work', 'party', 'year']
['place', 'work', 'fact']
['course', 'year', 'school']
['year', 'case', 'man']
['man', 'place', 'work']
['part', 'group', 'house']
['fact', 'company', 'group']
['place', 'government', 'school']
['world', 'place', 'information']
['party', 'man', 'part']
['case', 'house', 'party']
['end', 'world', 'information']
['work', 'fact', 'house']
['party', 'year', 'case']
['day', 'world', 'company']
['information', 'course', 'fact']
['house', 'day', 'system']
['group', 'work', 'life']
['school', 'work', 'course']
['way', 'company', 'course']
['information', 'part', 'government']
['government', 'life', 'year']
['way', 'government', 'life']
