['part', 'day', 'end']
['group', 'work', 'day']
['day', 'place', 'course']
['house', 'way', 'man']
['case', 'course', 'way']
['world', 'case', 'day']
['system', 'course', 'fact']
['house', 'information', 'course']
['man', 'end', 'way']
['company', 'work', 'information']
['world', 'place', 'man']
['government', 'company', 'life']
['part', 'party', 'school']
['school', 'year', 'fact']
['information', 'world', 'system']
['world', 'day', 'course']
['part', 'company', 'party']
['year', 'information', 'company']
['day', 'party', 'man']
['system', 'house', 'case']
['fact', 'company', 'end']
['case', 'day', 'man']
['fact', 'school', 'house']
['school', 'government', 'course']
['way', 'case', 'government']
['place', 'house', 'system']
['company', 'school', 'course']
['man', 'day', 'place']
['government', 'life', 'party']
['way', 'party', 'school']
['case', 'system', 'place']
['fact', 'system', 'case']
['fact', 'man', 'end']
['way', 'course', 'house']
['information', 'part', 'world']
['company', 'end', 'house']
['school', 'year', 'man']
['system', 'life', 'world']
['case', 'part', 'work']
['house', 'school', 'case']
['year', 'life', 'place']
['man', 'case', 'year']
['party', 'work', 'school']
['place', 'work', 'life']
['group', 'man', 'year']
['government', 'life', 'work']
['school', 'information', 'day']
['case', 'day', 'year']
['man', 'system', 'day']
['man', 'day', 'place']
['fact', 'information', 'part']
['fact', 'company', 'day']
['way', 'place', 'school']
['place', 'end', 'part']
['day', 'man', 'fact']
['party', 'school', 'group']
['company', 'part', 'government']
['system', 'course', 'way']
['company', 'day', 'system']
['company', 'part', 'party']
['house', 'school', 'government']
['school', 'case', 'house']
['day', 'group', 'life']
['place', 'case', 'course']
['party', 'year', 'group']
['group', 'fact', 'man']
['party', 'company', 'group']
['man', 'group', 'case']
['end', 'way', 'group']
['case', 'house', 'place']
['life', 'way', 'place']
['life', 'company', 'world']
['fact', 'party', 'system']
['end', 'year', 'work']
['course', 'fact', 'year']
['day', 'company', 'course']
['life', 'part', 'way']
['world', 'work', 'school']
['group', 'work', 'man']
['world', 'year', 'place']
['party', 'school', 'course']
['place', 'information', 'work']
['house', 'man', 'work']
['government', 'party', 'group']
['man', 'house', 'place']
['fact', 'company', 'life']
['fact', 'course', 'world']
['government', 'year', 'company']
['house', 'company', 'end']
['man', 'year', 'place']
['part', 'school', 'case']
['house', 'company', 'world']
['group', 'way', 'system']
['year', 'party', 'information']
['case', 'company', 'part']
['work', 'place', 'house']
['information', 'part', 'way']
['way', 'day', 'government']
['information', 'system', 'end']
