['day', 'course', 'house']
['life', 'course', 'way']
['end', 'fact', 'system']
['part', 'place', 'course']
['world', 'information', 'group']
['man', 'system', 'party']
['work', 'life', 'year']
['year', 'end', 'party']
['group', 'company', 'man']
['work', 'life', 'fact']
['government', 'company', 'information']
['course', 'case', 'way']
['work', 'day', 'company']
['man', 'school', 'life']
['company', 'work', 'course']
['government', 'end', 'group']
['fact', 'way', 'end']
['life', 'company', 'government']
['case', 'part', 'life']
['end', 'part', 'world']
['government', 'company', 'house']
['part', 'life', 'place']
['party', 'fact', 'year']
['group', 'day', 'end']
['course', 'school', 'company']
['man', 'place', 'day']
['way', 'year', 'system']
['part', 'way', 'house']
['party', 'government', 'way']
['house', 'world', 'end']
['party', 'world', 'house']
['case', 'course', 'party']
['company', 'way', 'day']
['fact', 'company', 'world']
['system', 'end', 'world']
['place', 'year', 'company']
['end', 'group', 'case']
['year', 'information', 'day']
['school', 'house', 'way']
['house', 'company', 'way']
['world', 'place', 'way']
['group', 'work', 'school']
['part', 'day', 'way']
['school', 'world', 'year']
['house', 'man', 'year']
['man', 'life', 'government']
['place', 'work', 'government']
['company', 'man', 'way']
['end', 'way', 'world']
['case', 'year', 'place']
['school', 'government', 'world']
['day', 'case', 'school']
['information', 'work', 'end']
['place', 'life', 'party']
['company', 'life', 'work']
['case', 'day', 'party']
['life', 'case', 'man']
['life', 'part', 'case']
['house', 'course', 'part']
['end', 'government', 'school']
['company', 'part', 'system']
['way', 'case', 'fact']
['part', 'life', 'world']
['fact', 'way', 'life']
['day', 'party', 'course']
['way', 'world', 'information']
['party', 'school', 'information']
['company', 'place', 'information']
['year', 'system', 'fact']
['course', 'information', 'work']
['company', 'fact', 'case']
['place', 'company', 'house']
['house', 'place', 'work']
['party', 'company', 'system']
['place', 'course', 'world']
['fact', 'government', 'system']
['year', 'work', 'world']
['day', 'man', 'case']
['part', 'end', 'work']
['year', 'part', 'end']
['case', 'group', 'place']
['government', 'part', 'way']
['government', 'case', 'party']
['year', 'way', 'man']
['end', 'party', 'house']
['system', 'way', 'government']
['system', 'company', 'work']
['information', 'work', 'man']
['day', 'way', 'fact']
['work', 'school', 'world']
['company', 'life', 'fact']
['end', 'school', 'year']
['school', 'house', 'government']
['way', 'end', 'group']
['case', 'fact', 'year']
['day', 'party', 'company']
['course', 'work', 'life']
['school', 'place', 'fact']
['day', 'world', 'course']
