['world', 'life', 'day', 'man', 'year']
['place', 'world', 'school', 'end', 'man']
['course', 'fact', 'work', 'house', 'company']
['year', 'day', 'school', 'group', 'course']
['life', 'party', 'place', 'way', 'school']
['party', 'work', 'case', 'year', 'place']
['fact', 'government', 'school', 'group', 'life']
['school', 'party', 'day', 'part', 'course']
['way', 'group', 'end', 'government', 'school']
['government', 'company', 'part', 'school', 'life']
['company', 'world', 'fact', 'day', 'party']
['fact', 'man', 'part', 'life', 'way']
['fact', 'company', 'school', 'government', 'part']
['system', 'group', 'way', 'company', 'government']
['information', 'house', 'part', 'work', 'school']
['information', 'man', 'school', 'way', 'day']
['school', 'year', 'house', 'end', 'way']
['information', 'way', 'end', 'school', 'government']
['system', 'place', 'part', 'group', 'fact']
['system', 'course', 'year', 'government', 'part']
['life', 'information', 'way', 'man', 'company']
['man', 'course', 'house', 'end', 'year']
['part', 'system', 'man', 'way', 'life']
['house', 'information', 'school', 'system', 'party']
['work', 'party', 'system', 'man', 'company']
['government', 'day', 'work', 'fact', 'course']
['system', 'work', 'government', 'group', 'place']
['system', 'school', 'end', 'place', 'fact']
['work', 'house', 'party', 'government', 'school']
['house', 'course', 'school', 'work', 'part']
['man', 'party', 'system', 'company', 'day']
['way', 'government', 'world', 'end', 'case']
['end', 'case', 'government', 'group', 'system']
['part', 'life', 'house', 'information', 'party']
['end', 'world', 'course', 'place', 'government']
['life', 'school', 'information', 'part', 'end']
['end', 'company', 'day', 'government', 'part']
['system', 'man', 'day', 'fact', 'way']
['group', 'course', 'case', 'party', 'way']
['system', 'company', 'man', 'government', 'house']
['information', 'government', 'course', 'party', 'company']
['party', 'system', 'company', 'man', 'day']
['part', 'place', 'house', 'work', 'day']
['fact', 'world', 'course', 'system', 'end']
['school', 'place', 'house', 'system', 'part']
['world', 'party', 'day', 'company', 'government']
['work', 'information', 'house', 'place', 'government']
['man', 'company', 'life', 'course', 'way']
['end', 'year', 'company', 'world', 'case']
['year', 'day', 'house', 'life', 'part']
['life', 'case', 'group', 'school', 'company']
['system', 'course', 'part', 'man', 'world']
['end', 'life', 'man', 'case', 'work']
['work', 'part', 'group', 'place', 'man']
['course', 'party', 'man', 'world', 'group']
['part', 'course', 'government', 'company', 'school']
['year', 'world', 'place', 'party', 'life']
['end', 'life', 'system', 'place', 'information']
['end', 'information', 'system', 'man', 'company']
['system', 'world', 'fact', 'end', 'information']
['day', 'course', 'part', 'house', 'way']
['company', 'school', 'information', 'place', 'day']
['party', 'man', 'case', 'year', 'information']
['way', 'year', 'house', 'system', 'group']
['government', 'house', 'case', 'world', 'part']
['way', 'system', 'man', 'life', 'world']
['place', 'fact', 'government', 'life', 'system']
['company', 'year', 'life', 'government', 'part']
['company', 'end', 'way', 'part', 'information']
['fact', 'year', 'company', 'party', 'case']
['year', 'company', 'information', 'place', 'end']
['year', 'end', 'party', 'system', 'fact']
['group', 'house', 'year', 'end', 'place']
['man', 'information', 'world', 'course', 'group']
['end', 'school', 'man', 'government', 'case']
['course', 'part', 'government', 'man', 'way']
['year', 'man', 'way', 'system', 'school']
['group', 'party', 'end', 'fact', 'world']
['way', 'day', 'system', 'life', 'information']
['work', 'information', 'way', 'group', 'day']
['party', 'way', 'place', 'end', 'course']
['day', 'place', 'group', 'year', 'school']
['end', 'information', 'work', 'party', 'case']
['way', 'system', 'day', 'fact', 'end']
['school', 'life', 'day', 'party', 'case']
['group', 'course', 'system', 'man', 'fact']
['house', 'world', 'company', 'life', 'information']
['day', 'system', 'place', 'house', 'part']
['life', 'system', 'day', 'government', 'school']
['information', 'part', 'place', 'party', 'government']
['way', 'man', 'case', 'life', 'end']
['case', 'year', 'place', 'part', 'government']
['information', 'way', 'life', 'house', 'government']
['course', 'life', 'information', 'fact', 'way']
['year', 'case', 'world', 'house', 'group']
['system', 'school', 'group', 'way', 'government']
['way', 'fact', 'world', 'group', 'year']
['man', 'government', 'way', 'fact', 'part']
['end', 'case', 'course', 'group', 'man']
