['group', 'end', 'place', 'part', 'case']
['group', 'house', 'course', 'school', 'fact']
['group', 'case', 'course', 'government', 'house']
['company', 'system', 'fact', 'life', 'year']
['place', 'house', 'company', 'group', 'fact']
['fact', 'school', 'government', 'way', 'place']
['house', 'fact', 'place', 'life', 'case']
['government', 'life', 'day', 'group', 'system']
['house', 'work', 'day', 'world', 'course']
['information', 'year', 'world', 'company', 'way']
['school', 'work', 'course', 'fact', 'world']
['life', 'fact', 'system', 'house', 'way']
['house', 'information', 'group', 'world', 'end']
['life', 'government', 'case', 'part', 'work']
['day', 'part', 'course', 'company', 'government']
['part', 'year', 'world', 'man', 'school']
['life', 'place', 'fact', 'year', 'group']
['course', 'end', 'part', 'year', 'life']
['course', 'party', 'world', 'information', 'life']
['year', 'end', 'course', 'fact', 'information']
['man', 'day', 'world', 'end', 'group']
['world', 'life', 'year', 'end', 'day']
['information', 'group', 'year', 'party', 'school']
['man', 'government', 'end', 'part', 'fact']
['system', 'place', 'life', 'world', 'group']
['company', 'group', 'life', 'house', 'case']
['part', 'year', 'place', 'world', 'government']
['information', 'year', 'work', 'group', 'school']
['group', 'life', 'party', 'fact', 'company']
['man', 'group', 'world', 'information', 'part']
['part', 'way', 'company', 'house', 'year']
['world', 'course', 'government', 'school', 'day']
['end', 'company', 'government', 'party', 'work']
['course', 'house', 'information', 'man', 'system']
['man', 'fact', 'group', 'work', 'place']
['house', 'information', 'work', 'school', 'case']
['course', 'group', 'life', 'school', 'day']
['group', 'system', 'party', 'day', 'world']
['system', 'end', 'man', 'school', 'government']
['day', 'way', 'world', 'work', 'part']
['information', 'course', 'company', 'life', 'end']
['course', 'day', 'way', 'world', 'case']
['part', 'year', 'fact', 'way', 'work']
['school', 'group', 'year', 'end', 'life']
['year', 'way', 'government', 'part', 'fact']
['day', 'course', 'part', 'government', 'man']
['government', 'party', 'house', 'man', 'system']
['year', 'way', 'course', 'company', 'group']
['end', 'way', 'world', 'system', 'day']
['place', 'world', 'group', 'way', 'day']
['world', 'house', 'company', 'day', 'course']
['course', 'way', 'system', 'man', 'world']
['place', 'system', 'year', 'group', 'company']
['government', 'system', 'course', 'world', 'end']
['fact', 'man', 'day', 'government', 'year']
['system', 'information', 'group', 'company', 'place']
['year', 'course', 'fact', 'government', 'company']
['group', 'part', 'year', 'world', 'man']
['government', 'house', 'case', 'school', 'fact']
['company', 'man', 'group', 'life', 'system']
['end', 'group', 'government', 'world', 'way']
['man', 'day', 'year', 'system', 'work']
['party', 'course', 'case', 'government', 'part']
['world', 'year', 'system', 'school', 'part']
['life', 'company', 'house', 'fact', 'government']
['school', 'information', 'work', 'system', 'group']
['work', 'party', 'company', 'fact', 'case']
['way', 'day', 'fact', 'part', 'life']
['day', 'group', 'system', 'case', 'school']
['fact', 'life', 'way', 'group', 'house']
['life', 'work', 'party', 'system', 'fact']
['company', 'group', 'school', 'house', 'year']
['case', 'life', 'work', 'course', 'information']
['work', 'government', 'place', 'case', 'party']
['man', 'world', 'government', 'course', 'system']
['end', 'way', 'case', 'information', 'group']
['work', 'life', 'year', 'company', 'information']
['party', 'place', 'school', 'way', 'government']
['government', 'party', 'life', 'day', 'information']
['year', 'way', 'day', 'company', 'information']
['fact', 'party', 'information', 'group', 'system']
['group', 'case', 'house', 'system', 'life']
['place', 'year', 'end', 'system', 'company']
['fact', 'part', 'company', 'information', 'world']
['year', 'end', 'government', 'party', 'way']
['school', 'life', 'course', 'party', 'company']
['course', 'year', 'work', 'world', 'day']
['group', 'year', 'man', 'house', 'school']
['company', 'end', 'house', 'government', 'school']
['school', 'place', 'party', 'course', 'part']
['place', 'part', 'man', 'course', 'fact']
['place', 'world', 'system', 'year', 'school']
['year', 'place', 'way', 'part', 'day']
['place', 'group', 'work', 'company', 'information']
['company', 'system', 'house', 'school', 'life']
['life', 'man', 'party', 'company', 'system']
['day', 'end', 'case', 'party', 'course']
['place', 'life', 'party', 'fact', 'house']
['house', 'life', 'course', 'place', 'work']
