['information', 'case', 'way', 'school', 'party']
['company', 'fact', 'work', 'day', 'information']
['way', 'day', 'system', 'group', 'part']
['system', 'day', 'end', 'group', 'part']
['place', 'day', 'government', 'system', 'case']
['case', 'group', 'work', 'school', 'fact']
['life', 'government', 'man', 'work', 'place']
['company', 'group', 'work', 'government', 'course']
['house', 'party', 'system', 'part', 'course']
['place', 'company', 'work', 'party', 'case']
['group', 'part', 'life', 'course', 'company']
['life', 'school', 'place', 'man', 'government']
['fact', 'life', 'government', 'year', 'world']
['group', 'company', 'life', 'government', 'course']
['part', 'man', 'case', 'party', 'school']
['course', 'government', 'company', 'party', 'system']
['life', 'house', 'party', 'world', 'part']
['year', 'day', 'system', 'fact', 'group']
['system', 'party', 'day', 'end', 'man']
['party', 'government', 'school', 'course', 'way']
['world', 'man', 'way', 'work', 'life']
['group', 'life', 'place', 'case', 'fact']
['day', 'party', 'system', 'group', 'case']
['company', 'course', 'system', 'end', 'man']
['year', 'end', 'life', 'information', 'world']
['government', 'house', 'day', 'company', 'school']
['year', 'case', 'world', 'part', 'work']
['party', 'group', 'end', 'day', 'life']
['course', 'day', 'year', 'place', 'work']
['end', 'government', 'life', 'year', 'case']
['year', 'man', 'case', 'group', 'world']
['group', 'man', 'place', 'work', 'company']
['school', 'house', 'place', 'work', 'company']
['company', 'fact', 'group', 'work', 'world']
['day', 'year', 'house', 'course', 'fact']
['part', 'way', 'world', 'course', 'case']
['place', 'party', 'life', 'day', 'school']
['case', 'fact', 'part', 'system', 'place']
['group', 'world', 'school', 'work', 'day']
['way', 'information', 'place', 'company', 'fact']
['man', 'company', 'case', 'end', 'system']
['place', 'system', 'company', 'world', 'year']
['information', 'house', 'company', 'work', 'party']
['course', 'case', 'world', 'system', 'house']
['system', 'house', 'party', 'case', 'place']
['work', 'government', 'course', 'system', 'house']
['government', 'place', 'way', 'course', 'system']
['fact', 'course', 'information', 'place', 'end']
['group', 'work', 'end', 'system', 'information']
['life', 'company', 'party', 'end', 'group']
['part', 'fact', 'end', 'case', 'way']
['case', 'system', 'school', 'place', 'way']
['house', 'government', 'life', 'system', 'work']
['house', 'man', 'party', 'company', 'year']
['day', 'life', 'place', 'work', 'case']
['life', 'year', 'government', 'end', 'fact']
['part', 'way', 'school', 'end', 'fact']
['work', 'course', 'end', 'year', 'fact']
['company', 'part', 'day', 'man', 'life']
['work', 'case', 'world', 'course', 'house']
['house', 'place', 'system', 'part', 'case']
['school', 'information', 'party', 'government', 'day']
['fact', 'party', 'place', 'school', 'house']
['system', 'information', 'party', 'man', 'year']
['information', 'place', 'day', 'house', 'work']
['life', 'work', 'fact', 'information', 'year']
['house', 'information', 'part', 'fact', 'party']
['man', 'house', 'life', 'world', 'case']
['group', 'life', 'work', 'company', 'end']
['year', 'case', 'party', 'place', 'school']
['end', 'man', 'company', 'life', 'group']
['house', 'life', 'course', 'case', 'group']
['case', 'party', 'end', 'world', 'group']
['information', 'man', 'school', 'part', 'group']
['place', 'fact', 'world', 'house', 'work']
['part', 'government', 'party', 'course', 'world']
['course', 'system', 'government', 'work', 'information']
['part', 'day', 'world', 'end', 'system']
['fact', 'part', 'way', 'course', 'government']
['part', 'work', 'case', 'group', 'fact']
['company', 'part', 'end', 'way', 'year']
['house', 'fact', 'life', 'course', 'world']
['company', 'party', 'fact', 'school', 'work']
['case', 'company', 'day', 'house', 'end']
['day', 'year', 'case', 'school', 'man']
['party', 'information', 'company', 'school', 'way']
['place', 'man', 'party', 'end', 'fact']
['end', 'life', 'party', 'group', 'way']
['end', 'day', 'party', 'fact', 'way']
['man', 'school', 'group', 'government', 'course']
['man', 'life', 'house', 'fact', 'group']
['year', 'man', 'life', 'work', 'case']
['house', 'government', 'world', 'group', 'way']
['company', 'man', 'group', 'way', 'year']
['case', 'year', 'day', 'life', 'man']
['year', 'way', 'school', 'information', 'day']
['day', 'house', 'party', 'year', 'work']
['life', 'system', 'man', 'information', 'work']
['world', 'part', 'year', 'information', 'man']
