['fact', 'case', 'life', 'group', 'place']
['day', 'world', 'party', 'work', 'fact']
['case', 'man', 'party', 'government', 'school']
['end', 'part', 'work', 'day', 'way']
['case', 'life', 'group', 'school', 'house']
['part', 'life', 'party', 'case', 'world']
['company', 'school', 'information', 'part', 'day']
['man', 'school', 'fact', 'world', 'life']
['party', 'case', 'school', 'life', 'group']
['man', 'part', 'end', 'company', 'work']
['party', 'government', 'course', 'end', 'way']
['company', 'course', 'system', 'part', 'way']
['work', 'fact', 'government', 'part', 'company']
['place', 'world', 'end', 'school', 'group']
['day', 'world', 'company', 'case', 'system']
['group', 'information', 'work', 'place', 'system']
['house', 'end', 'year', 'information', 'party']
['school', 'work', 'course', 'man', 'system']
['school', 'man', 'government', 'world', 'life']
['case', 'government', 'fact', 'end', 'year']
['place', 'work', 'information', 'part', 'house']
['end', 'government', 'school', 'company', 'information']
['information', 'government', 'day', 'school', 'party']
['case', 'life', 'house', 'school', 'part']
['system', 'end', 'part', 'place', 'work']
['day', 'life', 'company', 'school', 'system']
['world', 'day', 'party', 'life', 'man']
['company', 'group', 'world', 'life', 'information']
['part', 'school', 'life', 'case', 'system']
['year', 'house', 'world', 'way', 'life']
['world', 'day', 'group', 'course', 'government']
['company', 'world', 'part', 'course', 'house']
['house', 'man', 'part', 'world', 'government']
['day', 'part', 'year', 'man', 'government']
['school', 'information', 'government', 'course', 'work']
['information', 'day', 'party', 'fact', 'way']
['house', 'party', 'part', 'government', 'end']
['information', 'company', 'world', 'case', 'work']
['place', 'life', 'work', 'information', 'company']
['day', 'case', 'life', 'fact', 'group']
['house', 'group', 'way', 'school', 'work']
['group', 'day', 'man', 'world', 'place']
['course', 'government', 'way', 'system', 'school']
['work', 'group', 'school', 'party', 'place']
['house', 'day', 'way', 'party', 'part']
['year', 'system', 'day', 'company', 'life']
['way', 'part', 'life', 'fact', 'day']
['course', 'way', 'school', 'work', 'fact']
['school', 'work', 'system', 'world', 'party']
['company', 'house', 'way', 'work', 'part']
['man', 'place', 'system', 'case', 'government']
['party', 'case', 'work', 'group', 'course']
['government', 'life', 'system', 'world', 'case']
['system', 'information', 'fact', 'part', 'man']
['end', 'fact', 'day', 'party', 'work']
['life', 'company', 'party', 'man', 'group']
['case', 'day', 'system', 'place', 'government']
['life', 'case', 'group', 'fact', 'company']
['party', 'house', 'world', 'day', 'year']
['work', 'company', 'place', 'life', 'group']
['school', 'way', 'fact', 'life', 'place']
['group', 'company', 'information', 'fact', 'course']
['end', 'system', 'work', 'school', 'case']
['part', 'place', 'way', 'party', 'work']
['year', 'part', 'house', 'man', 'day']
['day', 'life', 'information', 'man', 'world']
['company', 'school', 'fact', 'government', 'life']
['school', 'government', 'part', 'year', 'party']
['school', 'company', 'day', 'place', 'house']
['fact', 'world', 'school', 'group', 'government']
['work', 'way', 'world', 'party', 'day']
['government', 'world', 'party', 'information', 'work']
['system', 'year', 'man', 'party', 'group']
['day', 'way', 'house', 'world', 'fact']
['work', 'way', 'group', 'life', 'fact']
['work', 'party', 'course', 'man', 'government']
['course', 'end', 'day', 'place', 'fact']
['information', 'end', 'case', 'year', 'world']
['government', 'group', 'system', 'part', 'school']
['year', 'man', 'information', 'case', 'day']
['year', 'part', 'work', 'fact', 'group']
['school', 'world', 'party', 'case', 'man']
['year', 'case', 'house', 'fact', 'part']
['information', 'fact', 'life', 'government', 'man']
['information', 'course', 'man', 'part', 'year']
['party', 'day', 'course', 'information', 'life']
['company', 'fact', 'course', 'work', 'information']
['course', 'information', 'government', 'case', 'world']
['case', 'fact', 'place', 'party', 'end']
['work', 'system', 'house', 'life', 'man']
['life', 'world', 'information', 'end', 'way']
['system', 'school', 'part', 'government', 'life']
['part', 'end', 'man', 'case', 'party']
['school', 'work', 'case', 'part', 'group']
['group', 'life', 'fact', 'world', 'part']
['group', 'year', 'work', 'day', 'system']
['government', 'party', 'course', 'man', 'place']
['information', 'fact', 'life', 'group', 'system']
['government', 'place', 'house', 'course', 'school']
