['system', 'government', 'place', 'group', 'day', 'party', 'school', 'house']
['house', 'year', 'life', 'man', 'government', 'group', 'system', 'case']
['house', 'part', 'company', 'end', 'work', 'government', 'life', 'world']
['company', 'end', 'course', 'man', 'world', 'way', 'year', 'group']
['group', 'man', 'year', 'information', 'company', 'party', 'life', 'system']
['life', 'end', 'group', 'place', 'information', 'fact', 'company', 'work']
['group', 'party', 'year', 'case', 'place', 'fact', 'world', 'day']
['information', 'work', 'life', 'day', 'part', 'way', 'party', 'system']
['way', 'place', 'party', 'world', 'day', 'government', 'year', 'course']
['course', 'school', 'day', 'man', 'way', 'group', 'place', 'year']
['year', 'work', 'group', 'way', 'day', 'information', 'party', 'world']
['party', 'year', 'end', 'company', 'place', 'world', 'house', 'system']
['fact', 'work', 'man', 'way', 'case', 'world', 'company', 'place']
['party', 'place', 'fact', 'man', 'system', 'group', 'day', 'school']
['man', 'group', 'information', 'way', 'house', 'part', 'case', 'end']
['party', 'fact', 'year', 'house', 'life', 'course', 'school', 'work']
['school', 'way', 'place', 'company', 'government', 'case', 'work', 'world']
['end', 'case', 'work', 'year', 'way', 'fact', 'group', 'information']
['place', 'day', 'man', 'party', 'company', 'work', 'year', 'fact']
['information', 'part', 'government', 'case', 'man', 'house', 'course', 'year']
['company', 'information', 'end', 'year', 'way', 'life', 'place', 'part']
['life', 'government', 'house', 'case', 'work', 'end', 'system', 'world']
['place', 'day', 'house', 'part', 'world', 'system', 'year', 'life']
['world', 'house', 'government', 'case', 'day', 'life', 'party', 'man']
['world', 'place', 'group', 'end', 'man', 'way', 'government', 'day']
['system', 'information', 'government', 'work', 'man', 'case', 'group', 'life']
['party', 'school', 'end', 'government', 'way', 'year', 'house', 'case']
['group', 'work', 'company', 'case', 'year', 'party', 'life', 'fact']
['way', 'life', 'information', 'fact', 'place', 'world', 'system', 'company']
['end', 'part', 'year', 'course', 'fact', 'system', 'man', 'group']
['place', 'group', 'government', 'company', 'school', 'end', 'course', 'work']
['party', 'year', 'house', 'day', 'course', 'way', 'end', 'company']
['fact', 'information', 'course', 'life', 'man', 'end', 'system', 'year']
['work', 'party', 'day', 'government', 'life', 'company', 'information', 'place']
['end', 'group', 'place', 'way', 'company', 'case', 'system', 'year']
['group', 'year', 'place', 'system', 'end', 'house', 'part', 'fact']
['end', 'system', 'course', 'house', 'company', 'case', 'fact', 'government']
['part', 'man', 'party', 'group', 'government', 'place', 'year', 'house']
['house', 'way', 'place', 'end', 'course', 'life', 'world', 'information']
['system', 'work', 'course', 'world', 'information', 'government', 'year', 'way']
['work', 'part', 'house', 'information', 'year', 'school', 'case', 'end']
['information', 'system', 'end', 'course', 'life', 'party', 'case', 'school']
['part', 'course', 'party', 'life', 'end', 'world', 'information', 'government']
['work', 'man', 'government', 'fact', 'place', 'part', 'way', 'end']
['year', 'government', 'case', 'man', 'part', 'end', 'world', 'group']
['fact', 'information', 'world', 'group', 'day', 'company', 'man', 'party']
['company', 'year', 'man', 'school', 'system', 'world', 'information', 'day']
['government', 'work', 'year', 'life', 'system', 'part', 'party', 'man']
['information', 'end', 'case', 'school', 'way', 'part', 'party', 'world']
['information', 'case', 'house', 'world', 'work', 'place', 'day', 'fact']
['information', 'fact', 'school', 'system', 'way', 'world', 'end', 'place']
['group', 'life', 'part', 'place', 'government', 'house', 'information', 'day']
['house', 'course', 'company', 'group', 'world', 'man', 'case', 'place']
['course', 'end', 'information', 'year', 'world', 'school', 'company', 'system']
['work', 'end', 'system', 'man', 'company', 'party', 'group', 'life']
['fact', 'man', 'work', 'part', 'place', 'world', 'government', 'way']
['work', 'government', 'system', 'group', 'party', 'case', 'life', 'day']
['end', 'part', 'place', 'work', 'system', 'course', 'government', 'year']
['place', 'day', 'fact', 'case', 'system', 'group', 'course', 'man']
['system', 'information', 'fact', 'year', 'life', 'part', 'way', 'company']
['course', 'fact', 'place', 'house', 'man', 'group', 'government', 'world']
['group', 'course', 'life', 'case', 'man', 'year', 'way', 'party']
['school', 'day', 'work', 'company', 'party', 'place', 'end', 'man']
['man', 'information', 'way', 'end', 'year', 'world', 'party', 'case']
['course', 'fact', 'part', 'government', 'man', 'end', 'group', 'case']
