['way', 'party', 'government', 'course', 'life', 'school', 'group', 'information']
['house', 'part', 'school', 'place', 'case', 'year', 'system', 'end']
['party', 'place', 'end', 'life', 'work', 'house', 'school', 'information']
['fact', 'case', 'place', 'information', 'house', 'work', 'government', 'way']
['work', 'world', 'government', 'company', 'house', 'year', 'life', 'way']
['way', 'house', 'school', 'work', 'world', 'place', 'year', 'day']
['year', 'place', 'house', 'way', 'party', 'day', 'end', 'government']
['end', 'life', 'work', 'day', 'year', 'fact', 'party', 'house']
['school', 'course', 'information', 'man', 'end', 'fact', 'day', 'place']
['party', 'life', 'man', 'year', 'fact', 'case', 'place', 'house']
['company', 'life', 'school', 'day', 'part', 'way', 'system', 'year']
['school', 'work', 'party', 'company', 'end', 'house', 'group', 'course']
['case', 'information', 'work', 'party', 'group', 'part', 'system', 'way']
['fact', 'man', 'group', 'house', 'year', 'system', 'government', 'part']
['work', 'house', 'group', 'case', 'company', 'information', 'world', 'man']
['way', 'man', 'house', 'life', 'part', 'end', 'system', 'government']
['party', 'government', 'group', 'work', 'course', 'information', 'school', 'way']
['life', 'year', 'place', 'party', 'part', 'work', 'group', 'system']
['system', 'case', 'house', 'life', 'group', 'information', 'year', 'government']
['part', 'end', 'man', 'course', 'life', 'fact', 'group', 'way']
['place', 'end', 'group', 'system', 'world', 'case', 'life', 'government']
['end', 'year', 'party', 'company', 'school', 'way', 'part', 'house']
['fact', 'information', 'group', 'part', 'life', 'house', 'case', 'day']
['party', 'case', 'way', 'place', 'day', 'course', 'world', 'information']
['information', 'company', 'government', 'house', 'life', 'end', 'year', 'day']
['place', 'end', 'part', 'way', 'party', 'school', 'work', 'case']
['fact', 'part', 'house', 'life', 'way', 'group', 'world', 'work']
['school', 'world', 'case', 'fact', 'house', 'end', 'party', 'company']
['government', 'man', 'house', 'part', 'place', 'group', 'party', 'information']
['man', 'year', 'party', 'work', 'group', 'information', 'way', 'case']
['life', 'party', 'company', 'place', 'information', 'school', 'work', 'case']
['year', 'house', 'place', 'part', 'group', 'company', 'day', 'information']
['year', 'government', 'part', 'work', 'party', 'world', 'course', 'fact']
['fact', 'place', 'party', 'life', 'company', 'course', 'group', 'system']
['group', 'end', 'part', 'man', 'government', 'way', 'fact', 'place']
['party', 'part', 'government', 'fact', 'house', 'system', 'company', 'group']
['school', 'world', 'government', 'man', 'way', 'case', 'part', 'fact']
['place', 'system', 'party', 'course', 'fact', 'information', 'school', 'world']
['day', 'work', 'fact', 'life', 'way', 'world', 'government', 'information']
['company', 'information', 'school', 'government', 'part', 'man', 'day', 'world']
['party', 'day', 'government', 'work', 'company', 'end', 'place', 'life']
['life', 'case', 'school', 'work', 'information', 'place', 'way', 'government']
['party', 'world', 'course', 'system', 'house', 'way', 'part', 'information']
['fact', 'day', 'year', 'man', 'place', 'way', 'world', 'work']
['part', 'information', 'group', 'place', 'house', 'work', 'school', 'world']
['man', 'party', 'work', 'world', 'case', 'part', 'system', 'company']
['course', 'group', 'year', 'system', 'school', 'end', 'case', 'information']
['man', 'group', 'information', 'system', 'school', 'year', 'end', 'way']
['man', 'end', 'government', 'information', 'year', 'school', 'place', 'course']
['company', 'part', 'information', 'place', 'party', 'end', 'world', 'fact']
['man', 'end', 'school', 'world', 'government', 'case', 'life', 'work']
['government', 'information', 'party', 'work', 'end', 'place', 'course', 'way']
['way', 'man', 'part', 'world', 'company', 'group', 'party', 'school']
['house', 'system', 'work', 'man', 'place', 'government', 'group', 'case']
['fact', 'end', 'work', 'part', 'information', 'party', 'company', 'course']
