['man', 'party', 'life', 'company', 'work', 'place', 'group', 'fact']
['company', 'work', 'day', 'course', 'world', 'house', 'party', 'fact']
['system', 'end', 'year', 'way', 'work', 'fact', 'information', 'world']
['man', 'year', 'life', 'group', 'company', 'school', 'world', 'system']
['part', 'man', 'group', 'house', 'case', 'place', 'day', 'company']
['school', 'information', 'end', 'part', 'party', 'course', 'company', 'world']
['company', 'life', 'work', 'world', 'course', 'way', 'information', 'government']
['year', 'house', 'system', 'information', 'work', 'party', 'life', 'man']
['house', 'end', 'information', 'world', 'part', 'place', 'life', 'course']
['party', 'man', 'school', 'end', 'life', 'world', 'part', 'work']
['place', 'part', 'government', 'system', 'life', 'group', 'day', 'house']
['life', 'way', 'group', 'party', 'school', 'end', 'case', 'part']
['case', 'house', 'way', 'year', 'life', 'course', 'day', 'school']
['part', 'school', 'place', 'world', 'group', 'government', 'party', 'system']
['life', 'fact', 'case', 'place', 'company', 'day', 'way', 'part']
['man', 'group', 'house', 'day', 'school', 'company', 'place', 'life']
['company', 'life', 'way', 'party', 'world', 'part', 'government', 'house']
['party', 'man', 'course', 'day', 'fact', 'information', 'case', 'company']
['information', 'place', 'fact', 'house', 'world', 'way', 'party', 'part']
['house', 'work', 'life', 'place', 'system', 'course', 'group', 'end']
['end', 'place', 'part', 'house', 'party', 'school', 'year', 'information']
['day', 'system', 'man', 'case', 'party', 'government', 'place', 'end']
['party', 'work', 'world', 'life', 'fact', 'day', 'man', 'way']
['work', 'party', 'case', 'end', 'company', 'day', 'course', 'place']
['group', 'company', 'place', 'part', 'day', 'work', 'life', 'course']
['government', 'information', 'party', 'case', 'school', 'group', 'part', 'house']
['part', 'system', 'information', 'day', 'case', 'end', 'world', 'government']
['work', 'party', 'course', 'place', 'part', 'system', 'company', 'case']
['way', 'house', 'school', 'fact', 'company', 'party', 'government', 'case']
['work', 'government', 'place', 'day', 'end', 'school', 'year', 'part']
['work', 'house', 'information', 'school', 'place', 'party', 'life', 'man']
['life', 'course', 'fact', 'company', 'government', 'man', 'information', 'place']
['world', 'case', 'part', 'life', 'information', 'group', 'system', 'way']
['man', 'house', 'school', 'day', 'part', 'life', 'world', 'end']
['course', 'life', 'house', 'case', 'fact', 'system', 'place', 'year']
['fact', 'part', 'man', 'work', 'house', 'end', 'world', 'group']
['government', 'life', 'end', 'house', 'system', 'world', 'company', 'work']
['end', 'case', 'house', 'group', 'course', 'life', 'way', 'work']
['way', 'party', 'group', 'day', 'company', 'case', 'fact', 'information']
['way', 'course', 'party', 'work', 'place', 'fact', 'case', 'information']
['information', 'case', 'end', 'year', 'day', 'government', 'party', 'company']
['place', 'year', 'information', 'fact', 'school', 'way', 'part', 'company']
['man', 'work', 'house', 'life', 'company', 'course', 'government', 'information']
['school', 'world', 'party', 'course', 'life', 'work', 'system', 'group']
['group', 'end', 'party', 'life', 'house', 'work', 'year', 'man']
['company', 'man', 'fact', 'day', 'case', 'end', 'course', 'life']
['party', 'man', 'day', 'place', 'world', 'fact', 'group', 'system']
['house', 'company', 'system', 'fact', 'world', 'party', 'man', 'way']
['day', 'way', 'course', 'government', 'fact', 'part', 'party', 'group']
['end', 'party', 'world', 'day', 'house', 'year', 'fact', 'life']
['system', 'world', 'place', 'part', 'company', 'way', 'day', 'work']
