['place', 'case', 'information', 'part']
['year', 'party', 'course', 'group']
['course', 'fact', 'group', 'house']
['company', 'part', 'man', 'school']
['way', 'house', 'place', 'work']
['way', 'man', 'system', 'end']
['school', 'house', 'course', 'year']
['world', 'school', 'part', 'man']
['course', 'company', 'end', 'world']
['way', 'day', 'government', 'house']
['end', 'system', 'day', 'fact']
['fact', 'work', 'end', 'party']
['party', 'fact', 'end', 'group']
['end', 'way', 'place', 'part']
['place', 'government', 'day', 'case']
['end', 'group', 'day', 'information']
['group', 'place', 'information', 'day']
['work', 'government', 'end', 'life']
['information', 'way', 'house', 'part']
['government', 'life', 'part', 'end']
['end', 'part', 'party', 'case']
['year', 'case', 'work', 'end']
['year', 'system', 'man', 'end']
['school', 'work', 'place', 'group']
['party', 'end', 'year', 'day']
['course', 'work', 'year', 'day']
['party', 'place', 'part', 'information']
['fact', 'day', 'place', 'year']
['party', 'system', 'work', 'end']
['school', 'life', 'end', 'world']
['way', 'part', 'school', 'year']
['place', 'information', 'system', 'case']
['company', 'school', 'life', 'course']
['company', 'case', 'system', 'world']
['house', 'life', 'school', 'course']
['way', 'party', 'world', 'school']
['group', 'information', 'work', 'school']
['year', 'life', 'house', 'way']
['company', 'life', 'party', 'way']
['house', 'work', 'life', 'school']
['man', 'world', 'case', 'company']
['case', 'information', 'course', 'fact']
['party', 'government', 'part', 'course']
['life', 'world', 'course', 'government']
['life', 'party', 'company', 'work']
['fact', 'information', 'world', 'way']
['world', 'fact', 'work', 'group']
['course', 'school', 'part', 'information']
['place', 'way', 'work', 'house']
['place', 'part', 'company', 'day']
['life', 'group', 'day', 'world']
['party', 'world', 'life', 'work']
['group', 'government', 'world', 'case']
['case', 'group', 'way', 'man']
['government', 'man', 'group', 'part']
['government', 'case', 'man', 'company']
['day', 'part', 'course', 'way']
['company', 'part', 'system', 'end']
['system', 'house', 'year', 'world']
['day', 'information', 'case', 'company']
['house', 'system', 'school', 'work']
['information', 'end', 'house', 'company']
['man', 'work', 'world', 'way']
['way', 'school', 'information', 'world']
['school', 'company', 'fact', 'part']
['way', 'work', 'place', 'system']
['world', 'year', 'government', 'way']
['company', 'school', 'day', 'end']
['year', 'house', 'group', 'end']
['case', 'group', 'information', 'end']
['work', 'course', 'government', 'end']
['group', 'government', 'year', 'day']
['information', 'fact', 'year', 'case']
['year', 'information', 'place', 'work']
['school', 'company', 'way', 'party']
['man', 'way', 'year', 'information']
['course', 'life', 'fact', 'part']
['life', 'party', 'way', 'company']
['company', 'course', 'year', 'government']
['place', 'fact', 'case', 'information']
['case', 'company', 'work', 'day']
['part', 'party', 'work', 'system']
['party', 'place', 'part', 'school']
['part', 'man', 'school', 'fact']
['system', 'end', 'world', 'case']
['year', 'house', 'school', 'end']
['world', 'house', 'fact', 'school']
['fact', 'government', 'case', 'group']
['system', 'group', 'house', 'way']
['life', 'system', 'group', 'case']
['house', 'life', 'party', 'school']
['end', 'fact', 'case', 'work']
['life', 'part', 'company', 'case']
['life', 'work', 'year', 'case']
['part', 'company', 'party', 'end']
['course', 'system', 'fact', 'school']
['work', 'government', 'group', 'house']
['man', 'part', 'life', 'world']
['company', 'way', 'government', 'year']
['work', 'government', 'end', 'school']
