['government', 'house', 'company', 'work']
['fact', 'man', 'place', 'day']
['work', 'part', 'school', 'world']
['school', 'life', 'government', 'case']
['company', 'life', 'world', 'system']
['way', 'group', 'information', 'party']
['part', 'end', 'day', 'government']
['work', 'world', 'way', 'end']
['party', 'work', 'day', 'fact']
['man', 'course', 'party', 'way']
['course', 'life', 'company', 'world']
['system', 'party', 'part', 'way']
['group', 'company', 'end', 'house']
['world', 'course', 'school', 'company']
['group', 'world', 'end', 'case']
['place', 'school', 'system', 'information']
['year', 'system', 'school', 'work']
['company', 'man', 'party', 'work']
['government', 'case', 'life', 'information']
['course', 'place', 'work', 'fact']
['party', 'world', 'company', 'work']
['man', 'group', 'life', 'day']
['fact', 'case', 'man', 'government']
['party', 'school', 'course', 'place']
['day', 'world', 'man', 'party']
['way', 'school', 'system', 'course']
['day', 'end', 'life', 'system']
['year', 'man', 'government', 'system']
['way', 'place', 'man', 'government']
['system', 'house', 'year', 'course']
['system', 'world', 'part', 'year']
['course', 'information', 'fact', 'work']
['company', 'world', 'party', 'man']
['system', 'year', 'party', 'life']
['end', 'case', 'man', 'system']
['information', 'school', 'way', 'year']
['group', 'government', 'house', 'year']
['group', 'course', 'way', 'place']
['system', 'school', 'way', 'company']
['world', 'information', 'place', 'course']
['group', 'part', 'way', 'party']
['case', 'part', 'government', 'house']
['world', 'part', 'information', 'government']
['place', 'group', 'year', 'company']
['year', 'case', 'company', 'information']
['world', 'way', 'information', 'end']
['end', 'course', 'work', 'world']
['fact', 'way', 'life', 'case']
['fact', 'school', 'year', 'government']
['fact', 'course', 'day', 'part']
['fact', 'government', 'way', 'end']
['end', 'fact', 'year', 'party']
['part', 'house', 'school', 'day']
['system', 'life', 'world', 'work']
['company', 'course', 'government', 'house']
['party', 'year', 'information', 'place']
['place', 'course', 'house', 'company']
['case', 'group', 'fact', 'system']
['year', 'way', 'day', 'school']
['world', 'way', 'party', 'work']
['course', 'system', 'work', 'information']
['fact', 'information', 'world', 'case']
['case', 'information', 'company', 'course']
['course', 'life', 'system', 'company']
['company', 'life', 'world', 'house']
['case', 'end', 'course', 'way']
['system', 'work', 'company', 'day']
['party', 'end', 'course', 'group']
['party', 'company', 'world', 'course']
['place', 'man', 'life', 'party']
['group', 'man', 'day', 'government']
['company', 'life', 'part', 'way']
['part', 'way', 'government', 'party']
['day', 'work', 'way', 'system']
['place', 'part', 'year', 'group']
['party', 'school', 'case', 'work']
['course', 'world', 'system', 'end']
['part', 'end', 'place', 'way']
['information', 'man', 'company', 'system']
['place', 'way', 'part', 'group']
['year', 'company', 'place', 'house']
['fact', 'company', 'part', 'work']
['group', 'place', 'year', 'man']
['information', 'case', 'man', 'world']
['world', 'man', 'work', 'year']
['party', 'company', 'place', 'end']
['year', 'end', 'man', 'work']
['information', 'government', 'group', 'place']
['end', 'school', 'place', 'house']
['school', 'government', 'end', 'place']
['place', 'system', 'group', 'year']
['fact', 'group', 'company', 'way']
['fact', 'information', 'world', 'house']
['system', 'world', 'man', 'school']
['man', 'school', 'world', 'government']
['group', 'way', 'fact', 'world']
['school', 'government', 'fact', 'day']
['fact', 'end', 'part', 'system']
['man', 'work', 'company', 'fact']
['world', 'part', 'group', 'way']
