['company', 'day', 'way', 'fact']
['party', 'house', 'part', 'case']
['life', 'company', 'system', 'work']
['party', 'part', 'information', 'place']
['information', 'group', 'government', 'company']
['place', 'end', 'house', 'day']
['case', 'world', 'house', 'school']
['house', 'part', 'work', 'life']
['world', 'way', 'course', 'end']
['part', 'life', 'system', 'party']
['work', 'way', 'system', 'party']
['course', 'place', 'man', 'part']
['government', 'work', 'system', 'man']
['work', 'fact', 'case', 'group']
['place', 'house', 'group', 'government']
['party', 'course', 'place', 'group']
['group', 'end', 'man', 'life']
['life', 'house', 'school', 'course']
['house', 'end', 'group', 'fact']
['life', 'work', 'system', 'day']
['way', 'life', 'school', 'man']
['work', 'world', 'end', 'man']
['group', 'party', 'course', 'place']
['course', 'system', 'case', 'day']
['company', 'place', 'party', 'information']
['place', 'party', 'day', 'group']
['system', 'life', 'company', 'school']
['world', 'group', 'end', 'work']
['man', 'day', 'case', 'life']
['world', 'year', 'party', 'fact']
['system', 'work', 'life', 'case']
['system', 'life', 'school', 'place']
['life', 'end', 'system', 'man']
['end', 'life', 'government', 'world']
['part', 'information', 'place', 'world']
['life', 'part', 'government', 'end']
['government', 'work', 'house', 'life']
['government', 'course', 'day', 'way']
['course', 'group', 'case', 'information']
['case', 'group', 'world', 'house']
['place', 'company', 'year', 'man']
['year', 'party', 'fact', 'part']
['system', 'government', 'life', 'world']
['day', 'school', 'house', 'life']
['place', 'house', 'part', 'fact']
['man', 'information', 'place', 'year']
['man', 'house', 'place', 'system']
['government', 'party', 'part', 'world']
['fact', 'system', 'way', 'group']
['school', 'world', 'party', 'case']
['year', 'day', 'place', 'life']
['information', 'way', 'government', 'course']
['school', 'case', 'end', 'work']
['fact', 'work', 'world', 'day']
['party', 'way', 'year', 'government']
['day', 'fact', 'place', 'part']
['case', 'school', 'government', 'house']
['work', 'place', 'world', 'party']
['way', 'system', 'day', 'world']
['information', 'year', 'place', 'fact']
['end', 'man', 'year', 'group']
['year', 'world', 'end', 'work']
['part', 'fact', 'year', 'group']
['part', 'day', 'house', 'school']
['case', 'system', 'man', 'company']
['group', 'way', 'part', 'information']
['man', 'system', 'case', 'school']
['end', 'school', 'company', 'man']
['case', 'end', 'world', 'fact']
['man', 'group', 'end', 'government']
['company', 'group', 'part', 'school']
['company', 'group', 'day', 'work']
['government', 'house', 'part', 'man']
['information', 'fact', 'case', 'system']
['house', 'system', 'group', 'end']
['fact', 'company', 'year', 'school']
['day', 'life', 'group', 'house']
['man', 'way', 'fact', 'information']
['end', 'course', 'party', 'day']
['place', 'end', 'system', 'house']
['life', 'work', 'group', 'end']
['information', 'group', 'company', 'case']
['group', 'government', 'year', 'place']
['company', 'year', 'house', 'group']
['place', 'course', 'part', 'life']
['year', 'part', 'course', 'system']
['place', 'information', 'part', 'group']
['system', 'course', 'school', 'day']
['end', 'man', 'house', 'government']
['year', 'work', 'course', 'place']
['party', 'place', 'work', 'group']
['system', 'course', 'group', 'day']
['government', 'party', 'way', 'system']
['year', 'company', 'fact', 'place']
['day', 'case', 'course', 'world']
['case', 'life', 'system', 'way']
['course', 'place', 'information', 'man']
['work', 'end', 'house', 'government']
['house', 'government', 'life', 'company']
['place', 'school', 'work', 'information']
