['year', 'information', 'party', 'company']
['year', 'life', 'case', 'man']
['day', 'government', 'group', 'life']
['way', 'place', 'fact', 'company']
['way', 'life', 'system', 'end']
['fact', 'part', 'system', 'end']
['end', 'life', 'part', 'fact']
['end', 'case', 'party', 'system']
['group', 'place', 'school', 'end']
['system', 'year', 'way', 'end']
['course', 'place', 'group', 'world']
['course', 'day', 'work', 'party']
['course', 'day', 'place', 'life']
['fact', 'year', 'party', 'information']
['information', 'system', 'life', 'group']
['school', 'world', 'government', 'course']
['work', 'world', 'course', 'fact']
['system', 'government', 'company', 'end']
['course', 'system', 'fact', 'part']
['group', 'man', 'place', 'year']
['part', 'end', 'government', 'life']
['information', 'course', 'world', 'man']
['information', 'fact', 'company', 'place']
['way', 'house', 'case', 'man']
['work', 'house', 'information', 'group']
['company', 'information', 'day', 'part']
['house', 'case', 'place', 'year']
['fact', 'case', 'system', 'life']
['part', 'work', 'end', 'group']
['man', 'course', 'part', 'company']
['government', 'part', 'fact', 'way']
['house', 'life', 'day', 'group']
['end', 'man', 'part', 'group']
['man', 'way', 'government', 'world']
['way', 'life', 'company', 'information']
['work', 'system', 'man', 'fact']
['group', 'work', 'course', 'government']
['school', 'government', 'part', 'end']
['part', 'fact', 'work', 'group']
['year', 'way', 'end', 'fact']
['year', 'place', 'man', 'life']
['work', 'case', 'system', 'end']
['end', 'world', 'course', 'information']
['school', 'house', 'end', 'way']
['course', 'life', 'company', 'group']
['way', 'fact', 'course', 'group']
['course', 'man', 'system', 'life']
['group', 'party', 'case', 'way']
['fact', 'party', 'course', 'house']
['company', 'course', 'house', 'place']
['case', 'part', 'year', 'group']
['part', 'way', 'fact', 'year']
['fact', 'information', 'company', 'group']
['group', 'place', 'world', 'house']
['house', 'way', 'life', 'fact']
['government', 'system', 'world', 'company']
['system', 'world', 'government', 'way']
['place', 'group', 'man', 'year']
['group', 'end', 'party', 'school']
['place', 'man', 'government', 'school']
['party', 'end', 'group', 'house']
['life', 'school', 'way', 'man']
['man', 'world', 'information', 'company']
['information', 'fact', 'work', 'party']
['house', 'day', 'system', 'world']
['group', 'case', 'course', 'party']
['fact', 'part', 'end', 'way']
['part', 'course', 'case', 'fact']
['company', 'end', 'life', 'group']
['end', 'school', 'system', 'party']
['place', 'way', 'course', 'company']
['system', 'case', 'place', 'day']
['government', 'party', 'life', 'company']
['school', 'part', 'system', 'fact']
['case', 'work', 'group', 'day']
['group', 'fact', 'school', 'place']
['case', 'government', 'man', 'work']
['government', 'place', 'information', 'work']
['world', 'information', 'life', 'case']
['course', 'case', 'house', 'end']
['place', 'school', 'government', 'system']
['world', 'school', 'place', 'year']
['group', 'case', 'government', 'party']
['end', 'group', 'house', 'company']
['life', 'man', 'fact', 'government']
['day', 'company', 'year', 'group']
['day', 'information', 'world', 'course']
['case', 'way', 'group', 'school']
['system', 'work', 'world', 'day']
['work', 'life', 'end', 'group']
['year', 'work', 'house', 'life']
['company', 'way', 'course', 'group']
['system', 'part', 'day', 'life']
['place', 'day', 'school', 'course']
['party', 'work', 'year', 'information']
['government', 'world', 'house', 'party']
['end', 'information', 'work', 'group']
['government', 'information', 'world', 'year']
