['place', 'man', 'day', 'part']
['work', 'man', 'end', 'way']
['house', 'day', 'life', 'end']
['man', 'course', 'party', 'school']
['place', 'house', 'company', 'group']
['part', 'house', 'school', 'world']
['work', 'world', 'way', 'part']
['fact', 'information', 'work', 'world']
['company', 'house', 'course', 'case']
['government', 'information', 'world', 'course']
['work', 'part', 'group', 'end']
['case', 'man', 'company', 'house']
['company', 'group', 'man', 'information']
['part', 'government', 'life', 'group']
['course', 'information', 'work', 'year']
['house', 'information', 'end', 'year']
['place', 'party', 'part', 'government']
['way', 'company', 'information', 'fact']
['group', 'course', 'house', 'life']
['information', 'fact', 'course', 'part']
['place', 'group', 'fact', 'day']
['day', 'place', 'information', 'school']
['course', 'end', 'part', 'system']
['fact', 'group', 'house', 'world']
['day', 'part', 'house', 'system']
['house', 'information', 'way', 'company']
['group', 'part', 'day', 'case']
['world', 'course', 'information', 'way']
['day', 'part', 'information', 'house']
['company', 'case', 'house', 'day']
['end', 'information', 'year', 'part']
['company', 'end', 'system', 'world']
['group', 'information', 'company', 'place']
['company', 'end', 'government', 'school']
['group', 'work', 'year', 'school']
['government', 'world', 'work', 'life']
['group', 'case', 'work', 'world']
['end', 'case', 'world', 'way']
['house', 'fact', 'government', 'man']
['day', 'way', 'group', 'party']
['fact', 'place', 'part', 'information']
['way', 'party', 'end', 'group']
['school', 'work', 'course', 'company']
['school', 'life', 'place', 'day']
['party', 'man', 'house', 'company']
['man', 'system', 'course', 'company']
['government', 'house', 'way', 'life']
['school', 'course', 'man', 'house']
['year', 'end', 'system', 'way']
['course', 'world', 'work', 'man']
['year', 'way', 'party', 'house']
['course', 'system', 'information', 'group']
['government', 'group', 'year', 'man']
['day', 'man', 'life', 'work']
['way', 'information', 'fact', 'year']
['course', 'world', 'company', 'man']
['world', 'information', 'course', 'fact']
['work', 'fact', 'life', 'group']
['system', 'way', 'day', 'house']
['fact', 'government', 'part', 'company']
['life', 'system', 'year', 'party']
['system', 'company', 'life', 'fact']
['fact', 'man', 'case', 'day']
['company', 'place', 'year', 'way']
['group', 'company', 'work', 'case']
['course', 'way', 'information', 'year']
['house', 'year', 'place', 'party']
['world', 'year', 'group', 'life']
['world', 'work', 'fact', 'day']
['man', 'course', 'work', 'fact']
['system', 'information', 'school', 'part']
['life', 'school', 'fact', 'place']
['world', 'day', 'party', 'information']
['system', 'case', 'end', 'party']
['school', 'work', 'house', 'world']
['information', 'company', 'place', 'school']
['system', 'part', 'man', 'way']
['place', 'fact', 'information', 'way']
['end', 'system', 'way', 'house']
['case', 'day', 'school', 'fact']
['life', 'year', 'government', 'fact']
['case', 'party', 'group', 'school']
['way', 'fact', 'group', 'course']
['day', 'way', 'end', 'fact']
['work', 'school', 'case', 'part']
['case', 'life', 'course', 'party']
['information', 'government', 'school', 'way']
['end', 'system', 'house', 'year']
['fact', 'school', 'government', 'group']
['year', 'place', 'course', 'school']
['party', 'day', 'man', 'course']
['man', 'life', 'way', 'world']
['work', 'way', 'course', 'part']
['place', 'man', 'world', 'party']
['system', 'way', 'house', 'place']
['end', 'system', 'case', 'man']
['system', 'world', 'man', 'work']
['year', 'life', 'fact', 'school']
['life', 'part', 'party', 'company']
['school', 'course', 'government', 'man']
