['party', 'course', 'company', 'system']
['world', 'case', 'party', 'company']
['government', 'case', 'place', 'group']
['system', 'school', 'government', 'course']
['company', 'place', 'case', 'information']
['life', 'group', 'way', 'fact']
['day', 'life', 'group', 'case']
['group', 'course', 'work', 'school']
['year', 'world', 'government', 'way']
['part', 'end', 'group', 'case']
['fact', 'course', 'school', 'work']
['government', 'day', 'man', 'place']
['case', 'company', 'party', 'fact']
['life', 'way', 'course', 'school']
['world', 'way', 'system', 'information']
['school', 'government', 'part', 'work']
['life', 'work', 'course', 'fact']
['fact', 'life', 'information', 'party']
['day', 'man', 'information', 'year']
['year', 'fact', 'man', 'system']
['part', 'school', 'day', 'life']
['information', 'course', 'way', 'life']
['course', 'world', 'work', 'man']
['world', 'work', 'party', 'information']
['government', 'party', 'school', 'course']
['year', 'way', 'place', 'government']
['end', 'life', 'year', 'work']
['year', 'life', 'school', 'fact']
['year', 'house', 'life', 'world']
['house', 'information', 'school', 'case']
['group', 'house', 'life', 'day']
['information', 'house', 'year', 'system']
['place', 'group', 'school', 'company']
['company', 'group', 'school', 'party']
['work', 'part', 'company', 'case']
['day', 'government', 'group', 'work']
['man', 'course', 'case', 'way']
['course', 'man', 'place', 'part']
['place', 'house', 'year', 'case']
['life', 'year', 'work', 'world']
['place', 'world', 'school', 'company']
['fact', 'part', 'party', 'group']
['school', 'end', 'party', 'place']
['party', 'world', 'information', 'man']
['man', 'system', 'government', 'life']
['course', 'day', 'way', 'work']
['man', 'house', 'place', 'year']
['company', 'house', 'life', 'world']
['work', 'information', 'end', 'day']
['group', 'party', 'year', 'place']
['group', 'work', 'government', 'part']
['case', 'end', 'day', 'way']
['system', 'company', 'group', 'part']
['year', 'day', 'information', 'part']
['school', 'day', 'place', 'man']
['information', 'year', 'case', 'life']
['year', 'day', 'man', 'end']
['case', 'information', 'man', 'year']
['way', 'course', 'case', 'part']
['end', 'group', 'place', 'system']
['school', 'man', 'way', 'case']
['end', 'way', 'system', 'school']
['fact', 'school', 'government', 'life']
['system', 'case', 'year', 'information']
['end', 'party', 'year', 'company']
['system', 'year', 'case', 'world']
['day', 'company', 'way', 'party']
['end', 'world', 'life', 'place']
['course', 'system', 'end', 'day']
['year', 'course', 'place', 'day']
['life', 'house', 'system', 'part']
['case', 'end', 'house', 'man']
['work', 'way', 'company', 'world']
['way', 'day', 'place', 'course']
['part', 'house', 'company', 'work']
['party', 'world', 'fact', 'government']
['course', 'government', 'end', 'case']
['end', 'case', 'part', 'group']
['government', 'part', 'life', 'party']
['party', 'government', 'case', 'fact']
['system', 'school', 'company', 'course']
['party', 'course', 'fact', 'government']
['place', 'fact', 'year', 'school']
['party', 'place', 'company', 'fact']
['information', 'day', 'government', 'company']
['man', 'way', 'day', 'course']
['house', 'day', 'place', 'end']
['end', 'world', 'group', 'fact']
['man', 'system', 'party', 'course']
['man', 'year', 'government', 'work']
['government', 'party', 'part', 'house']
['year', 'party', 'school', 'work']
['world', 'way', 'group', 'end']
['government', 'year', 'part', 'school']
['government', 'way', 'school', 'case']
['school', 'part', 'life', 'course']
['way', 'system', 'place', 'man']
['work', 'fact', 'group', 'year']
['place', 'way', 'life', 'party']
['man', 'world', 'place', 'company']
