['life', 'place', 'party', 'end']
['course', 'school', 'life', 'man']
['case', 'year', 'course', 'government']
['party', 'part', 'world', 'system']
['fact', 'work', 'life', 'man']
['case', 'way', 'company', 'place']
['house', 'life', 'government', 'year']
['group', 'part', 'information', 'work']
['information', 'year', 'life', 'course']
['day', 'house', 'fact', 'way']
['year', 'way', 'government', 'work']
['man', 'school', 'fact', 'work']
['man', 'government', 'day', 'end']
['place', 'world', 'part', 'government']
['fact', 'party', 'government', 'man']
['man', 'company', 'government', 'day']
['man', 'government', 'end', 'case']
['place', 'man', 'part', 'system']
['case', 'course', 'day', 'part']
['information', 'work', 'fact', 'party']
['part', 'course', 'company', 'end']
['party', 'course', 'school', 'day']
['place', 'man', 'life', 'school']
['life', 'company', 'course', 'end']
['party', 'company', 'government', 'system']
['work', 'part', 'place', 'life']
['day', 'system', 'group', 'year']
['information', 'work', 'life', 'place']
['fact', 'system', 'information', 'place']
['house', 'company', 'fact', 'case']
['information', 'group', 'course', 'day']
['day', 'information', 'world', 'work']
['house', 'world', 'life', 'party']
['place', 'school', 'end', 'way']
['day', 'party', 'man', 'way']
['government', 'case', 'party', 'company']
['group', 'year', 'case', 'school']
['course', 'information', 'house', 'life']
['year', 'government', 'course', 'day']
['group', 'information', 'government', 'part']
['way', 'world', 'life', 'day']
['day', 'course', 'government', 'man']
['part', 'government', 'end', 'information']
['life', 'day', 'place', 'information']
['government', 'information', 'course', 'system']
['life', 'house', 'work', 'year']
['life', 'world', 'case', 'work']
['day', 'system', 'life', 'world']
['group', 'fact', 'government', 'work']
['information', 'part', 'day', 'government']
['part', 'course', 'system', 'fact']
['man', 'year', 'system', 'group']
['case', 'way', 'life', 'part']
['case', 'year', 'life', 'fact']
['party', 'system', 'company', 'day']
['house', 'work', 'government', 'case']
['party', 'system', 'life', 'day']
['world', 'government', 'fact', 'information']
['school', 'case', 'way', 'course']
['school', 'party', 'system', 'case']
['work', 'world', 'information', 'man']
['course', 'year', 'work', 'case']
['party', 'course', 'way', 'government']
['group', 'year', 'school', 'work']
['part', 'course', 'fact', 'party']
['man', 'party', 'information', 'system']
['group', 'end', 'world', 'work']
['end', 'part', 'house', 'school']
['group', 'end', 'school', 'system']
['place', 'day', 'world', 'fact']
['information', 'company', 'work', 'way']
['party', 'year', 'man', 'company']
['government', 'way', 'course', 'school']
['place', 'man', 'case', 'way']
['way', 'party', 'work', 'fact']
['world', 'government', 'way', 'information']
['government', 'part', 'end', 'company']
['life', 'government', 'man', 'course']
['place', 'school', 'part', 'end']
['end', 'company', 'work', 'fact']
['man', 'day', 'world', 'course']
['information', 'life', 'system', 'end']
['information', 'part', 'school', 'day']
['house', 'system', 'case', 'course']
['school', 'man', 'house', 'party']
['information', 'fact', 'government', 'man']
['government', 'school', 'group', 'work']
['day', 'government', 'fact', 'part']
['end', 'part', 'man', 'house']
['man', 'information', 'group', 'world']
['fact', 'work', 'party', 'world']
['year', 'case', 'house', 'day']
['course', 'way', 'government', 'information']
['case', 'life', 'year', 'school']
['end', 'party', 'house', 'company']
['day', 'information', 'course', 'government']
['school', 'case', 'way', 'life']
['place', 'world', 'case', 'way']
['end', 'way', 'work', 'party']
['company', 'information', 'place', 'day']
