['house', 'part', 'party', 'world']
['government', 'house', 'party', 'end']
['end', 'course', 'system', 'information']
['work', 'party', 'system', 'case']
['end', 'school', 'year', 'company']
['way', 'house', 'work', 'part']
['man', 'information', 'company', 'course']
['government', 'life', 'man', 'fact']
['case', 'system', 'day', 'place']
['case', 'system', 'group', 'company']
['house', 'course', 'man', 'government']
['course', 'year', 'part', 'group']
['place', 'work', 'man', 'world']
['life', 'information', 'government', 'man']
['information', 'work', 'year', 'man']
['life', 'part', 'place', 'work']
['year', 'house', 'party', 'man']
['group', 'end', 'fact', 'year']
['school', 'world', 'system', 'place']
['fact', 'year', 'house', 'part']
['group', 'work', 'man', 'case']
['case', 'government', 'system', 'house']
['information', 'day', 'life', 'course']
['course', 'party', 'government', 'way']
['life', 'part', 'end', 'man']
['house', 'case', 'fact', 'place']
['information', 'system', 'company', 'year']
['party', 'day', 'company', 'government']
['school', 'course', 'day', 'government']
['place', 'system', 'case', 'house']
['way', 'course', 'end', 'group']
['part', 'man', 'work', 'system']
['life', 'place', 'school', 'man']
['company', 'house', 'case', 'end']
['school', 'work', 'information', 'year']
['course', 'year', 'work', 'end']
['end', 'government', 'work', 'life']
['life', 'part', 'house', 'end']
['way', 'course', 'year', 'group']
['world', 'life', 'system', 'course']
['information', 'fact', 'end', 'house']
['group', 'party', 'system', 'work']
['house', 'school', 'course', 'man']
['course', 'information', 'life', 'world']
['course', 'man', 'school', 'day']
['fact', 'system', 'part', 'group']
['world', 'part', 'place', 'year']
['part', 'government', 'man', 'world']
['school', 'course', 'year', 'party']
['information', 'group', 'system', 'government']
['information', 'house', 'life', 'way']
['government', 'man', 'company', 'house']
['case', 'house', 'work', 'company']
['party', 'day', 'information', 'part']
['group', 'house', 'day', 'end']
['part', 'year', 'government', 'way']
['information', 'system', 'group', 'school']
['system', 'man', 'case', 'information']
['day', 'way', 'world', 'information']
['world', 'company', 'place', 'fact']
['fact', 'case', 'school', 'life']
['school', 'world', 'part', 'man']
['day', 'school', 'way', 'case']
['man', 'house', 'course', 'year']
['year', 'company', 'house', 'school']
['part', 'work', 'case', 'information']
['house', 'case', 'end', 'school']
['information', 'case', 'fact', 'work']
['case', 'end', 'day', 'way']
['year', 'end', 'way', 'part']
['world', 'course', 'government', 'place']
['world', 'company', 'party', 'school']
['world', 'course', 'information', 'fact']
['system', 'course', 'company', 'part']
['system', 'end', 'way', 'party']
['life', 'man', 'end', 'group']
['group', 'system', 'work', 'day']
['house', 'way', 'party', 'information']
['government', 'world', 'way', 'house']
['man', 'school', 'place', 'house']
['part', 'school', 'party', 'case']
['end', 'man', 'fact', 'school']
['end', 'case', 'life', 'year']
['world', 'course', 'life', 'work']
['information', 'part', 'school', 'work']
['company', 'group', 'part', 'work']
['part', 'work', 'house', 'way']
['fact', 'man', 'course', 'work']
['fact', 'work', 'end', 'part']
['end', 'system', 'life', 'group']
['life', 'information', 'year', 'man']
['day', 'government', 'party', 'information']
['government', 'life', 'way', 'house']
['man', 'work', 'year', 'information']
['party', 'world', 'course', 'life']
['work', 'world', 'part', 'year']
['place', 'case', 'course', 'way']
['party', 'fact', 'company', 'house']
['party', 'end', 'work', 'house']
['company', 'government', 'case', 'life']
