['fact', 'information', 'year', 'party']
['government', 'case', 'end', 'day']
['group', 'work', 'end', 'part']
['end', 'fact', 'system', 'party']
['day', 'school', 'man', 'way']
['part', 'place', 'system', 'government']
['course', 'day', 'system', 'man']
['company', 'government', 'course', 'life']
['place', 'fact', 'company', 'school']
['life', 'part', 'course', 'group']
['party', 'case', 'course', 'end']
['way', 'life', 'part', 'course']
['day', 'government', 'part', 'life']
['man', 'school', 'day', 'part']
['company', 'information', 'way', 'world']
['party', 'man', 'school', 'fact']
['way', 'group', 'government', 'party']
['case', 'way', 'man', 'party']
['company', 'government', 'course', 'place']
['way', 'company', 'government', 'course']
['group', 'fact', 'year', 'party']
['party', 'place', 'world', 'end']
['man', 'government', 'course', 'case']
['part', 'course', 'school', 'life']
['system', 'information', 'end', 'way']
['place', 'fact', 'year', 'case']
['information', 'work', 'place', 'school']
['system', 'party', 'world', 'fact']
['case', 'life', 'day', 'information']
['part', 'government', 'information', 'way']
['company', 'government', 'place', 'year']
['house', 'man', 'party', 'life']
['party', 'case', 'company', 'part']
['group', 'end', 'information', 'life']
['system', 'part', 'fact', 'course']
['part', 'day', 'house', 'fact']
['year', 'place', 'life', 'way']
['end', 'group', 'part', 'school']
['fact', 'group', 'man', 'system']
['place', 'fact', 'information', 'world']
['part', 'place', 'day', 'information']
['case', 'government', 'system', 'party']
['way', 'life', 'company', 'system']
['house', 'course', 'world', 'school']
['course', 'group', 'place', 'day']
['way', 'part', 'course', 'party']
['world', 'man', 'year', 'information']
['part', 'fact', 'world', 'party']
['way', 'company', 'part', 'party']
['house', 'party', 'place', 'work']
['case', 'end', 'fact', 'government']
['part', 'fact', 'group', 'life']
['work', 'group', 'case', 'end']
['system', 'year', 'part', 'house']
['course', 'world', 'man', 'school']
['man', 'year', 'part', 'government']
['man', 'day', 'year', 'place']
['day', 'party', 'system', 'company']
['course', 'year', 'information', 'house']
['case', 'group', 'part', 'system']
['place', 'school', 'information', 'company']
['work', 'information', 'school', 'government']
['company', 'system', 'life', 'information']
['system', 'day', 'fact', 'man']
['year', 'place', 'group', 'information']
['year', 'course', 'place', 'way']
['case', 'part', 'day', 'company']
['man', 'group', 'way', 'world']
['year', 'work', 'course', 'way']
['party', 'case', 'man', 'fact']
['place', 'government', 'part', 'man']
['year', 'company', 'way', 'house']
['house', 'government', 'fact', 'company']
['case', 'group', 'party', 'information']
['system', 'life', 'end', 'fact']
['course', 'case', 'year', 'fact']
['course', 'man', 'case', 'part']
['house', 'world', 'part', 'place']
['course', 'way', 'fact', 'case']
['life', 'place', 'end', 'case']
['system', 'end', 'group', 'world']
['way', 'man', 'year', 'fact']
['company', 'government', 'system', 'end']
['day', 'school', 'way', 'man']
['course', 'house', 'life', 'man']
['place', 'part', 'work', 'information']
['way', 'work', 'place', 'day']
['fact', 'life', 'course', 'day']
['place', 'life', 'house', 'government']
['life', 'house', 'year', 'system']
['man', 'school', 'house', 'fact']
['life', 'company', 'part', 'school']
['company', 'way', 'course', 'part']
['school', 'party', 'world', 'course']
['place', 'company', 'day', 'case']
['house', 'case', 'year', 'course']
['way', 'man', 'day', 'end']
['group', 'government', 'fact', 'house']
['system', 'work', 'fact', 'part']
['school', 'system', 'part', 'party']
