['school', 'system', 'day', 'way']
['company', 'work', 'government', 'end']
['group', 'year', 'school', 'end']
['system', 'government', 'party', 'world']
['year', 'man', 'course', 'party']
['place', 'information', 'man', 'part']
['work', 'government', 'case', 'end']
['part', 'work', 'world', 'system']
['fact', 'part', 'world', 'information']
['world', 'party', 'information', 'work']
['party', 'case', 'place', 'group']
['course', 'system', 'year', 'life']
['work', 'company', 'party', 'system']
['system', 'day', 'school', 'way']
['end', 'place', 'man', 'fact']
['party', 'case', 'information', 'part']
['case', 'company', 'world', 'part']
['day', 'company', 'party', 'place']
['house', 'way', 'school', 'case']
['house', 'case', 'party', 'course']
['end', 'day', 'party', 'company']
['system', 'work', 'year', 'day']
['party', 'world', 'end', 'course']
['course', 'information', 'man', 'fact']
['world', 'man', 'company', 'year']
['fact', 'year', 'party', 'house']
['government', 'life', 'party', 'day']
['house', 'place', 'life', 'year']
['company', 'day', 'house', 'case']
['group', 'party', 'life', 'way']
['way', 'work', 'house', 'case']
['case', 'man', 'part', 'life']
['house', 'place', 'day', 'work']
['system', 'case', 'information', 'school']
['group', 'government', 'fact', 'place']
['group', 'course', 'school', 'party']
['information', 'year', 'way', 'system']
['house', 'way', 'work', 'man']
['case', 'way', 'day', 'year']
['system', 'school', 'life', 'day']
['year', 'part', 'school', 'man']
['work', 'fact', 'information', 'man']
['case', 'day', 'company', 'government']
['end', 'information', 'fact', 'school']
['system', 'information', 'school', 'part']
['work', 'group', 'school', 'case']
['school', 'day', 'party', 'system']
['year', 'part', 'man', 'way']
['course', 'school', 'group', 'fact']
['end', 'system', 'life', 'government']
['part', 'party', 'group', 'company']
['work', 'life', 'group', 'school']
['company', 'group', 'party', 'man']
['work', 'government', 'fact', 'part']
['company', 'government', 'work', 'day']
['school', 'house', 'fact', 'course']
['way', 'place', 'man', 'end']
['man', 'party', 'place', 'course']
['year', 'course', 'government', 'company']
['school', 'life', 'fact', 'group']
['end', 'year', 'day', 'work']
['fact', 'day', 'year', 'way']
['house', 'place', 'system', 'work']
['case', 'company', 'life', 'party']
['man', 'course', 'information', 'government']
['course', 'system', 'school', 'man']
['government', 'work', 'year', 'day']
['place', 'life', 'course', 'house']
['school', 'group', 'house', 'system']
['case', 'system', 'work', 'course']
['government', 'world', 'party', 'part']
['house', 'year', 'school', 'place']
['company', 'fact', 'case', 'information']
['school', 'year', 'life', 'fact']
['company', 'place', 'government', 'group']
['course', 'man', 'way', 'world']
['fact', 'man', 'information', 'company']
['government', 'house', 'fact', 'party']
['government', 'life', 'system', 'company']
['end', 'party', 'day', 'year']
['group', 'work', 'party', 'day']
['world', 'work', 'system', 'government']
['party', 'group', 'way', 'day']
['part', 'case', 'system', 'way']
['course', 'work', 'life', 'school']
['system', 'life', 'end', 'course']
['party', 'day', 'company', 'place']
['part', 'case', 'world', 'end']
['fact', 'information', 'school', 'world']
['system', 'work', 'house', 'place']
['life', 'party', 'system', 'day']
['party', 'fact', 'case', 'information']
['party', 'work', 'life', 'day']
['school', 'year', 'party', 'course']
['place', 'company', 'man', 'work']
['work', 'company', 'man', 'government']
['government', 'part', 'way', 'information']
['place', 'part', 'company', 'information']
['man', 'party', 'day', 'course']
['party', 'man', 'way', 'world']
