['end', 'system', 'government', 'course']
['fact', 'party', 'government', 'year']
['life', 'case', 'company', 'place']
['end', 'part', 'place', 'year']
['government', 'man', 'work', 'company']
['school', 'life', 'way', 'party']
['place', 'system', 'way', 'life']
['system', 'information', 'part', 'group']
['part', 'school', 'work', 'course']
['man', 'fact', 'year', 'party']
['world', 'group', 'system', 'course']
['fact', 'case', 'company', 'group']
['end', 'party', 'part', 'house']
['day', 'government', 'year', 'world']
['day', 'party', 'place', 'way']
['group', 'life', 'house', 'day']
['government', 'fact', 'end', 'information']
['way', 'course', 'government', 'group']
['course', 'government', 'life', 'company']
['school', 'case', 'work', 'company']
['man', 'group', 'information', 'year']
['government', 'man', 'end', 'year']
['fact', 'place', 'information', 'world']
['fact', 'work', 'end', 'world']
['fact', 'party', 'company', 'part']
['school', 'way', 'government', 'end']
['case', 'party', 'company', 'year']
['company', 'house', 'way', 'fact']
['part', 'day', 'house', 'course']
['man', 'world', 'course', 'system']
['case', 'system', 'house', 'man']
['system', 'fact', 'party', 'way']
['company', 'house', 'case', 'fact']
['government', 'way', 'system', 'course']
['world', 'system', 'man', 'work']
['group', 'information', 'party', 'course']
['case', 'life', 'government', 'world']
['government', 'part', 'man', 'world']
['company', 'school', 'day', 'party']
['government', 'man', 'company', 'work']
['course', 'case', 'information', 'place']
['way', 'party', 'year', 'school']
['company', 'system', 'world', 'government']
['part', 'system', 'government', 'group']
['school', 'year', 'world', 'way']
['party', 'world', 'information', 'life']
['system', 'school', 'world', 'fact']
['year', 'information', 'end', 'case']
['part', 'case', 'end', 'place']
['day', 'government', 'man', 'work']
['course', 'house', 'world', 'place']
['information', 'case', 'government', 'man']
['way', 'information', 'course', 'work']
['system', 'place', 'school', 'year']
['part', 'work', 'house', 'year']
['end', 'year', 'life', 'course']
['case', 'course', 'man', 'part']
['man', 'school', 'world', 'group']
['school', 'information', 'party', 'house']
['system', 'man', 'world', 'school']
['case', 'fact', 'end', 'course']
['government', 'school', 'information', 'world']
['company', 'man', 'school', 'part']
['party', 'man', 'system', 'school']
['way', 'fact', 'school', 'year']
['school', 'life', 'case', 'way']
['work', 'case', 'house', 'life']
['place', 'system', 'end', 'company']
['company', 'world', 'group', 'way']
['part', 'life', 'information', 'end']
['case', 'government', 'way', 'group']
['house', 'work', 'year', 'world']
['company', 'group', 'party', 'fact']
['end', 'life', 'school', 'system']
['group', 'place', 'government', 'part']
['day', 'work', 'case', 'school']
['fact', 'life', 'end', 'group']
['part', 'year', 'life', 'way']
['way', 'group', 'part', 'life']
['place', 'day', 'way', 'party']
['government', 'place', 'group', 'fact']
['way', 'world', 'information', 'school']
['place', 'system', 'world', 'house']
['house', 'system', 'part', 'fact']
['part', 'way', 'school', 'world']
['government', 'house', 'year', 'way']
['way', 'year', 'government', 'day']
['fact', 'company', 'group', 'man']
['party', 'part', 'life', 'world']
['way', 'work', 'course', 'system']
['case', 'year', 'information', 'house']
['school', 'end', 'company', 'house']
['work', 'place', 'way', 'party']
['party', 'fact', 'work', 'school']
['life', 'day', 'school', 'party']
['place', 'group', 'system', 'year']
['government', 'fact', 'life', 'world']
['school', 'day', 'house', 'system']
['school', 'government', 'year', 'way']
['group', 'information', 'world', 'way']
