['place', 'fact', 'work', 'information']
['course', 'work', 'man', 'group']
['party', 'place', 'end', 'school']
['government', 'case', 'work', 'year']
['place', 'house', 'course', 'company']
['way', 'fact', 'day', 'place']
['man', 'year', 'house', 'work']
['system', 'work', 'party', 'company']
['end', 'system', 'way', 'man']
['course', 'part', 'system', 'school']
['party', 'place', 'system', 'part']
['life', 'school', 'part', 'day']
['year', 'course', 'party', 'company']
['work', 'course', 'information', 'school']
['end', 'course', 'fact', 'year']
['system', 'school', 'man', 'party']
['year', 'company', 'case', 'house']
['company', 'place', 'life', 'information']
['part', 'house', 'government', 'work']
['place', 'day', 'government', 'life']
['life', 'world', 'place', 'way']
['way', 'world', 'life', 'man']
['company', 'school', 'place', 'fact']
['place', 'end', 'party', 'work']
['life', 'year', 'house', 'group']
['work', 'year', 'information', 'government']
['way', 'group', 'system', 'day']
['information', 'party', 'system', 'government']
['house', 'school', 'company', 'course']
['man', 'life', 'course', 'school']
['house', 'work', 'life', 'part']
['day', 'man', 'end', 'way']
['party', 'day', 'end', 'place']
['end', 'information', 'part', 'work']
['part', 'end', 'day', 'company']
['life', 'case', 'year', 'day']
['year', 'school', 'company', 'man']
['government', 'end', 'part', 'system']
['work', 'information', 'company', 'way']
['party', 'part', 'place', 'year']
['case', 'fact', 'part', 'place']
['course', 'life', 'system', 'day']
['part', 'case', 'work', 'world']
['system', 'man', 'fact', 'life']
['party', 'year', 'group', 'case']
['government', 'world', 'system', 'information']
['end', 'part', 'fact', 'world']
['year', 'end', 'house', 'way']
['system', 'life', 'house', 'way']
['fact', 'government', 'case', 'part']
['world', 'case', 'work', 'government']
['party', 'year', 'house', 'government']
['year', 'work', 'end', 'world']
['place', 'life', 'year', 'world']
['group', 'part', 'place', 'party']
['system', 'group', 'fact', 'part']
['government', 'house', 'group', 'world']
['place', 'course', 'work', 'company']
['day', 'party', 'end', 'world']
['case', 'fact', 'group', 'year']
['place', 'day', 'system', 'life']
['part', 'world', 'information', 'party']
['work', 'life', 'information', 'company']
['year', 'way', 'fact', 'school']
['case', 'man', 'place', 'company']
['group', 'company', 'day', 'life']
['day', 'life', 'place', 'man']
['school', 'world', 'part', 'house']
['school', 'system', 'government', 'party']
['information', 'man', 'world', 'part']
['day', 'place', 'party', 'part']
['house', 'way', 'day', 'party']
['house', 'case', 'information', 'system']
['case', 'man', 'part', 'party']
['end', 'place', 'way', 'government']
['information', 'course', 'world', 'fact']
['house', 'company', 'school', 'work']
['system', 'part', 'information', 'group']
['information', 'case', 'year', 'life']
['life', 'way', 'system', 'end']
['school', 'course', 'place', 'life']
['case', 'group', 'day', 'information']
['way', 'case', 'government', 'man']
['course', 'place', 'man', 'way']
['case', 'company', 'government', 'year']
['government', 'company', 'end', 'place']
['work', 'world', 'house', 'end']
['world', 'school', 'man', 'party']
['part', 'fact', 'group', 'company']
['man', 'information', 'government', 'company']
['house', 'world', 'school', 'place']
['man', 'government', 'place', 'school']
['party', 'fact', 'system', 'place']
['end', 'school', 'case', 'company']
['year', 'way', 'life', 'world']
['government', 'case', 'house', 'course']
['case', 'school', 'work', 'party']
['year', 'group', 'world', 'house']
['day', 'work', 'world', 'school']
['government', 'group', 'end', 'life']
