['year', 'fact', 'house', 'world']
['place', 'work', 'house', 'system']
['end', 'place', 'course', 'party']
['world', 'course', 'man', 'end']
['government', 'place', 'house', 'year']
['world', 'system', 'day', 'information']
['life', 'group', 'company', 'government']
['world', 'system', 'house', 'fact']
['party', 'work', 'end', 'government']
['man', 'government', 'world', 'year']
['fact', 'company', 'work', 'system']
['day', 'way', 'government', 'place']
['case', 'man', 'information', 'part']
['life', 'group', 'man', 'world']
['school', 'company', 'information', 'party']
['year', 'school', 'house', 'case']
['world', 'man', 'day', 'school']
['system', 'fact', 'course', 'information']
['place', 'party', 'case', 'system']
['party', 'house', 'group', 'day']
['day', 'end', 'course', 'man']
['man', 'year', 'house', 'system']
['way', 'company', 'fact', 'school']
['system', 'man', 'case', 'work']
['house', 'work', 'school', 'case']
['way', 'fact', 'day', 'work']
['company', 'way', 'fact', 'school']
['year', 'end', 'group', 'part']
['information', 'part', 'group', 'world']
['day', 'party', 'house', 'information']
['government', 'information', 'day', 'school']
['work', 'group', 'day', 'place']
['system', 'man', 'part', 'group']
['government', 'life', 'party', 'fact']
['day', 'way', 'group', 'information']
['case', 'place', 'life', 'group']
['house', 'work', 'world', 'party']
['part', 'day', 'work', 'system']
['house', 'school', 'life', 'government']
['system', 'world', 'company', 'fact']
['party', 'day', 'house', 'company']
['place', 'system', 'house', 'end']
['man', 'world', 'way', 'house']
['day', 'system', 'company', 'party']
['work', 'group', 'government', 'day']
['group', 'world', 'life', 'way']
['party', 'government', 'group', 'fact']
['system', 'world', 'party', 'work']
['company', 'system', 'way', 'course']
['world', 'course', 'year', 'work']
['company', 'information', 'group', 'house']
['place', 'system', 'end', 'work']
['school', 'man', 'life', 'day']
['man', 'fact', 'world', 'way']
['year', 'life', 'case', 'group']
['system', 'house', 'man', 'day']
['case', 'part', 'fact', 'company']
['part', 'place', 'end', 'man']
['case', 'man', 'place', 'way']
['house', 'way', 'case', 'part']
['man', 'life', 'part', 'system']
['work', 'day', 'part', 'life']
['party', 'case', 'place', 'end']
['company', 'system', 'government', 'end']
['case', 'system', 'day', 'way']
['day', 'system', 'government', 'end']
['school', 'way', 'government', 'system']
['place', 'house', 'case', 'world']
['group', 'work', 'life', 'course']
['party', 'school', 'course', 'way']
['party', 'end', 'case', 'way']
['day', 'case', 'way', 'fact']
['government', 'man', 'world', 'course']
['course', 'system', 'year', 'world']
['part', 'year', 'group', 'case']
['school', 'group', 'course', 'work']
['school', 'system', 'work', 'man']
['company', 'year', 'work', 'school']
['world', 'company', 'end', 'fact']
['party', 'end', 'man', 'case']
['end', 'place', 'world', 'year']
['case', 'government', 'work', 'group']
['day', 'world', 'course', 'government']
['way', 'school', 'case', 'day']
['life', 'information', 'year', 'case']
['information', 'day', 'way', 'party']
['part', 'fact', 'year', 'life']
['day', 'way', 'course', 'government']
['group', 'world', 'place', 'day']
['day', 'life', 'group', 'school']
['life', 'place', 'government', 'day']
['place', 'year', 'school', 'man']
['house', 'party', 'world', 'day']
['system', 'company', 'day', 'information']
['group', 'system', 'part', 'life']
['case', 'government', 'course', 'world']
['work', 'fact', 'part', 'life']
['school', 'information', 'day', 'system']
['part', 'information', 'world', 'place']
['house', 'fact', 'company', 'life']
