['information', 'government', 'course', 'life']
['system', 'house', 'fact', 'life']
['way', 'course', 'party', 'man']
['house', 'group', 'course', 'man']
['place', 'case', 'world', 'information']
['day', 'company', 'part', 'fact']
['course', 'case', 'way', 'school']
['group', 'system', 'place', 'day']
['fact', 'group', 'government', 'company']
['place', 'world', 'government', 'house']
['work', 'fact', 'company', 'part']
['year', 'world', 'fact', 'work']
['system', 'school', 'world', 'company']
['course', 'system', 'party', 'man']
['government', 'way', 'year', 'day']
['company', 'life', 'information', 'way']
['way', 'house', 'man', 'day']
['man', 'work', 'place', 'part']
['end', 'information', 'system', 'work']
['man', 'life', 'year', 'company']
['house', 'system', 'school', 'case']
['work', 'school', 'information', 'world']
['group', 'house', 'end', 'course']
['life', 'year', 'part', 'end']
['day', 'case', 'man', 'group']
['house', 'place', 'case', 'work']
['way', 'group', 'government', 'house']
['year', 'end', 'part', 'way']
['life', 'place', 'world', 'work']
['man', 'place', 'day', 'work']
['information', 'world', 'place', 'house']
['system', 'year', 'group', 'fact']
['house', 'work', 'fact', 'party']
['system', 'year', 'man', 'life']
['place', 'part', 'course', 'work']
['end', 'course', 'company', 'work']
['school', 'government', 'end', 'man']
['end', 'case', 'way', 'group']
['party', 'end', 'fact', 'part']
['end', 'house', 'world', 'group']
['day', 'world', 'course', 'school']
['group', 'man', 'house', 'work']
['school', 'party', 'house', 'man']
['case', 'party', 'world', 'place']
['company', 'man', 'fact', 'day']
['man', 'day', 'work', 'year']
['case', 'group', 'way', 'end']
['life', 'end', 'world', 'fact']
['course', 'life', 'system', 'fact']
['course', 'world', 'government', 'work']
['information', 'life', 'course', 'fact']
['school', 'place', 'case', 'world']
['government', 'world', 'group', 'man']
['way', 'fact', 'company', 'world']
['school', 'year', 'party', 'case']
['place', 'school', 'part', 'day']
['place', 'fact', 'part', 'party']
['end', 'course', 'life', 'world']
['party', 'way', 'year', 'house']
['life', 'day', 'place', 'house']
['man', 'end', 'world', 'part']
['group', 'fact', 'school', 'work']
['life', 'day', 'part', 'place']
['end', 'system', 'day', 'house']
['company', 'life', 'world', 'end']
['end', 'school', 'way', 'company']
['life', 'case', 'system', 'information']
['world', 'work', 'part', 'day']
['life', 'way', 'end', 'house']
['work', 'life', 'house', 'company']
['man', 'life', 'part', 'government']
['party', 'course', 'way', 'information']
['man', 'day', 'part', 'life']
['way', 'case', 'house', 'company']
['man', 'group', 'life', 'government']
['fact', 'day', 'information', 'life']
['party', 'system', 'life', 'work']
['case', 'party', 'way', 'house']
['life', 'house', 'party', 'world']
['part', 'life', 'government', 'fact']
['work', 'information', 'group', 'school']
['year', 'information', 'way', 'government']
['party', 'end', 'world', 'system']
['system', 'school', 'party', 'course']
['part', 'fact', 'group', 'company']
['system', 'work', 'course', 'man']
['house', 'year', 'way', 'part']
['world', 'life', 'part', 'place']
['end', 'information', 'case', 'course']
['part', 'place', 'information', 'day']
['life', 'man', 'way', 'work']
['work', 'fact', 'information', 'house']
['part', 'life', 'system', 'school']
['life', 'system', 'fact', 'case']
['place', 'way', 'fact', 'system']
['fact', 'party', 'group', 'part']
['day', 'work', 'school', 'year']
['case', 'work', 'course', 'party']
['course', 'fact', 'day', 'information']
['world', 'man', 'year', 'end']
